GeographyCode,QS117NI0001,QS117NI0002,QS117NI0003,QS117NI0004,QS117NI0005,QS117NI0006
N06000001,25462,14116,5428,4198,1317,403
N06000002,27684,13808,6965,4443,1775,693
N06000003,25685,14255,5251,4047,1559,573
N06000004,25519,11223,7013,4512,2020,751
N06000005,25486,13738,5405,4372,1509,462
N06000006,27066,14255,5425,4645,2009,732
N06000007,26911,13692,5300,4654,2227,1038
N06000008,26716,12118,6735,4974,2087,802
N06000009,28921,15614,5712,5097,1906,592
N06000010,25788,12452,5133,4489,2498,1216
N06000011,29724,14528,6312,4977,2668,1239
N06000012,30304,16605,5728,5095,2094,782
N06000013,25884,15016,4871,4278,1383,336
N06000014,28270,14532,5814,5290,1998,636
N06000015,28934,14326,5653,5153,2674,1128
N06000016,26051,14539,5001,4484,1574,453
N06000017,32902,16434,7233,6004,2447,784
N06000018,23815,11599,4832,4258,2159,967
