GeographyCode,QS111NI0001,QS111NI0002,QS111NI0003,QS111NI0004,QS111NI0005,QS111NI0006,QS111NI0007,QS111NI0008,QS111NI0009,QS111NI0010,QS111NI0011,QS111NI0012,QS111NI0013,QS111NI0014,QS111NI0015,QS111NI0016,QS111NI0017,QS111NI0018,QS111NI0019,QS111NI0020,QS111NI0021,QS111NI0022,QS111NI0023,QS111NI0024,QS111NI0025,QS111NI0026,QS111NI0027
N06000001,40918,14342,5634,8708,23987,3063,12862,4168,2487,3771,2436,44,2679,1652,501,406,120,5339,1919,1494,1926,2589,436,348,26,167,1612
N06000002,44601,15823,6072,9751,25389,2624,11428,3300,2182,3181,2765,33,2489,1296,568,499,126,8815,3330,2827,2658,3389,687,589,37,225,1851
N06000003,46630,15710,5114,10596,23964,2688,13140,3934,2535,4215,2456,37,3335,2324,516,398,97,4764,1648,1292,1824,6956,471,365,1518,205,4397
N06000004,36580,10445,3560,6885,22415,1617,9149,2040,1792,2702,2615,12,1720,769,397,451,103,9917,3466,3505,2946,3720,867,944,32,183,1694
N06000005,36112,10210,4253,5957,24091,2849,14414,4438,2714,4342,2920,21,2023,1092,454,377,100,4784,1800,1375,1609,1811,356,343,29,106,977
N06000006,37981,10031,4139,5892,25135,2687,15266,4236,2560,5093,3377,12,2084,1044,452,483,105,5086,1761,1457,1868,2815,525,475,283,173,1359
N06000007,37590,9952,4269,5683,24582,2193,16010,3773,2762,5899,3576,1,1886,964,442,397,83,4492,1361,1170,1961,3056,595,597,17,234,1613
N06000008,38404,10861,3444,7417,23884,1812,12476,2808,2292,4252,3124,26,1685,847,374,390,74,7885,2949,2618,2318,3659,814,813,55,169,1808
N06000009,39850,10435,4308,6127,27348,3343,17124,5066,3189,5629,3240,27,2456,1376,504,462,114,4398,1521,1200,1677,2067,403,397,12,170,1085
N06000010,33690,7457,3232,4225,23671,1875,15993,3191,2752,6288,3762,6,1434,680,342,339,73,4363,1338,1138,1887,2562,561,565,4,195,1237
N06000011,40538,10225,4383,5842,27267,2302,17112,3737,2951,6393,4031,4,1833,886,444,420,83,6016,2104,1609,2303,3046,677,605,10,191,1563
N06000012,41458,10676,4721,5955,28061,3216,17531,4896,2996,5709,3930,11,2224,1096,501,500,127,5079,1554,1345,2180,2721,556,521,7,267,1370
N06000013,37740,11356,4945,6411,24684,3611,14722,5114,2619,4271,2718,25,2296,1290,474,421,111,4030,1387,1113,1530,1700,352,261,4,122,961
N06000014,37715,9129,3587,5542,26432,2649,16632,4784,3082,5538,3228,17,2328,1191,518,496,123,4806,1615,1549,1642,2154,510,452,10,119,1063
N06000015,39030,9606,4196,5410,26754,2451,17304,3880,2872,6626,3926,19,1807,867,416,434,90,5173,1642,1489,2042,2670,565,554,3,226,1322
N06000016,35412,9058,3971,5087,24549,3016,15343,4841,2712,4691,3099,22,2038,1069,415,423,131,4130,1430,1122,1578,1805,368,376,2,132,927
N06000017,45766,12225,4758,7467,30781,2982,18417,4800,3417,6330,3870,19,2942,1469,724,625,124,6421,2348,1888,2185,2760,585,535,3,192,1445
N06000018,33260,8873,3515,5358,22082,1848,14157,2956,2377,5427,3397,5,1340,641,307,316,76,4732,1591,1273,1868,2305,434,478,3,203,1187
