GeographyCode,QS116NI0001,QS116NI0002,QS116NI0003,QS116NI0004,QS116NI0005,QS116NI0006
N06000001,40918,29550,5349,4250,1346,423
N06000002,44601,30736,6769,4531,1839,726
N06000003,46630,35182,5177,4087,1591,593
N06000004,36580,22452,6525,4679,2124,800
N06000005,36112,24351,5324,4424,1538,475
N06000006,37981,25169,5304,4691,2061,756
N06000007,37590,24366,5161,4717,2276,1070
N06000008,38404,23893,6436,5057,2162,856
N06000009,39850,26544,5617,5136,1932,621
N06000010,33690,20365,4995,4537,2554,1239
N06000011,40538,25332,6179,5025,2724,1278
N06000012,41458,27774,5608,5115,2142,819
N06000013,37740,26840,4834,4307,1411,348
N06000014,37715,23953,5726,5336,2037,663
N06000015,39030,24431,5495,5208,2728,1168
N06000016,35412,23874,4925,4537,1605,471
N06000017,45766,29312,7075,6085,2491,803
N06000018,33260,21057,4709,4296,2208,990
