GeographyCode,QS601NI0001,QS601NI0002,QS601NI0003,QS601NI0004,QS601NI0005,QS601NI0006,QS601NI0007,QS601NI0008,QS601NI0009,QS601NI0010,QS601NI0011,QS601NI0012,QS601NI0013,QS601NI0014,QS601NI0015,QS601NI0016
N06000001,67039,45800,9221,27388,155,1083,1089,2012,2842,2010,21239,9484,3116,2570,4501,1568
N06000002,73558,45602,10311,24641,140,725,833,1708,4664,2580,27956,9709,3978,3823,7822,2624
N06000003,86086,59911,9096,34242,190,1583,1302,2594,3435,7469,26175,8844,8551,2477,4347,1956
N06000004,67002,38843,9804,18848,136,521,693,1334,4672,2835,28159,7479,4641,4267,9001,2771
N06000005,66012,44880,8844,25450,189,1236,1109,2504,2777,2771,21132,9762,3988,2320,3682,1380
N06000006,72822,46103,9208,22630,236,1875,1329,3850,4064,2911,26719,10014,5165,3581,5110,2849
N06000007,73713,50082,9546,26264,266,2260,1505,4787,3440,2014,23631,8696,4411,3412,4610,2502
N06000008,73474,44206,9420,21546,180,1128,1137,2039,5613,3143,29268,8787,5611,4151,8001,2718
N06000009,73686,51554,10051,29916,266,1909,1362,3331,2512,2207,22132,10496,3736,2734,3494,1672
N06000010,70671,46574,8713,24023,237,2119,1357,4707,3320,2098,24097,7595,5141,3679,5303,2379
N06000011,80362,53125,10522,27029,291,2124,1506,4386,4738,2529,27237,9323,5020,4010,6199,2685
N06000012,78306,52676,10292,28164,293,2056,1476,4771,3654,1970,25630,11005,4312,3420,4759,2134
N06000013,65480,44424,9090,25088,221,1410,1457,2735,2468,1955,21056,11442,3028,2261,3064,1261
N06000014,71856,51300,9998,30043,233,1570,1203,3188,2570,2495,20556,9259,3397,2608,3818,1474
N06000015,77403,51988,10078,25523,299,2528,1612,5541,3900,2507,25415,9150,4755,3718,5484,2308
N06000016,65507,44439,9109,23948,254,1692,1365,3502,2637,1932,21068,10425,3245,2415,3557,1426
N06000017,85110,57344,11181,32786,242,1713,1249,3368,4052,2753,27766,10725,4634,3518,6511,2378
N06000018,65333,40916,7654,20276,210,1889,1137,4129,3838,1783,24417,7821,4429,3434,6217,2516
