GeographyCode,QS611NI0001,QS611NI0002,QS611NI0003,QS611NI0004,QS611NI0005
N06000001,29961,6501,9717,5295,8448
N06000002,33050,4167,8923,6293,13667
N06000003,36486,11851,12565,4354,7716
N06000004,28592,2628,7517,5318,13129
N06000005,26732,4692,8400,6271,7369
N06000006,28185,4268,7982,6985,8950
N06000007,27939,3886,6482,8546,9025
N06000008,30534,4441,8196,5347,12550
N06000009,29555,6618,9804,6373,6760
N06000010,25637,3546,5541,8701,7849
N06000011,30578,4279,7474,8695,10130
N06000012,30116,4428,7438,8622,9628
N06000013,26878,6270,9873,5000,5735
N06000014,29084,5278,9197,7109,7500
N06000015,29292,4953,7271,8883,8185
N06000016,25905,4326,8555,6555,6469
N06000017,35059,5222,9426,8300,12111
N06000018,25031,3029,5631,7406,8965
