GeographyCode,QS219NI0001,QS219NI0002,QS219NI0003,QS219NI0004,QS219NI0005,QS219NI0006,QS219NI0007,QS219NI0008,QS219NI0009
N06000001,40918,3455,11743,8234,3015,3675,475,7181,3140
N06000002,44601,16705,8139,5997,2294,2082,433,4766,4185
N06000003,46630,15524,7347,6041,1920,2469,1057,8382,3890
N06000004,36580,25726,2062,2260,387,574,203,1701,3667
N06000005,36112,5855,11520,5825,2212,2883,316,5177,2324
N06000006,37981,13193,9674,7079,450,1810,258,3123,2394
N06000007,37590,18971,2683,8270,1460,1619,227,1865,2495
N06000008,38404,24869,3841,3131,353,687,251,1983,3289
N06000009,39850,5924,10559,9774,1909,3611,383,5302,2388
N06000010,33690,19764,4332,4187,283,1523,151,1332,2118
N06000011,40538,23814,4421,4569,626,1638,213,1902,3355
N06000012,41458,9680,16040,5310,697,3442,288,3372,2629
N06000013,37740,3585,11879,7049,2123,2943,371,7317,2473
N06000014,37715,9695,11623,5094,1507,2563,285,4635,2313
N06000015,39030,24110,5393,2584,213,1455,206,2433,2636
N06000016,35412,4892,12953,5622,1400,2913,307,5196,2129
N06000017,45766,17103,6446,9611,1828,3417,365,3865,3131
N06000018,33260,20288,4454,3868,455,758,136,1068,2233
