GeographyCode,QS406NI0001,QS406NI0002,QS406NI0003,QS406NI0004,QS406NI0005,QS406NI0006,QS406NI0007,QS406NI0008,QS406NI0009,QS406NI0010
N06000001,40918,118,1002,3252,7948,12264,8905,3554,2041,1834
N06000002,44601,167,1323,3843,9755,14276,8708,3335,1764,1430
N06000003,46630,211,1553,4631,9389,11175,9048,4674,2911,3038
N06000004,36580,178,1103,3365,6417,14105,6871,2717,1115,709
N06000005,36112,67,413,2314,4370,10331,7656,4076,3103,3782
N06000006,37981,84,536,1964,3615,10941,7861,4905,3766,4309
N06000007,37590,81,529,1689,3797,10006,7752,5032,4009,4695
N06000008,38404,150,1035,2766,4933,13715,7336,3709,2338,2422
N06000009,39850,54,518,1964,4821,11425,7819,4703,3632,4914
N06000010,33690,72,358,1227,2822,8758,7401,4731,3774,4547
N06000011,40538,117,557,1809,4195,11854,8587,5091,4003,4325
N06000012,41458,98,516,2030,4123,10957,9108,5399,4178,5049
N06000013,37740,110,532,2289,5003,9952,7648,4750,3568,3888
N06000014,37715,68,394,1903,3486,11960,7415,4677,3527,4285
N06000015,39030,87,479,1845,3777,10533,7862,5317,4049,5081
N06000016,35412,53,501,1722,4751,10719,6719,4065,3109,3773
N06000017,45766,113,615,2390,4630,15370,9517,5128,3745,4258
N06000018,33260,92,511,1467,3129,9557,6845,4324,3461,3874
