GeographyCode,QS202NI0001,QS202NI0002,QS202NI0003,QS202NI0004,QS202NI0005,QS202NI0006,QS202NI0007
N06000001,40918,40102,158,410,106,76,66
N06000002,44601,43934,92,358,115,55,47
N06000003,46630,44542,597,954,242,151,144
N06000004,36580,36110,56,281,64,43,26
N06000005,36112,35761,116,136,27,47,25
N06000006,37981,37623,88,139,37,58,36
N06000007,37590,37159,43,143,113,54,78
N06000008,38404,37860,93,269,75,63,44
N06000009,39850,39360,98,230,61,62,39
N06000010,33690,33458,60,74,54,22,22
N06000011,40538,40268,69,114,29,29,29
N06000012,41458,41182,68,120,27,28,33
N06000013,37740,37286,80,184,84,58,48
N06000014,37715,37241,87,250,57,51,29
N06000015,39030,38770,61,72,44,36,47
N06000016,35412,35166,69,99,28,23,27
N06000017,45766,45115,123,265,120,75,68
N06000018,33260,33053,44,86,11,30,36
