GeographyCode,QS401NI0001,QS401NI0002,QS401NI0003,QS401NI0004,QS401NI0005,QS401NI0006,QS401NI0007,QS401NI0008,QS401NI0009,QS401NI0010,QS401NI0011,QS401NI0012
N06000001,91207,91178,81259,16998,33177,31084,9917,9150,649,118,2,29
N06000002,101489,101437,90646,16074,37005,37567,10767,9573,1039,155,24,52
N06000003,108289,108224,91700,22946,32448,36306,16510,12941,3331,238,14,65
N06000004,93176,93174,86029,10637,34196,41196,7126,6702,316,108,19,2
N06000005,87942,87933,82674,39515,22326,20833,5205,4808,286,111,54,9
N06000006,97681,97673,93967,52278,25107,16582,3637,3134,317,186,69,8
N06000007,101557,101555,98757,63608,22843,12306,2594,2005,391,198,204,2
N06000008,99430,99390,93390,27163,34464,31763,5977,5263,606,108,23,40
N06000009,100083,100076,95331,47544,26536,21251,4644,4343,214,87,101,7
N06000010,98502,98500,96706,61974,22225,12507,1455,1161,167,127,339,2
N06000011,111333,111333,108085,59306,30734,18045,2994,2428,380,186,254,0
N06000012,107293,107291,103753,58963,28577,16213,3376,2966,265,145,162,2
N06000013,87868,87838,81459,35681,28843,16935,6286,5611,546,129,93,30
N06000014,98171,98169,94449,46084,27549,20816,3586,3285,197,104,134,2
N06000015,107832,107831,104437,64265,26327,13845,3050,2407,420,223,344,1
N06000016,88672,88670,85286,41721,24962,18603,3259,2885,222,152,125,2
N06000017,117347,117345,113327,49948,33828,29551,3905,3392,375,138,113,2
N06000018,90467,90461,88674,55887,19683,13104,1683,1333,172,178,104,6
