GeographyCode,QS102NI0001,QS102NI0002,QS102NI0003
N06000001,92221,5333,17.29
N06000002,102531,4713,21.76
N06000003,111402,4441,25.08
N06000004,93986,4512,20.83
N06000005,90067,57919,1.56
N06000006,99673,127196,0.78
N06000007,102553,234620,0.44
N06000008,100807,17576,5.74
N06000009,101710,46667,2.18
N06000010,99155,121931,0.81
N06000011,112401,107721,1.04
N06000012,108207,138343,0.78
N06000013,89498,11462,7.81
N06000014,99238,62469,1.59
N06000015,108835,122399,0.89
N06000016,89370,52260,1.71
N06000017,118010,37966,3.11
N06000018,91199,198704,0.46
