GeographyCode,QS607NI0001,QS607NI0002,QS607NI0003,QS607NI0004,QS607NI0005,QS607NI0006,QS607NI0007,QS607NI0008,QS607NI0009,QS607NI0010,QS607NI0011,QS607NI0012,QS607NI0013,QS607NI0014
N06000001,75945,10827,1870,8957,18100,9943,6163,6169,11280,9384,3373,2094,1279,706
N06000002,85740,7080,1309,5771,15605,10662,6124,7307,15449,14093,8370,5959,2411,1050
N06000003,94086,20187,2307,17880,23474,10385,6038,5793,9763,7395,3650,2314,1336,7401
N06000004,81992,4206,879,3327,13407,11082,5977,6161,15172,14105,10735,8286,2449,1147
N06000005,74322,8745,2025,6720,16769,9844,8578,7800,10161,9160,2672,1325,1347,593
N06000006,83395,7355,1431,5924,15491,9231,14526,6688,11270,11853,5202,2999,2203,1779
N06000007,87752,6803,1550,5253,14922,7326,18350,7493,13500,14205,4450,2893,1557,703
N06000008,87932,7291,1638,5653,17704,9585,9046,6758,13705,12933,9458,5999,3459,1452
N06000009,84750,12938,2733,10205,21045,10518,11492,6779,9995,9066,2343,1229,1114,574
N06000010,86724,6641,1828,4813,14427,6468,20254,7448,10593,15582,4720,3059,1661,591
N06000011,97125,7303,1753,5550,18140,8754,18930,8041,12422,16005,6685,4084,2601,845
N06000012,90461,8168,1933,6235,16952,7833,17176,8386,14089,13157,4137,2193,1944,563
N06000013,72046,11173,2401,8772,19955,10326,8160,5616,8513,5797,2043,923,1120,463
N06000014,85286,9760,2436,7324,20407,10987,11636,8186,10548,10744,2500,1453,1047,518
N06000015,93653,8626,1795,6831,18937,8041,21701,6949,11070,12884,4809,2772,2037,636
N06000016,74640,8026,1771,6255,16866,9620,12453,6482,9858,8583,2273,1128,1145,479
N06000017,101838,9580,2356,7224,20261,11322,12772,9729,16602,15938,4773,2604,2169,861
N06000018,78683,5233,1153,4080,13539,6552,16888,5924,10200,13317,6488,4235,2253,542
