GeographyCode,QS107NI0001,QS107NI0002,QS107NI0003,QS107NI0004,QS107NI0005,QS107NI0006,QS107NI0007,QS107NI0008,QS107NI0009,QS107NI0010,QS107NI0011,QS107NI0012
N06000001,74196,38945,32830,5539,94,482,35251,21862,735,2609,4302,5743
N06000002,80513,35022,29328,5123,78,493,45491,29037,856,4399,4786,6413
N06000003,90664,40364,32704,6866,84,710,50300,38110,1048,2389,3714,5039
N06000004,71573,27074,23114,3606,24,330,44499,29811,841,5020,3879,4948
N06000005,70240,40314,35750,4256,46,262,29926,18912,575,2375,3411,4653
N06000006,77212,42418,37760,4426,26,206,34794,23578,865,2174,3473,4704
N06000007,79297,43215,38696,4252,2,265,36082,25023,1183,2095,2689,5092
N06000008,77016,34602,30766,3491,54,291,42414,29257,915,3942,4025,4275
N06000009,79173,47864,42362,5092,60,350,31309,20088,775,2129,3474,4843
N06000010,75434,41302,37938,3132,16,216,34132,24609,936,2000,2361,4226
N06000011,85818,45456,41076,4080,12,288,40362,27845,1096,2713,3385,5323
N06000012,85237,48750,43618,4818,26,288,36487,24221,919,2434,3627,5286
N06000013,71442,42721,37580,4787,60,294,28721,17117,589,2075,4057,4883
N06000014,76272,45599,40378,4847,36,338,30673,20305,658,2395,3148,4167
N06000015,82959,45917,41726,3879,42,270,37042,25974,916,2336,2983,4833
N06000016,70944,42726,38132,4258,48,288,28218,17963,580,1894,3330,4451
N06000017,91390,51210,44610,6175,42,383,40180,26439,834,3089,4391,5427
N06000018,69988,36748,33676,2873,16,183,33240,23427,831,2165,2566,4251
