GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
N06000001,40918,7735,2297,2348,3090,16280,4452,4094,7734,5947,1959,3522,466,10956,5634,5247,75
N06000002,44601,9152,2387,1919,4846,17239,4910,4082,8247,6660,2454,3591,615,11550,6072,5322,156
N06000003,46630,12869,3413,6826,2630,17423,5011,4348,8064,6199,2172,3373,654,10139,5114,4930,95
N06000004,36580,7792,1545,1306,4941,15081,3482,3287,8312,5724,1858,3189,677,7983,3560,4228,195
N06000005,36112,5309,1256,1278,2775,15197,3008,3848,8341,6227,1693,3995,539,9379,4253,5020,106
N06000006,37981,5977,1217,1571,3189,15683,2972,3898,8813,6528,1703,4165,660,9793,4139,5506,148
N06000007,37590,5868,1132,1520,3216,15416,2746,3588,9082,6657,1805,4063,789,9649,4269,5244,136
N06000008,38404,7350,1705,1441,4204,16822,3781,3643,9398,6364,1931,3672,761,7868,3444,4278,146
N06000009,39850,6308,1445,1764,3099,16706,3102,4109,9495,6542,1580,4356,606,10294,4308,5880,106
N06000010,33690,5517,880,1348,3289,14572,2126,3256,9190,5548,1219,3640,689,8053,3232,4666,155
N06000011,40538,6694,1212,1585,3897,17058,2890,3840,10328,6829,1740,4308,781,9957,4383,5376,198
N06000012,41458,6062,1155,1514,3393,16778,2942,4346,9490,7278,1858,4742,678,11340,4721,6497,122
N06000013,37740,5407,1403,1478,2526,14514,3086,3697,7731,6959,1922,4475,562,10860,4945,5835,80
N06000014,37715,6576,1331,1690,3555,16229,2754,3950,9525,6280,1457,4242,581,8630,3587,4942,101
N06000015,39030,5934,1098,1359,3477,16446,2670,3643,10133,6915,1642,4401,872,9735,4196,5422,117
N06000016,35412,4853,1017,1183,2653,14489,2462,3837,8190,6564,1608,4355,601,9506,3971,5441,94
N06000017,45766,8687,1663,2169,4855,19108,3716,4615,10777,7266,2088,4502,676,10705,4758,5801,146
N06000018,33260,5074,1082,1092,2900,14093,2643,2981,8469,5866,1633,3513,720,8227,3515,4598,114
