GeographyCode,QS605NI0001,QS605NI0002,QS605NI0003,QS605NI0004,QS605NI0005,QS605NI0006,QS605NI0007,QS605NI0008,QS605NI0009,QS605NI0010,QS605NI0011,QS605NI0012,QS605NI0013,QS605NI0014,QS605NI0015,QS605NI0016,QS605NI0017,QS605NI0018,QS605NI0019,QS605NI0020,QS605NI0021,QS605NI0022,QS605NI0023,QS605NI0024,QS605NI0025,QS605NI0026,QS605NI0027,QS605NI0028,QS605NI0029,QS605NI0030,QS605NI0031,QS605NI0032,QS605NI0033,QS605NI0034,QS605NI0035
N06000001,42630,3477,2297,1180,8466,1940,2175,1792,2559,4621,674,496,166,902,2383,7174,5964,1210,3769,182,1549,971,1067,3725,2691,1034,4006,3351,655,2325,968,1357,5067,374,4693
N06000002,40396,2641,1770,871,5866,1255,1513,1382,1716,3505,607,549,152,511,1686,6424,5249,1175,3895,141,1664,1135,955,4196,3065,1131,5145,4387,758,2872,1129,1743,5852,399,5453
N06000003,55372,4342,2869,1473,16456,3793,4433,3548,4682,6159,936,633,143,1276,3171,7309,6201,1108,3392,174,1135,831,1252,3726,2734,992,6590,5552,1038,1777,741,1036,5621,287,5334
N06000004,33464,1815,1145,670,4083,784,1131,1088,1080,2669,435,514,100,358,1262,5773,4569,1204,3300,113,1148,1115,924,3894,2986,908,4586,3952,634,2385,826,1559,4959,312,4647
N06000005,41541,3506,2312,1194,6519,1498,1668,1772,1581,3936,712,441,277,526,1980,6656,5540,1116,5416,643,2407,1405,961,3834,2859,975,4061,3539,522,3275,1511,1764,4338,616,3722
N06000006,41416,3281,1839,1442,6690,980,2028,2146,1536,3136,552,432,281,426,1445,5689,4617,1072,6545,1378,1623,2251,1293,3801,2805,996,4173,3841,332,3313,1720,1593,4788,818,3970
N06000007,46305,3467,2056,1411,6830,884,2210,2152,1584,3012,502,408,155,418,1529,4755,3684,1071,8995,2559,2430,2550,1456,4463,3475,988,4184,3634,550,5488,3074,2414,5111,1583,3528
N06000008,37685,2771,1686,1085,6734,1058,2004,2134,1538,3314,814,583,144,447,1326,4600,3674,926,3924,328,1380,1156,1060,3618,2689,929,5484,4199,1285,3043,1481,1562,4197,430,3767
N06000009,48661,4840,3210,1630,9256,1756,2924,2230,2346,5060,657,490,608,654,2651,7689,6379,1310,5548,860,2070,1518,1100,4132,3087,1045,4601,4103,498,3107,1292,1815,4428,666,3762
N06000010,42894,3101,2042,1059,6872,959,2182,2082,1649,2810,484,406,79,320,1521,4606,3578,1028,9674,1837,2868,3650,1319,3816,2932,884,3306,3093,213,4294,2185,2109,4415,1487,2928
N06000011,47887,3807,2405,1402,7638,1018,2454,2341,1825,3343,566,461,143,426,1747,5632,4352,1280,8276,1724,2439,2741,1372,4647,3556,1091,4564,3983,581,4650,2007,2643,5330,1601,3729
N06000012,48624,3847,2400,1447,7343,1303,2313,2080,1647,3595,676,466,195,433,1825,6044,4813,1231,8712,1900,2806,2733,1273,4534,3491,1043,4466,4191,275,4896,2790,2106,5187,1191,3996
N06000013,41565,4297,2705,1592,7617,1515,1979,1951,2172,4830,507,516,478,743,2586,7467,6337,1130,3790,391,1405,1059,935,3951,3004,947,4226,3407,819,2043,906,1137,3344,266,3078
N06000014,48258,4347,2935,1412,7728,1593,2358,1975,1802,4549,726,480,486,497,2360,7458,6138,1320,6434,965,2527,1833,1109,4330,3189,1141,4528,3933,595,3739,1607,2132,5145,668,4477
N06000015,47692,3977,2340,1637,8198,1175,2582,2386,2055,3538,461,436,249,554,1838,5905,4689,1216,9391,1911,2010,4206,1264,4770,3715,1055,3924,3538,386,3574,1575,1999,4415,1072,3343
N06000016,41427,3663,2182,1481,6270,1221,1878,1582,1589,3697,511,410,274,535,1967,7314,6093,1221,6144,1177,1968,1928,1071,4038,3152,886,3641,3175,466,2761,1247,1514,3899,721,3178
N06000017,52770,4182,2698,1484,8020,1500,2319,2249,1952,4346,717,572,269,594,2194,7023,5820,1203,6825,843,2316,2168,1498,4771,3661,1110,5212,4659,553,6424,4108,2316,5967,1515,4452
N06000018,36676,2539,1494,1045,5820,796,1908,1846,1270,2583,501,386,132,361,1203,4323,3377,946,7472,2248,1975,2315,934,3591,2857,734,3214,2964,250,3322,1459,1863,3812,1061,2751
