GeographyCode,QS108NI0001,QS108NI0002,QS108NI0003,QS108NI0004,QS108NI0005,QS108NI0006,QS108NI0007,QS108NI0008,QS108NI0009,QS108NI0010,QS108NI0011,QS108NI0012,QS108NI0013,QS108NI0014,QS108NI0015,QS108NI0016,QS108NI0017,QS108NI0018,QS108NI0019,QS108NI0020,QS108NI0021,QS108NI0022,QS108NI0023,QS108NI0024,QS108NI0025,QS108NI0026,QS108NI0027
N06000001,74196,9790,4384,5406,13370,8329,3733,909,291,108,26313,13192,3854,3792,3723,1752,9461,1959,6768,734,7838,2182,5488,168,7424,3452,3972
N06000002,80513,12684,5063,7621,14459,7953,4415,1480,432,179,27263,14130,3546,3720,3742,2125,10358,2454,6842,1062,8317,2506,5529,282,7432,3566,3866
N06000003,90664,19283,13488,5795,19323,14669,3408,827,284,135,28134,14093,4406,4133,3724,1778,9721,2172,6522,1027,7307,2000,5133,174,6896,3114,3782
N06000004,71573,13879,4608,9271,13255,6447,4327,1550,642,289,24333,11535,3146,3630,4059,1963,8922,1858,5839,1225,6322,1575,4382,365,4862,1985,2877
N06000005,70240,10153,4151,6002,9903,5286,3301,922,274,120,26177,11662,3605,4508,4269,2133,10387,1693,7831,863,7855,1768,5864,223,5765,2485,3280
N06000006,77212,12154,5196,6958,11777,6276,3917,1098,308,178,27925,12345,4086,4908,4516,2070,11070,1703,8261,1106,8475,1765,6393,317,5811,2374,3437
N06000007,79297,12064,4570,7494,14138,7636,4801,1003,424,274,28173,11707,4979,5109,4393,1985,11117,1805,8041,1271,7863,1827,5776,260,5942,2442,3500
N06000008,77016,13406,4696,8710,13887,7349,4280,1387,522,349,27923,12253,4026,4685,4665,2294,10302,1931,7000,1371,7014,1665,4893,456,4484,1779,2705
N06000009,79173,10837,4319,6518,12633,6957,4406,913,217,140,29252,12359,4965,5160,4550,2218,11118,1580,8576,962,8852,1758,6870,224,6481,2550,3931
N06000010,75434,13006,4686,8320,14177,7320,5077,975,452,353,26857,10289,5063,4990,4496,2019,9616,1219,7208,1189,6811,1359,5149,303,4967,1873,3094
N06000011,85818,14029,5189,8840,15595,8169,5352,1217,526,331,30533,12313,5346,5639,4918,2317,11453,1740,8371,1342,8280,1905,5986,389,5928,2478,3450
N06000012,85237,12362,4928,7434,13425,7154,4610,1126,329,206,30422,13512,4513,5601,4640,2156,12196,1858,9240,1098,9668,1977,7386,305,7164,2744,4420
N06000013,71442,8815,3778,5037,10406,5936,3407,738,217,108,24842,11244,3775,4200,3811,1812,11557,1922,8776,859,9046,1957,6924,165,6776,2988,3788
N06000014,76272,11081,4344,6737,13251,6699,4974,1056,334,188,28405,11760,4731,5276,4600,2038,10650,1457,8200,993,7853,1651,5941,261,5032,1936,3096
N06000015,82959,13386,4873,8513,13931,7262,4890,1028,425,326,29818,11643,5367,5684,4867,2257,11645,1642,8566,1437,8081,1711,6083,287,6098,2485,3613
N06000016,70944,9762,3910,5852,10142,5442,3511,832,243,114,25805,11212,3612,4663,4354,1964,11203,1608,8623,972,8429,1718,6487,224,5603,2253,3350
N06000017,91390,14207,5540,8667,16909,8512,6355,1359,434,249,32865,14217,5372,5448,5286,2542,11900,2088,8692,1120,9067,2118,6678,271,6442,2640,3802
N06000018,69988,11148,3981,7167,11967,6395,3884,988,402,298,25370,10293,4217,4649,4276,1935,9719,1633,6898,1188,6833,1569,5032,232,4951,1946,3005
