GeographyCode,QS412NI0001,QS412NI0002,QS412NI0003,QS412NI0004
N06000001,1014,909,18,87
N06000002,1042,974,6,62
N06000003,3113,2942,28,143
N06000004,810,648,66,96
N06000005,2125,2041,42,42
N06000006,1992,1853,43,96
N06000007,996,877,22,97
N06000008,1377,1280,48,49
N06000009,1627,1541,5,81
N06000010,653,620,3,30
N06000011,1068,1033,9,26
N06000012,914,809,17,88
N06000013,1630,1486,33,111
N06000014,1067,1018,20,29
N06000015,1003,913,30,60
N06000016,698,603,6,89
N06000017,663,597,7,59
N06000018,732,635,24,73
