GeographyCode,LC3605NI0001,LC3605NI0002,LC3605NI0003,LC3605NI0004,LC3605NI0005,LC3605NI0006,LC3605NI0007,LC3605NI0008,LC3605NI0009,LC3605NI0010,LC3605NI0011,LC3605NI0012,LC3605NI0013,LC3605NI0014,LC3605NI0015,LC3605NI0016,LC3605NI0017,LC3605NI0018,LC3605NI0019,LC3605NI0020,LC3605NI0021,LC3605NI0022,LC3605NI0023,LC3605NI0024
95AA01,3177,350,2827,2343,135,2208,543,49,494,1800,86,1714,834,215,619,275,99,176,94,80,14,465,36,429
95AA02,1319,342,977,826,84,742,229,32,197,597,52,545,493,258,235,232,135,97,99,89,10,162,34,128
95AA03,1317,334,983,775,79,696,230,28,202,545,51,494,542,255,287,204,111,93,103,93,10,235,51,184
95AA04,2227,314,1913,1570,117,1453,457,45,412,1113,72,1041,657,197,460,244,84,160,75,69,6,338,44,294
95AA05,1924,328,1596,1276,100,1176,310,26,284,966,74,892,648,228,420,242,92,150,98,87,11,308,49,259
95AA06,3133,566,2567,2093,158,1935,673,64,609,1420,94,1326,1040,408,632,276,158,118,206,186,20,558,64,494
95AA07,1592,304,1288,1046,73,973,272,29,243,774,44,730,546,231,315,215,91,124,117,109,8,214,31,183
95AA08,1262,357,905,700,74,626,228,31,197,472,43,429,562,283,279,182,124,58,136,129,7,244,30,214
95AA09,1595,350,1245,915,78,837,296,24,272,619,54,565,680,272,408,251,125,126,126,109,17,303,38,265
95AA10,1461,372,1089,807,78,729,250,30,220,557,48,509,654,294,360,260,137,123,127,113,14,267,44,223
95AA11,3834,599,3235,2800,172,2628,663,53,610,2137,119,2018,1034,427,607,416,218,198,186,161,25,432,48,384
95AA12,2037,278,1759,1459,95,1364,402,33,369,1057,62,995,578,183,395,252,105,147,56,51,5,270,27,243
95AA13,2339,410,1929,1573,103,1470,384,33,351,1189,70,1119,766,307,459,291,134,157,140,126,14,335,47,288
95AA14,1678,258,1420,1151,84,1067,321,27,294,830,57,773,527,174,353,215,73,142,85,73,12,227,28,199
95AA15,3028,526,2502,2115,122,1993,543,39,504,1572,83,1489,913,404,509,246,135,111,220,197,23,447,72,375
95AA16,1351,347,1004,828,85,743,225,33,192,603,52,551,523,262,261,197,118,79,114,107,7,212,37,175
95AA17,1614,348,1266,1009,85,924,289,26,263,720,59,661,605,263,342,214,117,97,112,104,8,279,42,237
95AA18,1821,298,1523,1123,78,1045,292,26,266,831,52,779,698,220,478,402,129,273,71,66,5,225,25,200
95AA19,1888,332,1556,1186,70,1116,303,28,275,883,42,841,702,262,440,164,80,84,152,138,14,386,44,342
95BB01,2650,390,2260,1878,132,1746,530,52,478,1348,80,1268,772,258,514,325,133,192,95,84,11,352,41,311
95BB02,1711,451,1260,929,103,826,284,36,248,645,67,578,782,348,434,305,148,157,160,143,17,317,57,260
95BB03,3080,777,2303,1710,170,1540,460,58,402,1250,112,1138,1370,607,763,642,304,338,219,201,18,509,102,407
95BB04,2287,445,1842,1326,102,1224,415,45,370,911,57,854,961,343,618,536,217,319,103,93,10,322,33,289
95BB05,2559,503,2056,1696,145,1551,500,63,437,1196,82,1114,863,358,505,412,177,235,130,119,11,321,62,259
95BB06,2163,597,1566,1194,115,1079,337,34,303,857,81,776,969,482,487,358,203,155,209,184,25,402,95,307
95BB07,2136,474,1662,1302,102,1200,377,35,342,925,67,858,834,372,462,393,206,187,118,111,7,323,55,268
95BB08,1938,432,1506,1232,106,1126,358,43,315,874,63,811,706,326,380,315,161,154,131,120,11,260,45,215
95BB09,2293,351,1942,1534,100,1434,438,30,408,1096,70,1026,759,251,508,453,166,287,61,54,7,245,31,214
95BB10,2465,453,2012,1493,117,1376,424,46,378,1069,71,998,972,336,636,549,198,351,107,95,12,316,43,273
95BB11,2152,557,1595,1218,114,1104,396,54,342,822,60,762,934,443,491,462,251,211,146,135,11,326,57,269
95BB12,2025,429,1596,1138,100,1038,399,40,359,739,60,679,887,329,558,388,163,225,128,115,13,371,51,320
95BB13,3277,640,2637,2103,180,1923,668,80,588,1435,100,1335,1174,460,714,501,234,267,182,166,16,491,60,431
95BB14,2283,331,1952,1546,114,1432,437,45,392,1109,69,1040,737,217,520,379,127,252,56,52,4,302,38,264
95BB15,2527,533,1994,1546,135,1411,411,43,368,1135,92,1043,981,398,583,371,196,175,162,145,17,448,57,391
95BB16,2328,335,1993,1558,118,1440,428,43,385,1130,75,1055,770,217,553,413,131,282,61,52,9,296,34,262
95BB17,2532,502,2030,1703,159,1544,508,59,449,1195,100,1095,829,343,486,324,171,153,131,124,7,374,48,326
95BB18,3015,647,2368,1938,161,1777,512,53,459,1426,108,1318,1077,486,591,483,259,224,190,174,16,404,53,351
95BB19,3491,535,2956,2497,191,2306,763,61,702,1734,130,1604,994,344,650,418,179,239,117,110,7,459,55,404
95BB20,2495,624,1871,1355,127,1228,375,37,338,980,90,890,1140,497,643,393,205,188,235,210,25,512,82,430
95BB21,3420,852,2568,2057,208,1849,601,74,527,1456,134,1322,1363,644,719,580,339,241,239,219,20,544,86,458
95BB22,2146,481,1665,1258,102,1156,391,36,355,867,66,801,888,379,509,223,135,88,190,175,15,475,69,406
95BB23,2317,412,1905,1532,145,1387,484,58,426,1048,87,961,785,267,518,458,181,277,49,43,6,278,43,235
95CC01,1864,479,1385,994,81,913,295,26,269,699,55,644,870,398,472,222,137,85,213,197,16,435,64,371
95CC02,1971,348,1623,1287,97,1190,362,34,328,925,63,862,684,251,433,216,114,102,110,99,11,358,38,320
95CC03,1989,485,1504,995,74,921,331,35,296,664,39,625,994,411,583,201,117,84,227,200,27,566,94,472
95CC04,1699,298,1401,1074,73,1001,324,32,292,750,41,709,625,225,400,177,110,67,84,72,12,364,43,321
95CC05,1935,393,1542,1212,78,1134,328,23,305,884,55,829,723,315,408,238,158,80,111,101,10,374,56,318
95CC06,2003,360,1643,1264,92,1172,327,27,300,937,65,872,739,268,471,299,142,157,105,96,9,335,30,305
95CC07,2417,408,2009,1474,97,1377,420,38,382,1054,59,995,943,311,632,211,103,108,147,129,18,585,79,506
95CC08,1783,415,1368,944,90,854,275,31,244,669,59,610,839,325,514,222,133,89,134,123,11,483,69,414
95CC09,2490,351,2139,1722,102,1620,434,38,396,1288,64,1224,768,249,519,312,123,189,91,79,12,365,47,318
