GeographyCode,LC3603NI0001,LC3603NI0002,LC3603NI0003,LC3603NI0004,LC3603NI0005,LC3603NI0006,LC3603NI0007,LC3603NI0008,LC3603NI0009,LC3603NI0010,LC3603NI0011,LC3603NI0012,LC3603NI0013,LC3603NI0014,LC3603NI0015,LC3603NI0016,LC3603NI0017,LC3603NI0018,LC3603NI0019,LC3603NI0020,LC3603NI0021,LC3603NI0022,LC3603NI0023,LC3603NI0024,LC3603NI0025,LC3603NI0026,LC3603NI0027,LC3603NI0028,LC3603NI0029,LC3603NI0030,LC3603NI0031,LC3603NI0032
95AA01,3177,1673,1108,396,2343,1327,828,188,543,278,214,51,1800,1049,614,137,834,346,280,208,275,66,115,94,94,8,20,66,465,272,145,48
95AA02,1319,453,479,387,826,358,353,115,229,93,103,33,597,265,250,82,493,95,126,272,232,23,60,149,99,4,11,84,162,68,55,39
95AA03,1317,403,542,372,775,307,341,127,230,86,104,40,545,221,237,87,542,96,201,245,204,16,76,112,103,2,17,84,235,78,108,49
95AA04,2227,1030,874,323,1570,802,624,144,457,220,183,54,1113,582,441,90,657,228,250,179,244,48,112,84,75,3,14,58,338,177,124,37
95AA05,1924,869,725,330,1276,651,506,119,310,147,132,31,966,504,374,88,648,218,219,211,242,52,100,90,98,8,14,76,308,158,105,45
95AA06,3133,1466,1084,583,2093,1101,802,190,673,354,258,61,1420,747,544,129,1040,365,282,393,276,45,74,157,206,15,30,161,558,305,178,75
95AA07,1592,686,605,301,1046,535,416,95,272,130,108,34,774,405,308,61,546,151,189,206,215,37,99,79,117,5,24,88,214,109,66,39
95AA08,1262,446,476,340,700,325,294,81,228,103,101,24,472,222,193,57,562,121,182,259,182,17,54,111,136,3,21,112,244,101,107,36
95AA09,1595,568,599,428,915,398,383,134,296,123,120,53,619,275,263,81,680,170,216,294,251,38,96,117,126,6,6,114,303,126,114,63
95AA10,1461,498,583,380,807,357,357,93,250,113,101,36,557,244,256,57,654,141,226,287,260,50,88,122,127,5,17,105,267,86,121,60
95AA11,3834,1782,1436,616,2800,1500,1077,223,663,349,255,59,2137,1151,822,164,1034,282,359,393,416,61,172,183,186,7,37,142,432,214,150,68
95AA12,2037,1029,738,270,1459,804,555,100,402,218,150,34,1057,586,405,66,578,225,183,170,252,59,99,94,56,2,4,50,270,164,80,26
95AA13,2339,1050,858,431,1573,819,612,142,384,196,143,45,1189,623,469,97,766,231,246,289,291,49,118,124,140,7,13,120,335,175,115,45
95AA14,1678,771,607,300,1151,588,444,119,321,154,135,32,830,434,309,87,527,183,163,181,215,62,74,79,85,7,13,65,227,114,76,37
95AA15,3028,1320,1140,568,2115,1051,880,184,543,260,221,62,1572,791,659,122,913,269,260,384,246,51,66,129,220,9,32,179,447,209,162,76
95AA16,1351,466,523,362,828,353,374,101,225,85,107,33,603,268,267,68,523,113,149,261,197,33,53,111,114,2,8,104,212,78,88,46
95AA17,1614,663,582,369,1009,497,397,115,289,133,119,37,720,364,278,78,605,166,185,254,214,32,65,117,112,7,11,94,279,127,109,43
95AA18,1821,877,670,274,1123,630,419,74,292,164,106,22,831,466,313,52,698,247,251,200,402,110,169,123,71,3,19,49,225,134,63,28
95AA19,1888,917,621,350,1186,685,399,102,303,159,111,33,883,526,288,69,702,232,222,248,164,28,57,79,152,9,37,106,386,195,128,63
95BB01,2650,1179,1055,416,1878,914,817,147,530,233,246,51,1348,681,571,96,772,265,238,269,325,72,117,136,95,4,9,82,352,189,112,51
95BB02,1711,567,654,490,929,400,412,117,284,118,118,48,645,282,294,69,782,167,242,373,305,52,95,158,160,7,16,137,317,108,131,78
95BB03,3080,1069,1212,799,1710,774,727,209,460,192,189,79,1250,582,538,130,1370,295,485,590,642,100,246,296,219,6,27,186,509,189,212,108
95BB04,2287,944,905,438,1326,662,545,119,415,201,163,51,911,461,382,68,961,282,360,319,536,109,225,202,103,6,13,84,322,167,122,33
95BB05,2559,1077,948,534,1696,831,687,178,500,223,204,73,1196,608,483,105,863,246,261,356,412,87,151,174,130,2,12,116,321,157,98,66
95BB06,2163,705,832,626,1194,530,518,146,337,148,148,41,857,382,370,105,969,175,314,480,358,29,129,200,209,7,28,174,402,139,157,106
95BB07,2136,825,821,490,1302,611,547,144,377,160,165,52,925,451,382,92,834,214,274,346,393,61,146,186,118,7,16,95,323,146,112,65
95BB08,1938,730,722,486,1232,581,504,147,358,171,135,52,874,410,369,95,706,149,218,339,315,33,113,169,131,5,18,108,260,111,87,62
95BB09,2293,981,919,393,1534,774,620,140,438,221,178,39,1096,553,442,101,759,207,299,253,453,86,209,158,61,1,7,53,245,120,83,42
95BB10,2465,1079,949,437,1493,756,598,139,424,198,176,50,1069,558,422,89,972,323,351,298,549,157,221,171,107,5,14,88,316,161,116,39
95BB11,2152,733,821,598,1218,530,525,163,396,154,169,73,822,376,356,90,934,203,296,435,462,58,148,256,146,8,18,120,326,137,130,59
95BB12,2025,804,771,450,1138,551,459,128,399,196,154,49,739,355,305,79,887,253,312,322,388,88,151,149,128,3,20,105,371,162,141,68
95BB13,3277,1326,1251,700,2103,1008,842,253,668,321,259,88,1435,687,583,165,1174,318,409,447,501,74,202,225,182,4,26,152,491,240,181,70
95BB14,2283,1067,899,317,1546,799,617,130,437,226,171,40,1109,573,446,90,737,268,282,187,379,108,166,105,56,2,6,48,302,158,110,34
95BB15,2527,1072,901,554,1546,775,602,169,411,193,165,53,1135,582,437,116,981,297,299,385,371,70,128,173,162,8,24,130,448,219,147,82
95BB16,2328,1084,892,352,1558,793,625,140,428,205,177,46,1130,588,448,94,770,291,267,212,413,108,180,125,61,6,14,41,296,177,73,46
95BB17,2532,968,1020,544,1703,756,749,198,508,214,222,72,1195,542,527,126,829,212,271,346,324,49,107,168,131,5,15,111,374,158,149,67
95BB18,3015,1217,1128,670,1938,960,776,202,512,241,199,72,1426,719,577,130,1077,257,352,468,483,71,171,241,190,7,20,163,404,179,161,64
95BB19,3491,1486,1448,557,2497,1193,1084,220,763,371,323,69,1734,822,761,151,994,293,364,337,418,88,154,176,117,5,17,95,459,200,193,66
95BB20,2495,1019,823,653,1355,701,490,164,375,178,144,53,980,523,346,111,1140,318,333,489,393,67,124,202,235,5,28,202,512,246,181,85
95BB21,3420,1284,1290,846,2057,968,858,231,601,279,240,82,1456,689,618,149,1363,316,432,615,580,64,195,321,239,7,34,198,544,245,203,96
95BB22,2146,743,813,590,1258,541,548,169,391,163,162,66,867,378,386,103,888,202,265,421,223,25,69,129,190,10,15,165,475,167,181,127
95BB23,2317,1004,924,389,1532,767,614,151,484,227,197,60,1048,540,417,91,785,237,310,238,458,89,205,164,49,4,6,39,278,144,99,35
95CC01,1864,765,647,452,994,514,385,95,295,162,101,32,699,352,284,63,870,251,262,357,222,29,61,132,213,15,47,151,435,207,154,74
95CC02,1971,1000,633,338,1287,743,439,105,362,199,129,34,925,544,310,71,684,257,194,233,216,45,76,95,110,2,11,97,358,210,107,41
95CC03,1989,750,703,536,995,480,413,102,331,143,147,41,664,337,266,61,994,270,290,434,201,33,54,114,227,5,26,196,566,232,210,124
95CC04,1699,845,545,309,1074,626,361,87,324,184,108,32,750,442,253,55,625,219,184,222,177,26,46,105,84,1,18,65,364,192,120,52
95CC05,1935,856,651,428,1212,635,452,125,328,169,121,38,884,466,331,87,723,221,199,303,238,20,67,151,111,4,12,95,374,197,120,57
95CC06,2003,940,708,355,1264,687,467,110,327,167,127,33,937,520,340,77,739,253,241,245,299,53,116,130,105,5,12,88,335,195,113,27
95CC07,2417,1199,805,413,1474,862,493,119,420,244,137,39,1054,618,356,80,943,337,312,294,211,38,75,98,147,9,15,123,585,290,222,73
95CC08,1783,769,605,409,944,501,346,97,275,147,100,28,669,354,246,69,839,268,259,312,222,22,77,123,134,4,15,115,483,242,167,74
95CC09,2490,1151,976,363,1722,911,681,130,434,211,184,39,1288,700,497,91,768,240,295,233,312,52,139,121,91,6,21,64,365,182,135,48
95CC10,1889,915,642,332,1243,695,427,121,322,178,113,31,921,517,314,90,646,220,215,211,299,53,124,122,68,6,12,50,279,161,79,39
95CC11,1334,524,427,383,670,349,250,71,184,86,70,28,486,263,180,43,664,175,177,312,194,29,49,116,125,6,13,106,345,140,115,90
95CC12,1965,929,672,364,1282,681,479,122,346,168,133,45,936,513,346,77,683,248,193,242,236,30,89,117,100,5,13,82,347,213,91,43
95CC13,1784,879,574,331,1186,673,397,116,339,180,115,44,847,493,282,72,598,206,177,215,161,34,49,78,109,4,16,89,328,168,112,48
95CC14,2160,935,796,429,1449,731,573,145,420,200,172,48,1029,531,401,97,711,204,223,284,294,57,104,133,133,4,18,111,284,143,101,40
95CC15,2065,954,694,417,1318,700,496,122,352,186,121,45,966,514,375,77,747,254,198,295,249,46,73,130,128,6,17,105,370,202,108,60
95CC16,1964,793,724,447,1217,601,477,139,360,170,146,44,857,431,331,95,747,192,247,308,262,36,101,125,165,7,28,130,320,149,118,53
95CC17,2001,1009,646,346,1337,761,453,123,368,193,136,39,969,568,317,84,664,248,193,223,214,32,79,103,90,4,10,76,360,212,104,44
95CC18,1712,752,619,341,1049,549,399,101,295,150,113,32,754,399,286,69,663,203,220,240,273,56,94,123,100,4,19,77,290,143,107,40
95CC19,1910,887,654,369,1283,691,458,134,357,188,117,52,926,503,341,82,627,196,196,235,218,36,75,107,115,10,16,89,294,150,105,39
