GeographyCode,LC2601NI0001,LC2601NI0002,LC2601NI0003,LC2601NI0004,LC2601NI0005,LC2601NI0006,LC2601NI0007,LC2601NI0008,LC2601NI0009,LC2601NI0010,LC2601NI0011,LC2601NI0012,LC2601NI0013,LC2601NI0014,LC2601NI0015,LC2601NI0016,LC2601NI0017,LC2601NI0018,LC2601NI0019,LC2601NI0020,LC2601NI0021
95AA01,3177,2252,925,2473,1700,773,1688,1023,665,785,677,108,704,552,152,320,203,117,384,349,35
95AA02,1319,1123,196,892,736,156,573,470,103,319,266,53,427,387,40,85,70,15,342,317,25
95AA03,1317,1156,161,840,724,116,544,470,74,296,254,42,477,432,45,154,137,17,323,295,28
95AA04,2227,2044,183,1660,1519,141,879,820,59,781,699,82,567,525,42,214,192,22,353,333,20
95AA05,1924,1741,183,1362,1222,140,841,759,82,521,463,58,562,519,43,189,170,19,373,349,24
95AA06,3133,2851,282,2258,2050,208,1512,1359,153,746,691,55,875,801,74,391,359,32,484,442,42
95AA07,1592,1441,151,1112,998,114,626,558,68,486,440,46,480,443,37,158,141,17,322,302,20
95AA08,1262,1065,197,804,671,133,520,433,87,284,238,46,458,394,64,157,134,23,301,260,41
95AA09,1595,1323,272,1015,816,199,656,520,136,359,296,63,580,507,73,205,181,24,375,326,49
95AA10,1461,1263,198,900,774,126,552,477,75,348,297,51,561,489,72,174,152,22,387,337,50
95AA11,3834,3035,799,2934,2275,659,2125,1587,538,809,688,121,900,760,140,321,255,66,579,505,74
95AA12,2037,1879,158,1495,1373,122,770,711,59,725,662,63,542,506,36,202,188,14,340,318,22
95AA13,2339,2008,331,1681,1429,252,1072,907,165,609,522,87,658,579,79,235,201,34,423,378,45
95AA14,1678,1550,128,1215,1117,98,647,597,50,568,520,48,463,433,30,143,132,11,320,301,19
95AA15,3028,2310,718,2276,1690,586,1687,1210,477,589,480,109,752,620,132,324,258,66,428,362,66
95AA16,1351,1082,269,896,686,210,608,450,158,288,236,52,455,396,59,170,143,27,285,253,32
95AA17,1614,1364,250,1117,932,185,699,573,126,418,359,59,497,432,65,187,158,29,310,274,36
95AA18,1821,1626,195,1160,1027,133,582,498,84,578,529,49,661,599,62,142,130,12,519,469,50
95AA19,1888,1779,109,1271,1186,85,829,779,50,442,407,35,617,593,24,261,252,9,356,341,15
95BB01,2650,2473,177,1976,1836,140,1130,1056,74,846,780,66,674,637,37,226,218,8,448,419,29
95BB02,1711,1528,183,1037,923,114,616,540,76,421,383,38,674,605,69,187,164,23,487,441,46
95BB03,3080,2718,362,1861,1655,206,1136,1016,120,725,639,86,1219,1063,156,339,293,46,880,770,110
95BB04,2287,2057,230,1429,1268,161,723,642,81,706,626,80,858,789,69,191,176,15,667,613,54
95BB05,2559,2308,251,1784,1619,165,943,869,74,841,750,91,775,689,86,215,193,22,560,496,64
95BB06,2163,1908,255,1353,1168,185,922,785,137,431,383,48,810,740,70,247,215,32,563,525,38
95BB07,2136,1925,211,1414,1262,152,878,777,101,536,485,51,722,663,59,193,176,17,529,487,42
95BB08,1938,1762,176,1317,1182,135,815,738,77,502,444,58,621,580,41,168,151,17,453,429,24
95BB09,2293,2060,233,1604,1423,181,844,745,99,760,678,82,689,637,52,151,138,13,538,499,39
95BB10,2465,2135,330,1583,1356,227,797,679,118,786,677,109,882,779,103,190,166,24,692,613,79
95BB11,2152,1922,230,1330,1179,151,752,674,78,578,505,73,822,743,79,189,175,14,633,568,65
95BB12,2025,1803,222,1255,1105,150,775,685,90,480,420,60,770,698,72,246,217,29,524,481,43
95BB13,3277,2959,318,2263,2040,223,1354,1214,140,909,826,83,1014,919,95,311,277,34,703,642,61
95BB14,2283,2007,276,1603,1400,203,789,691,98,814,709,105,680,607,73,200,182,18,480,425,55
95BB15,2527,2327,200,1685,1565,120,1041,961,80,644,604,40,842,762,80,264,238,26,578,524,54
95BB16,2328,2149,179,1603,1479,124,754,708,46,849,771,78,725,670,55,203,184,19,522,486,36
95BB17,2532,2257,275,1823,1636,187,1127,1007,120,696,629,67,709,621,88,258,225,33,451,396,55
95BB18,3015,2712,303,2042,1838,204,1306,1195,111,736,643,93,973,874,99,296,260,36,677,614,63
95BB19,3491,3178,313,2627,2393,234,1622,1472,150,1005,921,84,864,785,79,290,264,26,574,521,53
95BB20,2495,2279,216,1537,1405,132,964,891,73,573,514,59,958,874,84,322,288,34,636,586,50
95BB21,3420,3055,365,2209,1983,226,1393,1271,122,816,712,104,1211,1072,139,358,313,45,853,759,94
95BB22,2146,1917,229,1432,1274,158,1019,910,109,413,364,49,714,643,71,304,269,35,410,374,36
95BB23,2317,2091,226,1604,1438,166,838,756,82,766,682,84,713,653,60,170,151,19,543,502,41
95CC01,1864,1537,327,1145,912,233,742,581,161,403,331,72,719,625,94,285,234,51,434,391,43
95CC02,1971,1819,152,1400,1297,103,850,794,56,550,503,47,571,522,49,225,210,15,346,312,34
95CC03,1989,1487,502,1199,845,354,867,569,298,332,276,56,790,642,148,362,283,79,428,359,69
95CC04,1699,1485,214,1164,1009,155,739,652,87,425,357,68,535,476,59,228,207,21,307,269,38
95CC05,1935,1723,212,1314,1143,171,853,732,121,461,411,50,621,580,41,234,215,19,387,365,22
95CC06,2003,1686,317,1391,1164,227,843,696,147,548,468,80,612,522,90,204,169,35,408,353,55
95CC07,2417,2048,369,1623,1376,247,1049,892,157,574,484,90,794,672,122,387,329,58,407,343,64
95CC08,1783,1519,264,1110,928,182,749,610,139,361,318,43,673,591,82,279,244,35,394,347,47
95CC09,2490,2282,208,1809,1654,155,1140,1045,95,669,609,60,681,628,53,235,210,25,446,418,28
95CC10,1889,1724,165,1326,1208,118,738,658,80,588,550,38,563,516,47,166,154,12,397,362,35
95CC11,1334,1071,263,794,624,170,516,404,112,278,220,58,540,447,93,194,166,28,346,281,65
95CC12,1965,1832,133,1367,1274,93,841,794,47,526,480,46,598,558,40,235,220,15,363,338,25
95CC13,1784,1574,210,1275,1131,144,801,720,81,474,411,63,509,443,66,198,175,23,311,268,43
95CC14,2160,1952,208,1526,1373,153,988,906,82,538,467,71,634,579,55,206,185,21,428,394,34
95CC15,2065,1887,178,1411,1279,132,884,790,94,527,489,38,654,608,46,259,241,18,395,367,28
95CC16,1964,1759,205,1300,1143,157,851,743,108,449,400,49,664,616,48,245,230,15,419,386,33
95CC17,2001,1787,214,1451,1292,159,943,841,102,508,451,57,550,495,55,223,205,18,327,290,37
95CC18,1712,1347,365,1125,867,258,653,486,167,472,381,91,587,480,107,199,146,53,388,334,54
95CC19,1910,1736,174,1345,1221,124,826,746,80,519,475,44,565,515,50,226,206,20,339,309,30
95CC20,2198,1905,293,1541,1322,219,898,763,135,643,559,84,657,583,74,258,218,40,399,365,34
95CC21,2120,1881,239,1470,1302,168,921,803,118,549,499,50,650,579,71,229,206,23,421,373,48
95CC22,1291,1005,286,825,628,197,517,371,146,308,257,51,466,377,89,140,99,41,326,278,48
95DD01,1527,1314,213,939,783,156,487,376,111,452,407,45,588,531,57,136,119,17,452,412,40
95DD02,2831,2619,212,2076,1920,156,1334,1228,106,742,692,50,755,699,56,255,236,19,500,463,37
95DD03,2537,2134,403,1819,1500,319,1189,961,228,630,539,91,718,634,84,213,168,45,505,466,39
95DD04,1377,1254,123,824,744,80,540,492,48,284,252,32,553,510,43,215,200,15,338,310,28
95DD05,1286,1177,109,774,711,63,500,461,39,274,250,24,512,466,46,227,212,15,285,254,31
95DD06,1870,1646,224,1235,1073,162,641,535,106,594,538,56,635,573,62,147,126,21,488,447,41
95DD07,2379,2196,183,1587,1463,124,945,861,84,642,602,40,792,733,59,213,188,25,579,545,34
95DD08,1596,1117,479,1049,649,400,711,392,319,338,257,81,547,468,79,183,135,48,364,333,31
95DD09,1863,1759,104,1329,1253,76,722,675,47,607,578,29,534,506,28,170,158,12,364,348,16
95DD10,2073,1929,144,1400,1282,118,886,801,85,514,481,33,673,647,26,206,200,6,467,447,20
95DD11,1628,1271,357,1055,785,270,768,569,199,287,216,71,573,486,87,282,233,49,291,253,38
95DD12,1857,1752,105,1324,1257,67,760,726,34,564,531,33,533,495,38,189,177,12,344,318,26
95DD13,1262,1000,262,813,612,201,518,365,153,295,247,48,449,388,61,164,132,32,285,256,29
95DD14,2369,2150,219,1723,1567,156,975,880,95,748,687,61,646,583,63,202,183,19,444,400,44
95DD15,2459,2311,148,1802,1695,107,1168,1100,68,634,595,39,657,616,41,270,253,17,387,363,24
95DD16,2166,2016,150,1615,1503,112,938,870,68,677,633,44,551,513,38,177,163,14,374,350,24
95DD17,2469,2336,133,1815,1709,106,1148,1091,57,667,618,49,654,627,27,238,229,9,416,398,18
95DD18,1403,1242,161,899,769,130,545,453,92,354,316,38,504,473,31,131,118,13,373,355,18
95DD19,2429,2236,193,1714,1570,144,1070,983,87,644,587,57,715,666,49,244,222,22,471,444,27
95DD20,1296,1173,123,773,680,93,507,442,65,266,238,28,523,493,30,182,168,14,341,325,16
95DD21,1579,1230,349,1138,850,288,712,489,223,426,361,65,441,380,61,152,117,35,289,263,26
95DD22,2274,2124,150,1541,1439,102,938,874,64,603,565,38,733,685,48,268,246,22,465,439,26
95DD23,1810,1709,101,1354,1274,80,765,712,53,589,562,27,456,435,21,148,143,5,308,292,16
95DD24,1997,1678,319,1422,1159,263,883,688,195,539,471,68,575,519,56,194,168,26,381,351,30
95EE01,1339,1270,69,872,825,47,607,582,25,265,243,22,467,445,22,198,192,6,269,253,16
95EE02,1539,1449,90,1035,972,63,635,601,34,400,371,29,504,477,27,180,171,9,324,306,18
95EE03,1488,1335,153,912,812,100,558,487,71,354,325,29,576,523,53,238,218,20,338,305,33
95EE04,1463,1377,86,986,924,62,637,595,42,349,329,20,477,453,24,202,188,14,275,265,10
95EE05,1136,1036,100,755,688,67,408,377,31,347,311,36,381,348,33,125,108,17,256,240,16
95EE06,1587,1480,107,1071,995,76,738,677,61,333,318,15,516,485,31,274,251,23,242,234,8
95EE07,1258,1192,66,780,740,40,510,486,24,270,254,16,478,452,26,176,164,12,302,288,14
95EE08,1242,1115,127,792,698,94,422,367,55,370,331,39,450,417,33,147,138,9,303,279,24
95EE09,1358,1271,87,915,853,62,561,514,47,354,339,15,443,418,25,194,187,7,249,231,18
95EE10,1292,1159,133,878,789,89,580,507,73,298,282,16,414,370,44,174,141,33,240,229,11
95EE11,1232,1161,71,820,770,50,459,432,27,361,338,23,412,391,21,166,156,10,246,235,11
95EE12,1862,1682,180,1197,1069,128,837,741,96,360,328,32,665,613,52,295,267,28,370,346,24
95EE13,1102,994,108,602,540,62,334,295,39,268,245,23,500,454,46,151,136,15,349,318,31
95EE14,1922,1752,170,1278,1173,105,845,782,63,433,391,42,644,579,65,257,236,21,387,343,44
95EE15,1256,1178,78,851,795,56,538,501,37,313,294,19,405,383,22,156,146,10,249,237,12
95EE16,1482,1365,117,996,925,71,620,576,44,376,349,27,486,440,46,206,191,15,280,249,31
95FF01,3432,2991,441,2562,2222,340,1621,1411,210,941,811,130,870,769,101,332,285,47,538,484,54
95FF02,1957,1824,133,1410,1308,102,916,850,66,494,458,36,547,516,31,228,214,14,319,302,17
95FF03,2182,1942,240,1571,1399,172,1083,955,128,488,444,44,611,543,68,256,225,31,355,318,37
95FF04,1866,1744,122,1370,1276,94,748,696,52,622,580,42,496,468,28,202,193,9,294,275,19
95FF05,1835,1619,216,1236,1072,164,818,703,115,418,369,49,599,547,52,189,168,21,410,379,31
95FF06,2855,2552,303,2158,1923,235,1450,1288,162,708,635,73,697,629,68,261,228,33,436,401,35
95FF07,1953,1736,217,1257,1104,153,857,753,104,400,351,49,696,632,64,273,242,31,423,390,33
95FF08,1697,1535,162,1080,977,103,644,577,67,436,400,36,617,558,59,181,166,15,436,392,44
95FF09,1795,1597,198,1144,1009,135,724,626,98,420,383,37,651,588,63,260,236,24,391,352,39
95FF10,2491,2313,178,1844,1705,139,1175,1089,86,669,616,53,647,608,39,261,240,21,386,368,18
95FF11,1852,1707,145,1353,1256,97,815,762,53,538,494,44,499,451,48,188,168,20,311,283,28
95FF12,2046,1881,165,1425,1306,119,897,824,73,528,482,46,621,575,46,217,203,14,404,372,32
