GeographyCode,LC6403NI0001,LC6403NI0002,LC6403NI0003,LC6403NI0004,LC6403NI0005,LC6403NI0006,LC6403NI0007,LC6403NI0008,LC6403NI0009,LC6403NI0010,LC6403NI0011,LC6403NI0012,LC6403NI0013,LC6403NI0014,LC6403NI0015,LC6403NI0016,LC6403NI0017,LC6403NI0018,LC6403NI0019,LC6403NI0020
95AA01,1400,937,23,440,601,386,3,212,433,326,3,104,336,211,12,113,30,14,5,11
95AA02,711,422,124,165,152,113,12,27,137,91,15,31,379,214,75,90,43,4,22,17
95AA03,744,414,200,130,127,87,19,21,132,89,28,15,437,229,127,81,48,9,26,13
95AA04,918,838,5,75,329,316,0,13,336,314,1,21,232,195,4,33,21,13,0,8
95AA05,821,653,65,103,270,234,9,27,246,215,10,21,268,190,36,42,37,14,10,13
95AA06,1421,1143,114,164,436,394,6,36,384,326,23,35,523,386,65,72,78,37,20,21
95AA07,733,550,61,122,201,167,10,24,216,184,12,20,294,189,35,70,22,10,4,8
95AA08,639,373,151,115,113,82,20,11,117,81,23,13,355,195,82,78,54,15,26,13
95AA09,856,453,258,145,195,145,29,21,159,102,37,20,455,200,166,89,47,6,26,15
95AA10,723,443,206,74,174,146,17,11,132,107,15,10,346,178,125,43,71,12,49,10
95AA11,1819,1416,78,325,643,569,4,70,447,377,9,61,674,453,51,170,55,17,14,24
95AA12,874,766,26,82,383,359,2,22,305,264,11,30,171,133,11,27,15,10,2,3
95AA13,1106,773,84,249,383,325,14,44,264,204,14,46,411,227,49,135,48,17,7,24
95AA14,670,613,3,54,258,236,1,21,224,214,0,10,168,153,2,13,20,10,0,10
95AA15,1521,952,258,311,466,367,38,61,322,228,43,51,658,348,134,176,75,9,43,23
95AA16,744,387,193,164,127,84,16,27,134,85,27,22,438,215,117,106,45,3,33,9
95AA17,808,565,149,94,211,173,22,16,147,120,18,9,401,260,85,56,49,12,24,13
95AA18,851,707,10,134,437,377,1,59,246,211,3,32,154,109,4,41,14,10,2,2
95AA19,740,528,103,109,168,138,11,19,237,207,14,16,285,172,57,56,50,11,21,18
95BB01,1176,1044,59,73,405,379,6,20,383,356,10,17,368,297,37,34,20,12,6,2
95BB02,889,482,262,145,189,142,24,23,205,141,43,21,424,188,162,74,71,11,33,27
95BB03,1516,1092,180,244,399,340,9,50,431,346,30,55,621,385,119,117,65,21,22,22
95BB04,1081,856,83,142,427,387,5,35,298,248,13,37,325,216,50,59,31,5,15,11
95BB05,1168,939,90,139,373,334,4,35,419,368,13,38,348,223,64,61,28,14,9,5
95BB06,1245,592,290,363,254,155,28,71,263,160,34,69,641,260,196,185,87,17,32,38
95BB07,1101,696,199,206,315,246,21,48,295,204,39,52,447,237,120,90,44,9,19,16
95BB08,936,663,167,106,230,190,19,21,236,182,30,24,431,276,104,51,39,15,14,10
95BB09,1107,895,31,181,466,413,7,46,306,257,5,44,308,214,16,78,27,11,3,13
95BB10,1255,907,124,224,487,420,12,55,358,285,21,52,363,185,81,97,47,17,10,20
95BB11,1104,763,236,105,292,250,22,20,277,219,39,19,475,276,147,52,60,18,28,14
95BB12,1015,632,244,139,308,273,16,19,193,141,29,23,450,203,170,77,64,15,29,20
95BB13,1560,1162,263,135,516,452,33,31,385,319,41,25,593,368,161,64,66,23,28,15
95BB14,1011,880,28,103,496,454,0,42,306,274,3,29,189,137,22,30,20,15,3,2
95BB15,1148,853,104,191,282,246,5,31,421,352,17,52,383,236,68,79,62,19,14,29
95BB16,1020,922,25,73,454,428,3,23,343,319,6,18,213,165,16,32,10,10,0,0
95BB17,1282,978,164,140,354,321,11,22,379,313,28,38,491,331,95,65,58,13,30,15
95BB18,1469,1164,117,188,483,424,9,50,450,398,14,38,487,331,82,74,49,11,12,26
95BB19,1589,1414,36,139,554,518,7,29,456,421,6,29,551,466,19,66,28,9,4,15
95BB20,1135,761,170,204,285,229,19,37,370,286,25,59,409,226,99,84,71,20,27,24
95BB21,1645,1320,101,224,418,362,10,46,526,454,21,51,631,470,56,105,70,34,14,22
95BB22,1134,623,399,112,223,181,30,12,244,163,57,24,574,269,249,56,93,10,63,20
95BB23,1036,945,8,83,402,381,2,19,312,285,2,25,301,265,3,33,21,14,1,6
95CC01,818,514,82,222,176,153,7,16,195,151,14,30,352,179,43,130,95,31,18,46
95CC02,773,655,24,94,190,169,1,20,300,272,6,22,242,190,11,41,41,24,6,11
95CC03,1000,404,274,322,147,93,26,28,205,110,43,52,487,165,134,188,161,36,71,54
95CC04,677,554,38,85,136,118,5,13,245,222,3,20,254,195,18,41,42,19,12,11
95CC05,821,668,29,124,190,165,3,22,241,214,6,21,344,258,16,70,46,31,4,11
95CC06,951,746,47,158,359,328,5,26,243,204,12,27,301,195,23,83,48,19,7,22
95CC07,1000,773,71,156,233,192,6,35,327,290,10,27,340,240,40,60,100,51,15,34
95CC08,868,488,160,220,222,163,19,40,171,118,19,34,344,180,68,96,131,27,54,50
95CC09,1091,917,28,146,324,291,3,30,374,334,7,33,362,278,14,70,31,14,4,13
95CC10,790,671,18,101,279,250,2,27,250,228,3,19,239,182,11,46,22,11,2,9
95CC11,667,384,102,181,119,81,7,31,135,95,11,29,309,168,52,89,104,40,32,32
95CC12,795,688,31,76,183,168,1,14,298,274,6,18,272,227,14,31,42,19,10,13
95CC13,713,593,43,77,164,151,3,10,238,212,10,16,278,213,24,41,33,17,6,10
95CC14,1006,827,36,143,304,276,2,26,293,269,1,23,380,271,26,83,29,11,7,11
95CC15,880,707,53,120,239,205,5,29,242,218,6,18,363,264,34,65,36,20,8,8
95CC16,926,618,114,194,208,169,11,28,244,192,15,37,409,238,69,102,65,19,19,27
95CC17,806,683,7,116,224,206,1,17,277,244,2,31,264,213,4,47,41,20,0,21
95CC18,809,532,111,166,314,253,19,42,181,143,13,25,268,126,61,81,46,10,18,18
95CC19,853,661,80,112,246,206,9,31,295,256,12,27,271,189,41,41,41,10,18,13
95CC20,1015,805,65,145,330,300,4,26,262,233,9,20,400,265,47,88,23,7,5,11
95CC21,1032,734,124,174,274,220,13,41,254,215,11,28,448,279,83,86,56,20,17,19
95CC22,692,341,203,148,155,93,30,32,135,87,32,16,345,146,118,81,57,15,23,19
95DD01,689,564,23,102,286,254,2,30,162,142,3,17,218,154,17,47,23,14,1,8
95DD02,1329,1048,100,181,383,338,8,37,286,252,10,24,617,444,71,102,43,14,11,18
95DD03,1228,947,20,261,535,466,2,67,263,218,2,43,399,250,13,136,31,13,3,15
95DD04,739,300,347,92,90,46,38,6,91,51,34,6,481,195,220,66,77,8,55,14
95DD05,651,329,255,67,91,61,21,9,96,62,29,5,388,193,154,41,76,13,51,12
95DD06,792,699,5,88,317,293,1,23,205,191,0,14,258,205,3,50,12,10,1,1
95DD07,1154,834,99,221,403,332,8,63,239,182,12,45,469,306,70,93,43,14,9,20
95DD08,839,323,136,380,158,85,14,59,132,75,16,41,468,151,69,248,81,12,37,32
95DD09,797,691,18,88,246,231,1,14,275,243,2,30,250,204,10,36,26,13,5,8
95DD10,996,677,171,148,218,185,14,19,177,130,24,23,539,340,105,94,62,22,28,12
95DD11,882,388,259,235,161,105,32,24,152,87,34,31,461,183,137,141,108,13,56,39
95DD12,766,672,20,74,211,193,2,16,270,255,3,12,268,215,13,40,17,9,2,6
95DD13,630,374,106,150,130,100,13,17,117,77,13,27,327,185,56,86,56,12,24,20
95DD14,1066,916,29,121,445,418,2,25,250,220,5,25,347,266,19,62,24,12,3,9
95DD15,1061,854,47,160,341,303,7,31,330,292,7,31,342,243,26,73,48,16,7,25
95DD16,898,794,14,90,309,278,5,26,292,272,2,18,279,232,5,42,18,12,2,4
95DD17,1012,883,23,106,322,291,7,24,363,325,2,36,308,255,12,41,19,12,2,5
95DD18,729,428,81,220,141,105,8,28,130,96,7,27,412,220,55,137,46,7,11,28
95DD19,1137,879,96,162,341,296,13,32,304,258,13,33,453,315,56,82,39,10,14,15
95DD20,708,305,273,130,77,40,25,12,91,50,28,13,467,208,180,79,73,7,40,26
95DD21,770,497,15,258,209,165,2,42,152,125,1,26,364,191,12,161,45,16,0,29
