GeographyCode,LC6112NI0001,LC6112NI0002,LC6112NI0003,LC6112NI0004,LC6112NI0005,LC6112NI0006,LC6112NI0007,LC6112NI0008,LC6112NI0009,LC6112NI0010,LC6112NI0011,LC6112NI0012,LC6112NI0013,LC6112NI0014,LC6112NI0015
95AA01,1400,996,404,601,433,168,433,315,118,336,235,101,30,13,17
95AA02,711,410,301,152,80,72,137,71,66,379,231,148,43,28,15
95AA03,744,385,359,127,59,68,132,70,62,437,238,199,48,18,30
95AA04,918,666,252,329,229,100,336,256,80,232,168,64,21,13,8
95AA05,821,535,286,270,179,91,246,160,86,268,181,87,37,15,22
95AA06,1421,826,595,436,272,164,384,214,170,523,307,216,78,33,45
95AA07,733,474,259,201,121,80,216,151,65,294,191,103,22,11,11
95AA08,639,305,334,113,54,59,117,53,64,355,181,174,54,17,37
95AA09,856,465,391,195,117,78,159,87,72,455,245,210,47,16,31
95AA10,723,391,332,174,100,74,132,79,53,346,185,161,71,27,44
95AA11,1819,1144,675,643,375,268,447,276,171,674,468,206,55,25,30
95AA12,874,635,239,383,274,109,305,232,73,171,123,48,15,6,9
95AA13,1106,649,457,383,223,160,264,157,107,411,245,166,48,24,24
95AA14,670,471,199,258,177,81,224,166,58,168,117,51,20,11,9
95AA15,1521,860,661,466,258,208,322,164,158,658,411,247,75,27,48
95AA16,744,414,330,127,59,68,134,66,68,438,261,177,45,28,17
95AA17,808,444,364,211,106,105,147,92,55,401,228,173,49,18,31
95AA18,851,565,286,437,294,143,246,164,82,154,102,52,14,5,9
95AA19,740,477,263,168,101,67,237,183,54,285,175,110,50,18,32
95BB01,1176,764,412,405,264,141,383,243,140,368,245,123,20,12,8
95BB02,889,519,370,189,109,80,205,130,75,424,238,186,71,42,29
95BB03,1516,918,598,399,238,161,431,280,151,621,365,256,65,35,30
95BB04,1081,699,382,427,303,124,298,180,118,325,202,123,31,14,17
95BB05,1168,780,388,373,246,127,419,291,128,348,227,121,28,16,12
95BB06,1245,687,558,254,130,124,263,143,120,641,369,272,87,45,42
95BB07,1101,591,510,315,167,148,295,164,131,447,251,196,44,9,35
95BB08,936,594,342,230,143,87,236,145,91,431,288,143,39,18,21
95BB09,1107,697,410,466,296,170,306,190,116,308,202,106,27,9,18
95BB10,1255,768,487,487,306,181,358,231,127,363,204,159,47,27,20
95BB11,1104,619,485,292,172,120,277,163,114,475,257,218,60,27,33
95BB12,1015,582,433,308,204,104,193,110,83,450,237,213,64,31,33
95BB13,1560,953,607,516,341,175,385,235,150,593,355,238,66,22,44
95BB14,1011,691,320,496,329,167,306,228,78,189,128,61,20,6,14
95BB15,1148,738,410,282,175,107,421,302,119,383,229,154,62,32,30
95BB16,1020,706,314,454,311,143,343,253,90,213,137,76,10,5,5
95BB17,1282,740,542,354,203,151,379,240,139,491,274,217,58,23,35
95BB18,1469,955,514,483,329,154,450,304,146,487,306,181,49,16,33
95BB19,1589,1052,537,554,366,188,456,288,168,551,387,164,28,11,17
95BB20,1135,686,449,285,152,133,370,264,106,409,233,176,71,37,34
95BB21,1645,1063,582,418,260,158,526,393,133,631,371,260,70,39,31
95BB22,1134,619,515,223,131,92,244,137,107,574,313,261,93,38,55
95BB23,1036,705,331,402,279,123,312,214,98,301,203,98,21,9,12
95CC01,818,441,377,176,89,87,195,124,71,352,193,159,95,35,60
95CC02,773,554,219,190,122,68,300,238,62,242,166,76,41,28,13
95CC03,1000,521,479,147,81,66,205,112,93,487,259,228,161,69,92
95CC04,677,466,211,136,72,64,245,199,46,254,167,87,42,28,14
95CC05,821,537,284,190,118,72,241,163,78,344,231,113,46,25,21
95CC06,951,512,439,359,199,160,243,130,113,301,166,135,48,17,31
95CC07,1000,627,373,233,116,117,327,245,82,340,222,118,100,44,56
95CC08,868,470,398,222,115,107,171,104,67,344,199,145,131,52,79
95CC09,1091,774,317,324,229,95,374,271,103,362,262,100,31,12,19
95CC10,790,555,235,279,199,80,250,189,61,239,152,87,22,15,7
95CC11,667,372,295,119,55,64,135,92,43,309,170,139,104,55,49
95CC12,795,556,239,183,118,65,298,234,64,272,181,91,42,23,19
95CC13,713,474,239,164,104,60,238,179,59,278,178,100,33,13,20
95CC14,1006,665,341,304,194,110,293,211,82,380,247,133,29,13,16
95CC15,880,582,298,239,170,69,242,155,87,363,242,121,36,15,21
95CC16,926,559,367,208,121,87,244,171,73,409,240,169,65,27,38
95CC17,806,567,239,224,143,81,277,210,67,264,191,73,41,23,18
95CC18,809,460,349,314,182,132,181,98,83,268,164,104,46,16,30
95CC19,853,581,272,246,160,86,295,232,63,271,174,97,41,15,26
95CC20,1015,672,343,330,221,109,262,166,96,400,278,122,23,7,16
95CC21,1032,665,367,274,177,97,254,172,82,448,287,161,56,29,27
95CC22,692,386,306,155,84,71,135,80,55,345,195,150,57,27,30
