GeographyCode,LC2405NI0001,LC2405NI0002,LC2405NI0003,LC2405NI0004,LC2405NI0005,LC2405NI0006,LC2405NI0007,LC2405NI0008,LC2405NI0009,LC2405NI0010,LC2405NI0011,LC2405NI0012,LC2405NI0013,LC2405NI0014,LC2405NI0015,LC2405NI0016,LC2405NI0017,LC2405NI0018,LC2405NI0019,LC2405NI0020,LC2405NI0021,LC2405NI0022,LC2405NI0023,LC2405NI0024
95BB23,1161,104,978,79,236,23,195,18,431,31,372,28,203,20,168,15,291,30,243,18,2.56,2.67,2.55,2.57
95CC01,904,819,68,17,234,213,16,5,256,233,17,6,180,160,19,1,234,213,16,5,2.63,2.63,2.63,2.65
95CC02,875,606,258,11,171,117,51,3,214,143,70,1,161,107,50,4,329,239,87,3,3.08,3.13,2.98,2.73
95CC03,1127,953,125,49,367,293,67,7,295,260,20,15,196,162,26,8,269,238,12,19,2.48,2.52,1.90,3.10
95CC04,790,534,243,13,177,102,73,2,188,134,53,1,132,83,43,6,293,215,74,4,3.02,3.13,2.76,3.23
95CC05,954,617,317,20,227,152,73,2,261,156,101,4,134,92,39,3,332,217,104,11,2.88,2.92,2.78,3.50
95CC06,1096,579,480,37,301,159,133,9,351,159,182,10,179,110,64,5,265,151,101,13,2.51,2.60,2.37,2.78
95CC07,1108,902,194,12,227,186,38,3,250,207,41,2,181,138,38,5,450,371,77,2,3.14,3.11,3.27,2.67
95CC08,990,903,65,22,286,269,15,2,292,269,14,9,158,136,16,6,254,229,20,5,2.54,2.51,2.80,2.68
95CC09,1190,100,1048,42,235,16,211,8,378,37,326,15,191,13,172,6,386,34,339,13,2.79,2.91,2.78,2.79
95CC10,901,165,708,28,186,35,145,6,281,40,231,10,169,33,132,4,265,57,200,8,2.77,2.95,2.73,2.79
95CC11,786,716,59,11,290,269,20,1,232,207,19,6,115,108,5,2,149,132,15,2,2.27,2.25,2.53,2.45
95CC12,890,395,477,18,175,80,90,5,209,71,132,6,158,55,100,3,348,189,155,4,3.09,3.32,2.93,2.44
95CC13,817,411,395,11,168,88,80,0,214,92,117,5,124,52,71,1,311,179,127,5,3.03,3.15,2.90,3.09
95CC14,1132,109,982,41,249,28,217,4,355,45,298,12,199,13,178,8,329,23,289,17,2.67,2.40,2.68,3.10
95CC15,1007,373,605,29,213,80,128,5,274,84,182,8,189,74,109,6,331,135,186,10,2.87,3.02,2.78,2.90
95CC16,1076,175,871,30,302,53,245,4,306,53,240,13,187,29,150,8,281,40,236,5,2.60,2.48,2.63,2.57
