ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC6402NI0001,Count,PERSONS,"All categories: Tenure, All categories: Economic Activity"
LC6402NI0002,Count,PERSONS,"All categories: Tenure, In employment"
LC6402NI0003,Count,PERSONS,"All categories: Tenure, Not in employment"
LC6402NI0004,Count,PERSONS,"Owner occupied, All categories: Economic Activity"
LC6402NI0005,Count,PERSONS,"Owner occupied, In employment"
LC6402NI0006,Count,PERSONS,"Owner occupied, Not in employment"
LC6402NI0007,Count,PERSONS,"Social rented, All categories: Economic Activity"
LC6402NI0008,Count,PERSONS,"Social rented, In employment"
LC6402NI0009,Count,PERSONS,"Social rented, Not in employment"
LC6402NI0010,Count,PERSONS,"Private rented, All categories: Economic Activity"
LC6402NI0011,Count,PERSONS,"Private rented, In employment"
LC6402NI0012,Count,PERSONS,"Private rented, Not in employment"

