GeographyCode,LC6113NI0001,LC6113NI0002,LC6113NI0003,LC6113NI0004,LC6113NI0005,LC6113NI0006,LC6113NI0007,LC6113NI0008,LC6113NI0009,LC6113NI0010,LC6113NI0011,LC6113NI0012,LC6113NI0013,LC6113NI0014,LC6113NI0015,LC6113NI0016,LC6113NI0017,LC6113NI0018,LC6113NI0019,LC6113NI0020,LC6113NI0021,LC6113NI0022,LC6113NI0023,LC6113NI0024,LC6113NI0025,LC6113NI0026,LC6113NI0027,LC6113NI0028,LC6113NI0029,LC6113NI0030
95AA01,3033,2106,927,2341,1677,664,441,293,148,1402,1026,376,368,297,71,130,61,69,692,429,263,275,206,69,86,44,42,331,179,152
95AA02,1319,693,626,892,476,416,211,103,108,551,314,237,64,42,22,66,17,49,427,217,210,232,147,85,99,35,64,96,35,61
95AA03,1317,618,699,840,411,429,223,97,126,504,274,230,48,29,19,65,11,54,477,207,270,204,110,94,103,39,64,170,58,112
95AA04,2218,1406,812,1654,1100,554,383,248,135,817,538,279,364,286,78,90,28,62,564,306,258,244,184,60,75,32,43,245,90,155
95AA05,1914,1184,730,1361,866,495,273,163,110,770,510,260,232,170,62,86,23,63,553,318,235,241,181,60,90,53,37,222,84,138
95AA06,3115,1805,1310,2257,1400,857,609,302,307,1247,859,388,236,195,41,165,44,121,858,405,453,275,174,101,190,110,80,393,121,272
95AA07,1572,968,604,1111,715,396,237,149,88,591,373,218,217,171,46,66,22,44,461,253,208,215,158,57,98,42,56,148,53,95
95AA08,1248,577,671,803,391,412,218,109,109,438,222,216,43,28,15,104,32,72,445,186,259,178,110,68,127,38,89,140,38,102
95AA09,1586,802,784,1015,538,477,267,128,139,578,328,250,70,49,21,100,33,67,571,264,307,247,170,77,123,35,88,201,59,142
95AA10,1461,786,675,900,491,409,230,108,122,496,303,193,81,59,22,93,21,72,561,295,266,260,196,64,127,50,77,174,49,125
95AA11,3682,2358,1324,2843,1892,951,591,360,231,1863,1292,571,255,194,61,134,46,88,839,466,373,403,289,114,152,72,80,284,105,179
95AA12,2037,1396,641,1495,1094,401,330,225,105,791,584,207,338,278,60,36,7,29,542,302,240,252,187,65,56,39,17,234,76,158
95AA13,2331,1351,980,1681,1031,650,332,194,138,1013,639,374,228,166,62,108,32,76,650,320,330,285,200,85,138,55,83,227,65,162
95AA14,1651,1073,578,1214,820,394,283,181,102,636,428,208,231,189,42,64,22,42,437,253,184,211,158,53,64,38,26,162,57,105
95AA15,2959,1729,1230,2274,1399,875,480,241,239,1461,964,497,172,138,34,161,56,105,685,330,355,231,152,79,172,75,97,282,103,179
95AA16,1351,668,683,896,463,433,216,101,115,561,312,249,51,33,18,68,17,51,455,205,250,197,117,80,114,39,75,144,49,95
95AA17,1614,856,758,1117,620,497,266,136,130,662,386,276,81,68,13,108,30,78,497,236,261,214,137,77,112,43,69,171,56,115
95AA18,1791,1201,590,1159,775,384,239,143,96,663,440,223,220,178,42,37,14,23,632,426,206,390,316,74,55,23,32,187,87,100
95AA19,1846,995,851,1271,710,561,271,137,134,665,370,295,250,181,69,85,22,63,575,285,290,164,121,43,110,57,53,301,107,194
95BB01,2650,1711,939,1976,1315,661,457,287,170,1120,761,359,301,234,67,98,33,65,674,396,278,325,253,72,95,64,31,254,79,175
95BB02,1706,860,846,1034,533,501,251,122,129,552,298,254,123,85,38,108,28,80,672,327,345,305,191,114,159,58,101,208,78,130
95BB03,3078,1984,1094,1859,1208,651,401,257,144,1031,682,349,276,216,60,151,53,98,1219,776,443,642,491,151,219,119,100,358,166,192
95BB04,2270,1453,817,1424,907,517,349,230,119,758,484,274,214,161,53,103,32,71,846,546,300,530,420,110,100,41,59,216,85,131
95BB05,2559,1701,858,1784,1208,576,406,257,149,869,592,277,421,328,93,88,31,57,775,493,282,412,320,92,130,76,54,233,97,136
95BB06,2163,996,1167,1353,649,704,304,135,169,779,408,371,111,70,41,159,36,123,810,347,463,358,194,164,209,76,133,243,77,166
95BB07,2130,1229,901,1414,813,601,339,184,155,788,469,319,175,123,52,112,37,75,716,416,300,389,279,110,116,55,61,211,82,129
95BB08,1938,1211,727,1317,861,456,332,229,103,767,505,262,133,103,30,85,24,61,621,350,271,315,216,99,131,66,65,175,68,107
95BB09,2287,1475,812,1604,1027,577,378,239,139,943,609,334,213,155,58,70,24,46,683,448,235,448,346,102,60,34,26,175,68,107
95BB10,2455,1520,935,1582,985,597,345,205,140,824,525,299,323,228,95,90,27,63,873,535,338,542,418,124,106,39,67,225,78,147
95BB11,2142,1192,950,1330,756,574,357,202,155,715,427,288,146,98,48,112,29,83,812,436,376,452,313,139,146,56,90,214,67,147
95BB12,2025,1163,862,1255,745,510,349,195,154,645,403,242,144,113,31,117,34,83,770,418,352,388,263,125,128,51,77,254,104,150
95BB13,3274,2100,1174,2263,1476,787,589,349,240,1262,878,384,252,195,57,160,54,106,1011,624,387,499,418,81,181,96,85,331,110,221
95BB14,2280,1511,769,1603,1100,503,338,233,105,835,545,290,373,301,72,57,21,36,677,411,266,377,306,71,55,24,31,245,81,164
95BB15,2527,1509,1018,1685,1042,643,333,212,121,838,492,346,375,296,79,139,42,97,842,467,375,371,259,112,162,87,75,309,121,188
95BB16,2325,1578,747,1600,1110,490,345,241,104,863,593,270,347,264,83,45,12,33,725,468,257,413,336,77,61,35,26,251,97,154
95BB17,2532,1562,970,1823,1158,665,441,256,185,1001,657,344,261,201,60,120,44,76,709,404,305,324,239,85,131,73,58,254,92,162
95BB18,3008,2000,1008,2042,1431,611,431,294,137,1161,812,349,346,287,59,104,38,66,966,569,397,478,361,117,188,86,102,300,122,178
95BB19,3479,2340,1139,2627,1800,827,693,437,256,1545,1106,439,259,217,42,130,40,90,852,540,312,417,333,84,109,80,29,326,127,199
95BB20,2491,1386,1105,1537,881,656,318,196,122,724,397,327,313,228,85,182,60,122,954,505,449,391,272,119,234,135,99,329,98,231
95BB21,3419,2199,1220,2209,1460,749,516,332,184,1140,758,382,401,310,91,152,60,92,1210,739,471,580,425,155,239,145,94,391,169,222
95BB22,2115,1126,989,1432,808,624,357,192,165,770,486,284,131,88,43,174,42,132,683,318,365,222,153,69,162,64,98,299,101,198
95BB23,2312,1521,791,1604,1046,558,422,262,160,907,601,306,203,169,34,72,14,58,708,475,233,455,369,86,48,33,15,205,73,132
95CC01,1760,855,905,1144,577,567,261,118,143,593,325,268,139,100,39,151,34,117,616,278,338,204,130,74,137,51,86,275,97,178
95CC02,1960,1131,829,1400,849,551,292,173,119,666,383,283,329,254,75,113,39,74,560,282,278,209,144,65,106,59,47,245,79,166
95CC03,1963,848,1115,1190,580,610,306,142,164,583,316,267,105,59,46,196,63,133,773,268,505,201,101,100,219,52,167,353,115,238
95CC04,1681,929,752,1160,670,490,268,158,110,539,293,246,263,192,71,90,27,63,521,259,262,171,114,57,79,44,35,271,101,170
95CC05,1927,1115,812,1314,798,516,272,167,105,685,422,263,255,182,73,102,27,75,613,317,296,238,164,74,103,58,45,272,95,177
95CC06,1977,1191,786,1381,869,512,283,170,113,802,533,269,169,131,38,127,35,92,596,322,274,299,219,80,94,41,53,203,62,141
