GeographyCode,LC2102NI0001,LC2102NI0002,LC2102NI0003,LC2102NI0004,LC2102NI0005,LC2102NI0006,LC2102NI0007,LC2102NI0008,LC2102NI0009,LC2102NI0010,LC2102NI0011,LC2102NI0012,LC2102NI0013,LC2102NI0014,LC2102NI0015,LC2102NI0016,LC2102NI0017,LC2102NI0018,LC2102NI0019,LC2102NI0020,LC2102NI0021
95CC14,3035,2992,43,1997,172,466,400,1529,1509,20,1006,84,227,212,1506,1483,23,991,88,239,188
95CC15,2903,2830,73,1323,656,549,375,1457,1418,39,662,341,265,189,1446,1412,34,661,315,284,186
95CC16,2820,2752,68,1708,257,457,398,1355,1324,31,809,135,225,186,1465,1428,37,899,122,232,212
95CC17,2730,2687,43,644,1225,632,229,1414,1389,25,349,617,324,124,1316,1298,18,295,608,308,105
95CC18,2342,2171,171,759,674,452,457,1108,1029,79,349,338,207,214,1234,1142,92,410,336,245,243
95CC19,2720,2678,42,1338,556,517,309,1365,1345,20,675,280,243,167,1355,1333,22,663,276,274,142
95CC20,3010,2874,136,1844,74,513,579,1489,1415,74,908,36,255,290,1521,1459,62,936,38,258,289
95CC21,2925,2875,50,1821,149,522,433,1456,1428,28,912,72,260,212,1469,1447,22,909,77,262,221
95CC22,1740,1555,185,964,188,235,353,836,747,89,460,88,117,171,904,808,96,504,100,118,182
95DD01,2099,1995,104,1259,125,288,427,1019,964,55,601,72,132,214,1080,1031,49,658,53,156,213
95DD02,3888,3864,24,2748,101,439,600,1907,1897,10,1345,55,211,296,1981,1967,14,1403,46,228,304
95DD03,3503,3295,208,2025,156,604,718,1666,1557,109,971,78,278,339,1837,1738,99,1054,78,326,379
95DD04,1926,1906,20,1361,58,291,216,903,891,12,634,30,138,101,1023,1015,8,727,28,153,115
95DD05,1739,1723,16,1283,30,213,213,813,807,6,594,16,98,105,926,916,10,689,14,115,108
95DD06,2588,2466,122,1533,169,407,479,1202,1143,59,682,77,190,253,1386,1323,63,851,92,217,226
95DD07,3363,3329,34,2254,78,505,526,1622,1606,16,1080,36,234,272,1741,1723,18,1174,42,271,254
95DD08,2126,1738,388,939,209,390,588,1044,833,211,424,109,189,322,1082,905,177,515,100,201,266
95DD09,2590,2568,22,1773,72,369,376,1337,1322,15,911,37,190,199,1253,1246,7,862,35,179,177
95DD10,2805,2753,52,1971,40,351,443,1343,1321,22,924,25,180,214,1462,1432,30,1047,15,171,229
95DD11,2363,2097,266,1012,349,526,476,1098,971,127,462,178,228,230,1265,1126,139,550,171,298,246
95DD12,2610,2596,14,1581,203,423,403,1355,1347,8,798,107,232,218,1255,1249,6,783,96,191,185
95DD13,1784,1599,185,691,324,413,356,883,796,87,342,180,187,174,901,803,98,349,144,226,182
95DD14,3277,3242,35,2112,101,486,578,1590,1570,20,1025,48,228,289,1687,1672,15,1087,53,258,289
95DD15,3451,3429,22,1176,1005,925,345,1728,1718,10,602,514,453,159,1723,1711,12,574,491,472,186
95DD16,2981,2950,31,1911,146,459,465,1526,1508,18,966,71,259,230,1455,1442,13,945,75,200,235
95DD17,3461,3449,12,1546,701,805,409,1715,1710,5,766,357,391,201,1746,1739,7,780,344,414,208
95DD18,1885,1800,85,1212,49,284,340,928,883,45,583,25,139,181,957,917,40,629,24,145,159
95DD19,3364,3326,38,2288,82,407,587,1654,1638,16,1119,45,202,288,1710,1688,22,1169,37,205,299
95DD20,1746,1717,29,1139,54,340,213,852,840,12,551,25,172,104,894,877,17,588,29,168,109
95DD21,2139,1908,231,1030,213,400,496,1031,916,115,492,109,186,244,1108,992,116,538,104,214,252
95DD22,3136,3108,28,1704,502,602,328,1574,1558,16,850,263,294,167,1562,1550,12,854,239,308,161
95DD23,2509,2495,14,1612,142,432,323,1283,1277,6,823,75,219,166,1226,1218,8,789,67,213,157
95DD24,2711,2543,168,900,733,658,420,1325,1233,92,416,378,308,223,1386,1310,76,484,355,350,197
95EE01,1895,1889,6,238,836,691,130,961,959,2,116,431,346,68,934,930,4,122,405,345,62
95EE02,2095,2092,3,1407,75,338,275,1051,1049,2,725,33,152,141,1044,1043,1,682,42,186,134
95EE03,1999,1943,56,1293,88,299,319,959,930,29,608,43,147,161,1040,1013,27,685,45,152,158
95EE04,1993,1979,14,953,352,483,205,987,981,6,455,182,238,112,1006,998,8,498,170,245,93
95EE05,1509,1496,13,905,58,297,249,760,752,8,462,29,146,123,749,744,5,443,29,151,126
95EE06,2278,2218,60,439,1034,619,186,1138,1111,27,219,553,283,83,1140,1107,33,220,481,336,103
95EE07,1798,1792,6,1139,86,372,201,843,839,4,530,45,169,99,955,953,2,609,41,203,102
95EE08,1719,1688,31,1064,81,336,238,795,777,18,476,44,159,116,924,911,13,588,37,177,122
95EE09,1890,1873,17,902,322,426,240,954,946,8,453,169,214,118,936,927,9,449,153,212,122
95EE10,1797,1711,86,590,559,432,216,908,863,45,283,293,218,114,889,848,41,307,266,214,102
95EE11,1677,1674,3,788,212,449,228,862,861,1,414,111,226,111,815,813,2,374,101,223,117
95EE12,2507,2448,59,1581,98,435,393,1169,1135,34,733,47,201,188,1338,1313,25,848,51,234,205
95EE13,1529,1494,35,910,92,298,229,752,735,17,437,51,155,109,777,759,18,473,41,143,120
95EE14,2684,2662,22,1717,128,478,361,1329,1318,11,848,65,235,181,1355,1344,11,869,63,243,180
95EE15,1728,1716,12,1011,118,346,253,889,884,5,513,68,175,133,839,832,7,498,50,171,120
95EE16,2126,2120,6,1091,279,503,253,1085,1081,4,554,142,261,128,1041,1039,2,537,137,242,125
95FF01,4796,4698,98,2418,648,995,735,2391,2348,43,1192,335,486,378,2405,2350,55,1226,313,509,357
95FF02,2817,2772,45,959,783,774,301,1467,1431,36,501,426,374,166,1350,1341,9,458,357,400,135
95FF03,3006,2945,61,1480,386,714,426,1462,1431,31,699,209,346,208,1544,1514,30,781,177,368,218
95FF04,2629,2617,12,1240,457,618,314,1318,1312,6,642,226,299,151,1311,1305,6,598,231,319,163
95FF05,2563,2490,73,1455,130,579,399,1225,1191,34,699,61,270,195,1338,1299,39,756,69,309,204
95FF06,4116,4034,82,2446,191,792,687,2000,1957,43,1162,97,385,356,2116,2077,39,1284,94,407,331
95FF07,2769,2722,47,1274,463,714,318,1308,1285,23,590,231,333,154,1461,1437,24,684,232,381,164
95FF08,2364,2337,27,1391,224,447,302,1140,1130,10,666,122,209,143,1224,1207,17,725,102,238,159
95FF09,2522,2490,32,1250,417,563,292,1256,1247,9,613,222,280,141,1266,1243,23,637,195,283,151
95FF10,3473,3448,25,2162,223,615,473,1760,1750,10,1089,118,311,242,1713,1698,15,1073,105,304,231
95FF11,2582,2565,17,1400,367,526,289,1313,1305,8,707,187,270,149,1269,1260,9,693,180,256,140
95FF12,2724,2709,15,907,665,800,352,1360,1353,7,451,341,397,171,1364,1356,8,456,324,403,181
95FF13,2708,2687,21,1303,469,589,347,1352,1343,9,651,243,287,171,1356,1344,12,652,226,302,176
95FF14,2432,2418,14,1436,158,450,388,1262,1258,4,757,79,233,193,1170,1160,10,679,79,217,195
95FF15,2740,2660,80,1272,484,637,347,1327,1285,42,614,256,278,179,1413,1375,38,658,228,359,168
95FF16,2374,2354,20,1443,181,443,307,1214,1201,13,735,97,222,160,1160,1153,7,708,84,221,147
95FF17,1724,1685,39,843,227,429,225,821,800,21,396,111,201,113,903,885,18,447,116,228,112
95GG01,4907,4885,22,394,3244,1052,217,2259,2250,9,191,1507,465,96,2648,2635,13,203,1737,587,121
95GG02,5987,5940,47,743,3546,1404,294,2759,2737,22,348,1640,620,151,3228,3203,25,395,1906,784,143
95GG03,5939,5692,247,2872,507,1264,1296,2812,2692,120,1360,233,584,635,3127,3000,127,1512,274,680,661
95GG04,4908,4713,195,1845,1688,855,520,2323,2229,94,848,805,399,271,2585,2484,101,997,883,456,249
95GG05,5928,5262,666,1494,1802,1305,1327,3001,2660,341,750,898,658,695,2927,2602,325,744,904,647,632
95GG06,5626,5526,100,3759,291,808,768,2656,2614,42,1760,144,385,367,2970,2912,58,1999,147,423,401
95GG07,5485,5336,149,570,3546,975,394,2544,2460,84,250,1657,444,193,2941,2876,65,320,1889,531,201
