GeographyCode,LC2120NI0001,LC2120NI0002,LC2120NI0003,LC2120NI0004,LC2120NI0005,LC2120NI0006,LC2120NI0007,LC2120NI0008,LC2120NI0009,LC2120NI0010,LC2120NI0011,LC2120NI0012,LC2120NI0013,LC2120NI0014,LC2120NI0015,LC2120NI0016,LC2120NI0017,LC2120NI0018,LC2120NI0019,LC2120NI0020,LC2120NI0021,LC2120NI0022,LC2120NI0023,LC2120NI0024,LC2120NI0025,LC2120NI0026,LC2120NI0027,LC2120NI0028,LC2120NI0029,LC2120NI0030,LC2120NI0031,LC2120NI0032,LC2120NI0033,LC2120NI0034,LC2120NI0035,LC2120NI0036
95LL09,2424,2048,295,81,1148,984,122,42,1276,1064,173,39,920,807,88,25,459,393,49,17,461,414,39,8,1504,1241,207,56,689,591,73,25,815,650,134,31
95LL10,4141,3615,462,64,2067,1780,254,33,2074,1835,208,31,2423,2111,286,26,1209,1049,145,15,1214,1062,141,11,1718,1504,176,38,858,731,109,18,860,773,67,20
95LL11,3025,289,2557,179,1512,136,1264,112,1513,153,1293,67,2024,185,1737,102,1009,79,871,59,1015,106,866,43,1001,104,820,77,503,57,393,53,498,47,427,24
95LL12,2995,2551,281,163,1411,1199,132,80,1584,1352,149,83,1458,1243,142,73,723,606,79,38,735,637,63,35,1537,1308,139,90,688,593,53,42,849,715,86,48
95LL13,2096,1284,635,177,1018,624,291,103,1078,660,344,74,1103,701,316,86,551,351,151,49,552,350,165,37,993,583,319,91,467,273,140,54,526,310,179,37
95LL14,2140,2027,84,29,1053,994,42,17,1087,1033,42,12,990,946,31,13,493,470,16,7,497,476,15,6,1150,1081,53,16,560,524,26,10,590,557,27,6
95LL15,2469,202,2117,150,1188,96,1001,91,1281,106,1116,59,1370,109,1179,82,688,51,589,48,682,58,590,34,1099,93,938,68,500,45,412,43,599,48,526,25
95LL16,4647,1097,3167,383,2224,509,1512,203,2423,588,1655,180,2948,709,2031,208,1477,336,1030,111,1471,373,1001,97,1699,388,1136,175,747,173,482,92,952,215,654,83
95LL17,2096,168,1784,144,970,73,816,81,1126,95,968,63,1202,106,1011,85,600,45,508,47,602,61,503,38,894,62,773,59,370,28,308,34,524,34,465,25
95LL18,2696,156,2389,151,1259,60,1111,88,1437,96,1278,63,1710,90,1536,84,855,37,769,49,855,53,767,35,986,66,853,67,404,23,342,39,582,43,511,28
95LL19,3975,915,2851,209,1927,430,1370,127,2048,485,1481,82,2534,576,1843,115,1259,280,916,63,1275,296,927,52,1441,339,1008,94,668,150,454,64,773,189,554,30
95LL20,1897,754,1072,71,933,371,523,39,964,383,549,32,1030,387,615,28,518,193,310,15,512,194,305,13,867,367,457,43,415,178,213,24,452,189,244,19
95LL21,3060,1553,1368,139,1454,748,627,79,1606,805,741,60,1580,833,685,62,789,411,343,35,791,422,342,27,1480,720,683,77,665,337,284,44,815,383,399,33
95LL22,2827,2559,182,86,1414,1284,85,45,1413,1275,97,41,1444,1326,88,30,722,659,46,17,722,667,42,13,1383,1233,94,56,692,625,39,28,691,608,55,28
95LL23,1733,211,1410,112,856,99,695,62,877,112,715,50,870,122,698,50,433,59,350,24,437,63,348,26,863,89,712,62,423,40,345,38,440,49,367,24
95LL24,2867,984,1786,97,1439,506,882,51,1428,478,904,46,1716,516,1155,45,854,252,582,20,862,264,573,25,1151,468,631,52,585,254,300,31,566,214,331,21
95LL25,3551,328,3040,183,1731,143,1475,113,1820,185,1565,70,2326,207,2019,100,1161,89,1011,61,1165,118,1008,39,1225,121,1021,83,570,54,464,52,655,67,557,31
95LL26,2973,2733,171,69,1494,1342,104,48,1479,1391,67,21,1500,1397,75,28,752,691,44,17,748,706,31,11,1473,1336,96,41,742,651,60,31,731,685,36,10
95MM01,3710,1418,2143,149,1804,662,1056,86,1906,756,1087,63,1967,711,1171,85,993,352,595,46,974,359,576,39,1743,707,972,64,811,310,461,40,932,397,511,24
95MM02,2686,2519,130,37,1294,1203,69,22,1392,1316,61,15,1446,1360,65,21,723,679,33,11,723,681,32,10,1240,1159,65,16,571,524,36,11,669,635,29,5
95MM03,2617,1773,796,48,1320,884,405,31,1297,889,391,17,1524,996,497,31,762,482,258,22,762,514,239,9,1093,777,299,17,558,402,147,9,535,375,152,8
95MM04,1822,1747,48,27,870,824,32,14,952,923,16,13,724,692,17,15,365,342,14,9,359,350,3,6,1098,1055,31,12,505,482,18,5,593,573,13,7
95MM05,1933,1835,82,16,911,856,42,13,1022,979,40,3,548,526,20,2,277,264,11,2,271,262,9,0,1385,1309,62,14,634,592,31,11,751,717,31,3
95MM06,1964,1852,90,22,898,842,40,16,1066,1010,50,6,740,701,32,7,370,348,18,4,370,353,14,3,1224,1151,58,15,528,494,22,12,696,657,36,3
95MM07,2082,368,1636,78,955,164,749,42,1127,204,887,36,920,191,697,32,461,91,350,20,459,100,347,12,1162,177,939,46,494,73,399,22,668,104,540,24
95MM08,2407,1564,800,43,1186,765,396,25,1221,799,404,18,1144,690,434,20,575,340,224,11,569,350,210,9,1263,874,366,23,611,425,172,14,652,449,194,9
95MM09,2663,1904,714,45,1337,948,362,27,1326,956,352,18,1436,1001,418,17,719,489,219,11,717,512,199,6,1227,903,296,28,618,459,143,16,609,444,153,12
95MM10,2026,1946,63,17,913,869,32,12,1113,1077,31,5,647,617,24,6,321,304,12,5,326,313,12,1,1379,1329,39,11,592,565,20,7,787,764,19,4
95MM11,1736,1684,41,11,793,760,27,6,943,924,14,5,522,507,11,4,260,249,8,3,262,258,3,1,1214,1177,30,7,533,511,19,3,681,666,11,4
95MM12,4173,3807,310,56,1915,1724,158,33,2258,2083,152,23,1668,1473,169,26,834,728,88,18,834,745,81,8,2505,2334,141,30,1081,996,70,15,1424,1338,71,15
95MM13,6220,5780,358,82,2893,2665,184,44,3327,3115,174,38,3099,2890,172,37,1548,1427,101,20,1551,1463,71,17,3121,2890,186,45,1345,1238,83,24,1776,1652,103,21
95MM14,1972,899,993,80,948,425,470,53,1024,474,523,27,754,321,401,32,383,161,203,19,371,160,198,13,1218,578,592,48,565,264,267,34,653,314,325,14
95MM15,3286,1650,1548,88,1621,791,770,60,1665,859,778,28,1908,928,936,44,954,451,475,28,954,477,461,16,1378,722,612,44,667,340,295,32,711,382,317,12
95MM16,4142,2683,1262,197,1977,1257,615,105,2165,1426,647,92,2351,1450,773,128,1171,714,390,67,1180,736,383,61,1791,1233,489,69,806,543,225,38,985,690,264,31
95MM17,3029,2778,207,44,1501,1367,107,27,1528,1411,100,17,1454,1365,75,14,725,675,39,11,729,690,36,3,1575,1413,132,30,776,692,68,16,799,721,64,14
