GeographyCode,LC2201NI0001,LC2201NI0002,LC2201NI0003,LC2201NI0004,LC2201NI0005,LC2201NI0006,LC2201NI0007,LC2201NI0008,LC2201NI0009,LC2201NI0010,LC2201NI0011,LC2201NI0012,LC2201NI0013,LC2201NI0014,LC2201NI0015,LC2201NI0016,LC2201NI0017,LC2201NI0018,LC2201NI0019,LC2201NI0020,LC2201NI0021,LC2201NI0022,LC2201NI0023,LC2201NI0024,LC2201NI0025
95AA01,4444,1356,1971,1117,887,2166,263,1309,594,459,638,563,19,56,25,735,349,244,142,116,905,181,399,325,287
95AA02,1734,504,888,342,204,957,171,637,149,86,178,141,8,29,11,348,144,127,77,50,251,48,116,87,57
95AA03,1822,135,1222,465,315,1208,62,894,252,168,68,32,11,25,9,317,22,204,91,66,229,19,113,97,72
95AA04,3013,751,1772,490,343,1632,118,1269,245,171,436,373,26,37,21,560,219,212,129,101,385,41,265,79,50
95AA05,2701,1579,757,365,178,871,205,506,160,74,778,713,13,52,15,798,561,143,94,61,254,100,95,59,28
95AA06,4647,3511,584,552,222,930,350,375,205,83,2359,2199,18,142,43,991,755,103,133,53,367,207,88,72,43
95AA07,2140,283,1553,304,189,1348,52,1125,171,107,113,76,12,25,8,344,88,196,60,47,335,67,220,48,27
95AA08,1698,680,623,395,247,823,166,463,194,119,214,168,7,39,20,427,244,78,105,69,234,102,75,57,39
95AA09,2220,387,1244,589,346,1283,103,855,325,203,132,84,13,35,8,409,115,177,117,58,396,85,199,112,77
95AA10,1953,712,810,431,292,1007,248,549,210,155,181,144,10,27,10,458,231,129,98,69,307,89,122,96,58
95AA11,5364,1875,2300,1189,801,2497,456,1538,503,340,560,455,32,73,33,1222,562,363,297,200,1085,402,367,316,228
95AA12,2775,133,2161,481,332,1771,43,1479,249,177,85,38,22,25,16,453,25,309,119,89,466,27,351,88,50
95AA13,3307,2139,701,467,230,1029,368,461,200,95,918,827,16,75,26,859,635,122,102,51,501,309,102,90,58
95AA14,2349,816,1215,318,178,1145,124,873,148,71,353,315,10,28,15,511,295,148,68,34,340,82,184,74,58
95AA15,4186,1586,1542,1058,696,1875,372,1006,497,324,452,364,15,73,40,920,457,222,241,170,939,393,299,247,162
95AA16,1807,291,1128,388,256,1032,64,778,190,130,40,21,8,11,3,353,82,185,86,51,382,124,157,101,72
95AA17,2142,694,852,596,395,1105,217,569,319,205,216,159,20,37,15,536,229,131,176,133,285,89,132,64,42
95AA18,2439,283,1608,548,348,1454,82,1082,290,168,132,67,31,34,24,426,95,215,116,80,427,39,280,108,76
95AA19,2687,2335,170,182,56,323,153,115,55,20,1344,1278,11,55,18,854,791,23,40,7,166,113,21,32,11
95BB01,3609,348,2524,737,523,2141,103,1668,370,248,162,96,36,30,22,641,117,364,160,120,665,32,456,177,133
