GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
95GG38,6564,3377,1492,577,504,411,1695,1204,3539,2012,601,245,168,188,926,665,1940,941,489,180,182,127,510,374,1085,424,402,152,154,96,259,165
95GG39,7214,2058,2641,935,1054,652,2515,1215,3008,885,1005,387,360,258,1118,506,2100,565,692,230,266,196,843,458,2106,608,944,318,428,198,554,251
95GG40,3816,183,2755,1133,1195,427,878,345,1295,74,838,351,342,145,383,159,1079,59,759,324,313,122,261,104,1442,50,1158,458,540,160,234,82
95GG41,5548,541,3522,1800,980,742,1485,1143,2904,341,1759,919,442,398,804,630,1766,145,1137,582,336,219,484,380,878,55,626,299,202,125,197,133
95GG42,8139,3364,2504,1075,815,614,2271,1680,5103,2315,1490,635,480,375,1298,970,2350,844,750,316,254,180,756,556,686,205,264,124,81,59,217,154
95GG43,4874,326,3057,1111,988,958,1491,1028,2016,200,1112,435,297,380,704,466,1642,92,1064,372,368,324,486,352,1216,34,881,304,323,254,301,210
95GG44,5591,603,3022,1434,906,682,1966,1154,2218,320,1046,480,306,260,852,499,1771,230,903,441,273,189,638,402,1602,53,1073,513,327,233,476,253
95GG45,4841,1218,2469,1135,881,453,1154,708,2334,750,986,481,331,174,598,378,1465,335,786,367,268,151,344,213,1042,133,697,287,282,128,212,117
95GG46,5250,4446,76,23,26,27,728,145,2164,1778,39,10,15,14,347,60,1366,1150,19,5,5,9,197,40,1720,1518,18,8,6,4,184,45
95GG47,5829,4452,244,93,71,80,1133,490,2318,1694,106,38,31,37,518,246,1744,1358,65,32,17,16,321,130,1767,1400,73,23,23,27,294,114
95GG48,5694,4887,94,32,24,38,713,113,2496,2101,41,10,11,20,354,50,1372,1155,29,12,7,10,188,30,1826,1631,24,10,6,8,171,33
95GG49,8141,2601,2565,1041,758,766,2975,1892,4739,1614,1518,620,428,470,1607,1003,2422,716,691,288,202,201,1015,678,980,271,356,133,128,95,353,211
95GG50,5445,805,2779,1300,863,616,1861,1230,2140,412,930,430,259,241,798,537,1932,315,933,453,297,183,684,473,1373,78,916,417,307,192,379,220
95GG51,4088,138,3033,1178,1291,564,917,403,1334,62,908,355,354,199,364,175,1203,41,891,340,391,160,271,126,1551,35,1234,483,546,205,282,102
95HH01,2059,236,1189,566,326,297,634,470,848,98,460,214,124,122,290,243,752,96,429,209,115,105,227,159,459,42,300,143,87,70,117,68
95HH02,2962,160,2152,951,589,612,650,523,1504,86,1066,458,283,325,352,278,1014,52,761,346,207,208,201,171,444,22,325,147,99,79,97,74
95HH03,1663,153,1166,565,316,285,344,246,691,70,467,228,121,118,154,109,611,53,441,206,130,105,117,89,361,30,258,131,65,62,73,48
95HH04,3067,171,2210,954,677,579,686,528,1446,95,1013,420,323,270,338,270,1034,47,751,358,204,189,236,180,587,29,446,176,150,120,112,78
95HH05,2171,93,1508,668,471,369,570,372,951,39,640,279,206,155,272,175,742,31,510,240,142,128,201,137,478,23,358,149,123,86,97,60
95HH06,4797,268,3447,1519,956,972,1082,815,2509,153,1771,801,467,503,585,450,1608,85,1166,509,342,315,357,272,680,30,510,209,147,154,140,93
95HH07,1493,80,1010,305,369,336,403,259,581,34,377,94,146,137,170,106,508,18,346,117,123,106,144,101,404,28,287,94,100,93,89,52
95HH08,2619,308,1588,748,410,430,723,567,1262,159,740,337,194,209,363,281,849,104,523,242,134,147,222,189,508,45,325,169,82,74,138,97
95HH09,2620,335,1542,659,439,444,743,510,870,133,470,210,125,135,267,183,968,114,560,233,168,159,294,210,782,88,512,216,146,150,182,117
95HH10,2489,209,1686,779,468,439,594,506,1396,117,931,436,244,251,348,306,756,64,517,237,150,130,175,141,337,28,238,106,74,58,71,59
95HH11,1417,70,964,457,284,223,383,254,522,29,331,158,92,81,162,109,471,22,316,158,82,76,133,95,424,19,317,141,110,66,88,50
95HH12,1552,60,1044,429,260,355,448,350,622,23,391,163,102,126,208,171,589,22,405,172,87,146,162,118,341,15,248,94,71,83,78,61
95HH13,1407,44,976,378,286,312,387,274,517,12,339,133,77,129,166,114,492,16,343,134,106,103,133,103,398,16,294,111,103,80,88,57
95HH14,1530,105,1008,414,296,298,417,264,490,41,285,121,73,91,164,106,519,35,350,152,99,99,134,88,521,29,373,141,124,108,119,70
95HH15,2630,206,1800,787,500,513,624,468,1177,108,774,314,236,224,295,218,857,54,572,262,140,170,231,183,596,44,454,211,124,119,98,67
