ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC4302NI0001,Count,PERSONS,"All categories: Tenure, All categories: Long-Term Health Problem or Disability"
LC4302NI0002,Count,PERSONS,"All categories: Tenure, Day-to-day activities limited a lot or a little"
LC4302NI0003,Count,PERSONS,"All categories: Tenure, Day-to-day activities not limited"
LC4302NI0004,Count,PERSONS,"Owner occupied, All categories: Long-Term Health Problem or Disability"
LC4302NI0005,Count,PERSONS,"Owner occupied, Day-to-day activities limited a lot or a little"
LC4302NI0006,Count,PERSONS,"Owner occupied, Day-to-day activities not limited"
LC4302NI0007,Count,PERSONS,"Social rented, All categories: Long-Term Health Problem or Disability"
LC4302NI0008,Count,PERSONS,"Social rented, Day-to-day activities limited a lot or a little"
LC4302NI0009,Count,PERSONS,"Social rented, Day-to-day activities not limited"
LC4302NI0010,Count,PERSONS,"Private rented, All categories: Long-Term Health Problem or Disability"
LC4302NI0011,Count,PERSONS,"Private rented, Day-to-day activities limited a lot or a little"
LC4302NI0012,Count,PERSONS,"Private rented, Day-to-day activities not limited"
