id,body,year,date,article,box_title,candidates,civgraph_file,civgraph_match,status,recommended_title,recommended_url,recommended_archive_url,host,kind,basis,scope,check,verifying_source_count,cited_source_count,related_wikipedia
1896 Dublin Corporation election#1,RoI local,1896,,1896 Dublin Corporation election,"Arran Quay Ward Electorate: 1,063",2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#2,RoI local,1896,,1896 Dublin Corporation election,Fitzwilliam Ward Electorate: 676,3,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#3,RoI local,1896,,1896 Dublin Corporation election,Inns Quay Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#4,RoI local,1896,,1896 Dublin Corporation election,Mansion House Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#5,RoI local,1896,,1896 Dublin Corporation election,Merchants' Quay Ward,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#6,RoI local,1896,,1896 Dublin Corporation election,Mountjoy Ward Electorate:~800,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#7,RoI local,1896,,1896 Dublin Corporation election,North City Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#8,RoI local,1896,,1896 Dublin Corporation election,Rotunda Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#9,RoI local,1896,,1896 Dublin Corporation election,Royal Exchange Ward Electorate: 385,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#10,RoI local,1896,,1896 Dublin Corporation election,South City Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#11,RoI local,1896,,1896 Dublin Corporation election,South Dock Ward,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#12,RoI local,1896,,1896 Dublin Corporation election,Trinity Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#13,RoI local,1896,,1896 Dublin Corporation election,Usher's Quay Ward,1,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,this contest,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1896 Dublin Corporation election#14,RoI local,1896,,1896 Dublin Corporation election,Wood Quay Ward Electorate: 890,2,,,cited-by-wikipedia,Municipal Elections,https://epaper.irishtimes.com/titles/irishtimes/5088/publications/15982/pages/4,,epaper.irishtimes.com,news,inline-citation,article,not checked: the link returns a not-found or placeholder page,0,1,1896 Dublin Corporation election
1899 Donegal County Council election#1,RoI local,1899,,1899 Donegal County Council election,Annagry,2,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#2,RoI local,1899,,1899 Donegal County Council election,Ballyshannon,3,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#3,RoI local,1899,,1899 Donegal County Council election,Buncrana,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#4,RoI local,1899,,1899 Donegal County Council election,Burt,2,,,cited-by-wikipedia,Donegal County Council: Presbyterian Unionist Voters' Association and Local Elections,https://www.britishnewspaperarchive.co.uk/viewer/bl/0001480/18990404/125/0007,,britishnewspaperarchive.co.uk,news,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Donegal County Council election
1899 Donegal County Council election#5,RoI local,1899,,1899 Donegal County Council election,Carndonagh,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#6,RoI local,1899,,1899 Donegal County Council election,Castlefin,2,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#7,RoI local,1899,,1899 Donegal County Council election,Churchhill,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#8,RoI local,1899,,1899 Donegal County Council election,Donegal,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#9,RoI local,1899,,1899 Donegal County Council election,Dunfanaghy,2,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#10,RoI local,1899,,1899 Donegal County Council election,Dungloe,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#11,RoI local,1899,,1899 Donegal County Council election,Dunkineely,2,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#12,RoI local,1899,,1899 Donegal County Council election,Glenties,2,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#13,RoI local,1899,,1899 Donegal County Council election,Killybegs,2,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#14,RoI local,1899,,1899 Donegal County Council election,Letterkenny,2,,,cited-by-wikipedia,Donegal County Council: Presbyterian Unionist Voters' Association and Local Elections,https://www.britishnewspaperarchive.co.uk/viewer/bl/0001480/18990404/125/0007,,britishnewspaperarchive.co.uk,news,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Donegal County Council election
1899 Donegal County Council election#15,RoI local,1899,,1899 Donegal County Council election,Milford,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#16,RoI local,1899,,1899 Donegal County Council election,Moville,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#17,RoI local,1899,,1899 Donegal County Council election,Pettigo,3,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#18,RoI local,1899,,1899 Donegal County Council election,Raphoe,3,,,cited-by-wikipedia,Donegal County Council: Presbyterian Unionist Voters' Association and Local Elections,https://www.britishnewspaperarchive.co.uk/viewer/bl/0001480/18990404/125/0007,,britishnewspaperarchive.co.uk,news,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Donegal County Council election
1899 Donegal County Council election#19,RoI local,1899,,1899 Donegal County Council election,Rathmullen,1,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Donegal County Council election#20,RoI local,1899,,1899 Donegal County Council election,Stranorlar,2,,,wikipedia-only,,,,,,,,,0,0,1899 Donegal County Council election
1899 Dublin Corporation election#1,RoI local,1899,,1899 Dublin Corporation election,"Arran Quay WardElectorate: 4,236",8,,,cited-by-wikipedia,Local Government Elections: County Boroughs. Dublin. Declaration of the Poll.,https://www.proquest.com/hnpirishtimes/docview/517532648/D59DCCF5CA0342E4PQ/3?accountid=14404&sourcetype=Newspapers,,proquest.com,other,inline-citation,same section,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#2,RoI local,1899,,1899 Dublin Corporation election,"Fitzwilliam WardElectorate: 2,083",10,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#3,RoI local,1899,,1899 Dublin Corporation election,"Inns Quay Ward Electorate: 3,768",8,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#4,RoI local,1899,,1899 Dublin Corporation election,"Mansion House Ward Electorate: 1,558",6,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#5,RoI local,1899,,1899 Dublin Corporation election,"Merchants' Quay Ward Electorate: 3,682",8,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#6,RoI local,1899,,1899 Dublin Corporation election,"Mountjoy Ward Electorate: 3,269",10,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#7,RoI local,1899,,1899 Dublin Corporation election,"North City Ward Electorate: 1,814",7,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#8,RoI local,1899,,1899 Dublin Corporation election,"North Dock Ward Electorate: 3,850",6,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#9,RoI local,1899,,1899 Dublin Corporation election,"Rotunda Ward Electorate: 2,093",8,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#10,RoI local,1899,,1899 Dublin Corporation election,"Royal Exchange Ward Electorate: 1,291",8,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#11,RoI local,1899,,1899 Dublin Corporation election,"South City Ward Electorate: 1,108",8,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#12,RoI local,1899,,1899 Dublin Corporation election,"South Dock Ward Electorate: 2,088",6,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#13,RoI local,1899,,1899 Dublin Corporation election,"Trinity Ward Electorate: 2,241",5,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#14,RoI local,1899,,1899 Dublin Corporation election,"Usher's Quay Ward Electorate: 3,367",9,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Dublin Corporation election#15,RoI local,1899,,1899 Dublin Corporation election,"Wood Quay Ward Electorate: 3,286",6,,,cited-by-wikipedia,"Municipal Elections, 1899",https://www.britishnewspaperarchive.co.uk/viewer/BL/0002093/18990114/092/0005,,britishnewspaperarchive.co.uk,news,inline-citation,article,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,4,1899 Dublin Corporation election
1899 Kildare County Council election#1,RoI local,1899,,1899 Kildare County Council election,Athy,1,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"partly checked: names the candidates, vote figures not found",0,1,1899 Kildare County Council election
1899 Kildare County Council election#2,RoI local,1899,,1899 Kildare County Council election,Ballytore,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#3,RoI local,1899,,1899 Kildare County Council election,Ballymore-Eustace,2,,,verified,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,contains the candidates and their votes,1,0,1899 Kildare County Council election
1899 Kildare County Council election#4,RoI local,1899,,1899 Kildare County Council election,Carbury,3,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#5,RoI local,1899,,1899 Kildare County Council election,Castledermot,3,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#6,RoI local,1899,,1899 Kildare County Council election,Celbridge,1,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"partly checked: names the candidates, vote figures not found",0,1,1899 Kildare County Council election
1899 Kildare County Council election#7,RoI local,1899,,1899 Kildare County Council election,Churchtown,1,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#8,RoI local,1899,,1899 Kildare County Council election,Clane,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#9,RoI local,1899,,1899 Kildare County Council election,Harristown,1,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"partly checked: names the candidates, vote figures not found",0,1,1899 Kildare County Council election
1899 Kildare County Council election#10,RoI local,1899,,1899 Kildare County Council election,Kilcock,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#11,RoI local,1899,,1899 Kildare County Council election,Kilcullen,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"partly checked: names the candidates, vote figures not found",0,1,1899 Kildare County Council election
1899 Kildare County Council election#12,RoI local,1899,,1899 Kildare County Council election,Kildare,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#13,RoI local,1899,,1899 Kildare County Council election,Kilmeague,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#14,RoI local,1899,,1899 Kildare County Council election,Kilteel,3,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#15,RoI local,1899,,1899 Kildare County Council election,Maynooth,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#16,RoI local,1899,,1899 Kildare County Council election,Monasterevin,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#17,RoI local,1899,,1899 Kildare County Council election,Morristown-Biller,3,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#18,RoI local,1899,,1899 Kildare County Council election,Naas,2,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"partly checked: names the candidates, vote figures not found",0,1,1899 Kildare County Council election
1899 Kildare County Council election#19,RoI local,1899,,1899 Kildare County Council election,Newbridge,1,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Kildare County Council election#20,RoI local,1899,,1899 Kildare County Council election,Rathangan,1,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"partly checked: names the candidates, vote figures not found",0,1,1899 Kildare County Council election
1899 Kildare County Council election#21,RoI local,1899,,1899 Kildare County Council election,Timahoe,1,,,cited-by-wikipedia,"Kildare County Council, 1899-1926",http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,https://web.archive.org/web/20150714212234id_/http://eprints.maynoothuniversity.ie/4802/1/Nelson%20thesis.pdf,eprints.maynoothuniversity.ie,other,inline-citation,this contest,"not checked: the fetched page does not show this result (subscription viewer, index of documents, or another page)",0,1,1899 Kildare County Council election
1899 Limerick Corporation election#1,RoI local,1899,,1899 Limerick Corporation election,Abbey Ward,9,,,verified,"The Limerick Municipal Elections, January 1899","http://www.limerickcity.ie/media/Media,4126,en.pdf","https://web.archive.org/web/20121216030458id_/http://www.limerickcity.ie/media/Media,4126,en.pdf",limerickcity.ie,other,inline-citation,article,contains the candidates and their votes,1,0,1899 Limerick Corporation election
1899 Limerick Corporation election#2,RoI local,1899,,1899 Limerick Corporation election,Castle Ward,9,,,cited-by-wikipedia,"The Limerick Municipal Elections, January 1899","http://www.limerickcity.ie/media/Media,4126,en.pdf","https://web.archive.org/web/20121216030458id_/http://www.limerickcity.ie/media/Media,4126,en.pdf",limerickcity.ie,other,inline-citation,article,"partly checked: names the candidates, vote figures not found",0,1,1899 Limerick Corporation election
1899 Limerick Corporation election#3,RoI local,1899,,1899 Limerick Corporation election,Custom House Ward,11,,,verified,"The Limerick Municipal Elections, January 1899","http://www.limerickcity.ie/media/Media,4126,en.pdf","https://web.archive.org/web/20121216030458id_/http://www.limerickcity.ie/media/Media,4126,en.pdf",limerickcity.ie,other,inline-citation,article,contains the candidates and their votes,1,0,1899 Limerick Corporation election
1899 Monaghan County Council election#1,RoI local,1899,,1899 Monaghan County Council election,Aughabog,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#2,RoI local,1899,,1899 Monaghan County Council election,Ballybay,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#3,RoI local,1899,,1899 Monaghan County Council election,Ballymackay,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#4,RoI local,1899,,1899 Monaghan County Council election,Ballytrain,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#5,RoI local,1899,,1899 Monaghan County Council election,Broomfield,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#6,RoI local,1899,,1899 Monaghan County Council election,Carrickmacross,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#7,RoI local,1899,,1899 Monaghan County Council election,Castleblayney,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#8,RoI local,1899,,1899 Monaghan County Council election,Clones,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#9,RoI local,1899,,1899 Monaghan County Council election,Clontibret,3,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#10,RoI local,1899,,1899 Monaghan County Council election,Creeve,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#11,RoI local,1899,,1899 Monaghan County Council election,Cremarlin,3,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
1899 Monaghan County Council election#12,RoI local,1899,,1899 Monaghan County Council election,Drum,2,,,wikipedia-only,,,,,,,,,0,0,1899 Monaghan County Council election
