GeographyCode,KS301NI0001,KS301NI0002,KS301NI0003,KS301NI0004,KS301NI0005,KS301NI0006,KS301NI0007,KS301NI0008,KS301NI0009,KS301NI0010,KS301NI0011,KS301NI0012,KS301NI0013,KS301NI0014,KS301NI0015,KS301NI0016,KS301NI0017,KS301NI0018,KS301NI0019,KS301NI0020,KS301NI0021,KS301NI0022,KS301NI0023,KS301NI0024,KS301NI0025,KS301NI0026,KS301NI0027,KS301NI0028,KS301NI0029,KS301NI0030,KS301NI0031
95AA01,4444,254,253,3937,139,136,2670,2565,1368,429,67,15,4033,269,61,81,5.72,5.69,88.59,4.72,4.62,90.66,57.72,30.78,9.65,1.51,0.34,90.75,6.05,1.37,1.82
95AA02,1734,261,204,1269,135,90,876,662,579,352,111,30,1521,117,35,61,15.05,11.76,73.18,12.26,8.17,79.56,38.18,33.39,20.30,6.40,1.73,87.72,6.75,2.02,3.52
95AA03,1822,281,179,1362,144,95,886,677,669,352,98,26,1600,100,46,76,15.42,9.82,74.75,12.80,8.44,78.76,37.16,36.72,19.32,5.38,1.43,87.82,5.49,2.52,4.17
95AA04,3013,217,219,2577,119,109,1752,1550,1037,346,65,15,2601,274,65,73,7.20,7.27,85.53,6.01,5.51,88.48,51.44,34.42,11.48,2.16,0.50,86.33,9.09,2.16,2.42
95AA05,2701,255,235,2211,120,128,1460,1365,880,325,104,27,2390,211,38,62,9.44,8.70,81.86,7.03,7.49,85.48,50.54,32.58,12.03,3.85,1.00,88.49,7.81,1.41,2.30
95AA06,4647,472,349,3826,239,195,2461,2514,1359,568,166,40,4087,310,92,158,10.16,7.51,82.33,8.26,6.74,85.01,54.10,29.24,12.22,3.57,0.86,87.95,6.67,1.98,3.40
95AA07,2140,220,187,1733,140,84,1154,1018,736,301,72,13,1866,181,41,52,10.28,8.74,80.98,10.16,6.10,83.74,47.57,34.39,14.07,3.36,0.61,87.20,8.46,1.92,2.43
95AA08,1698,265,187,1246,157,96,843,715,571,296,78,38,1488,82,46,82,15.61,11.01,73.38,14.32,8.76,76.92,42.11,33.63,17.43,4.59,2.24,87.63,4.83,2.71,4.83
95AA09,2220,300,214,1706,146,114,1139,872,774,422,134,18,2019,116,26,59,13.51,9.64,76.85,10.44,8.15,81.42,39.28,34.86,19.01,6.04,0.81,90.95,5.23,1.17,2.66
95AA10,1953,252,213,1488,146,123,985,807,698,320,99,29,1700,124,45,84,12.90,10.91,76.19,11.64,9.81,78.55,41.32,35.74,16.39,5.07,1.48,87.05,6.35,2.30,4.30
95AA11,5364,457,437,4470,206,221,3066,2795,1715,656,160,38,4848,305,83,128,8.52,8.15,83.33,5.90,6.33,87.78,52.11,31.97,12.23,2.98,0.71,90.38,5.69,1.55,2.39
95AA12,2775,167,204,2404,87,101,1616,1530,909,268,57,11,2395,270,51,59,6.02,7.35,86.63,4.82,5.60,89.58,55.14,32.76,9.66,2.05,0.40,86.31,9.73,1.84,2.13
95AA13,3307,341,252,2714,164,140,1788,1671,1056,446,102,32,2966,204,45,92,10.31,7.62,82.07,7.84,6.69,85.47,50.53,31.93,13.49,3.08,0.97,89.69,6.17,1.36,2.78
95AA14,2349,219,176,1954,93,87,1295,1174,765,345,50,15,2046,193,52,58,9.32,7.49,83.18,6.31,5.90,87.80,49.98,32.57,14.69,2.13,0.64,87.10,8.22,2.21,2.47
95AA15,4186,391,271,3524,264,169,2409,2115,1396,479,142,54,3806,209,68,103,9.34,6.47,84.19,9.29,5.95,84.76,50.53,33.35,11.44,3.39,1.29,90.92,4.99,1.62,2.46
95AA16,1807,268,177,1362,155,102,924,716,652,308,95,36,1614,104,32,57,14.83,9.80,75.37,13.12,8.64,78.24,39.62,36.08,17.04,5.26,1.99,89.32,5.76,1.77,3.15
95AA17,2142,236,183,1723,138,121,1182,1029,688,291,105,29,1943,113,32,54,11.02,8.54,80.44,9.58,8.40,82.03,48.04,32.12,13.59,4.90,1.35,90.71,5.28,1.49,2.52
95AA18,2439,247,216,1976,101,93,1285,1212,827,316,70,14,2105,243,34,57,10.13,8.86,81.02,6.83,6.29,86.88,49.69,33.91,12.96,2.87,0.57,86.31,9.96,1.39,2.34
95AA19,2687,265,171,2251,162,97,1461,1459,786,345,84,13,2411,151,45,80,9.86,6.36,83.77,9.42,5.64,84.94,54.30,29.25,12.84,3.13,0.48,89.73,5.62,1.67,2.98
