GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
95WW15,3171,3077,26,0,15,0,6,3,6,0,0,8,0,30,97.04,0.82,0,0.47,0,0.19,0.09,0.19,0,0,0.25,0,0.95
95WW16,2837,2734,66,7,8,0,1,0,6,0,0,0,0,15,96.37,2.33,0.25,0.28,0,0.04,0,0.21,0,0,0,0,0.53
95WW17,2181,2161,11,0,1,2,0,0,0,0,0,0,0,6,99.08,0.50,0,0.05,0.09,0,0,0,0,0,0,0,0.28
95WW18,2147,2096,22,4,4,1,0,5,0,0,2,0,0,13,97.62,1.02,0.19,0.19,0.05,0,0.23,0,0,0.09,0,0,0.61
95WW19,6005,5919,7,3,2,2,0,30,0,0,4,0,0,38,98.57,0.12,0.05,0.03,0.03,0,0.50,0,0,0.07,0,0,0.63
95WW20,7849,7625,103,5,29,0,0,12,7,0,2,0,3,63,97.15,1.31,0.06,0.37,0,0,0.15,0.09,0,0.03,0,0.04,0.80
95WW21,3366,3256,23,3,0,1,2,3,25,0,1,9,1,42,96.73,0.68,0.09,0,0.03,0.06,0.09,0.74,0,0.03,0.27,0.03,1.25
95WW22,2871,2844,9,0,0,0,0,0,0,0,3,0,0,15,99.06,0.31,0,0,0,0,0,0,0,0.10,0,0,0.52
95WW23,4771,4440,29,0,5,0,1,100,2,0,15,7,0,172,93.06,0.61,0,0.10,0,0.02,2.10,0.04,0,0.31,0.15,0,3.61
95WW24,3333,3234,62,0,4,6,8,8,1,0,0,0,0,10,97.03,1.86,0,0.12,0.18,0.24,0.24,0.03,0,0,0,0,0.30
95WW25,2007,1979,3,0,0,0,1,6,0,0,1,5,0,12,98.60,0.15,0,0,0,0.05,0.30,0,0,0.05,0.25,0,0.60
95XX01,5103,5058,9,2,0,0,0,15,1,0,0,0,2,16,99.12,0.18,0.04,0,0,0,0.29,0.02,0,0,0,0.04,0.31
95XX02,2580,2570,0,0,2,0,0,1,0,0,0,0,0,7,99.61,0,0,0.08,0,0,0.04,0,0,0,0,0,0.27
95XX03,2626,2603,2,0,0,0,0,2,0,0,0,0,1,18,99.12,0.08,0,0,0,0,0.08,0,0,0,0,0.04,0.69
95XX04,3562,3533,4,1,0,0,0,0,1,2,0,6,0,15,99.19,0.11,0.03,0,0,0,0,0.03,0.06,0,0.17,0,0.42
95XX05,2552,2500,12,0,0,0,5,5,1,4,1,0,0,24,97.96,0.47,0,0,0,0.20,0.20,0.04,0.16,0.04,0,0,0.94
95XX06,3580,3523,20,0,0,0,1,6,2,4,2,0,1,21,98.41,0.56,0,0,0,0.03,0.17,0.06,0.11,0.06,0,0.03,0.59
95XX07,2761,2735,4,0,1,0,0,0,2,0,1,0,2,16,99.06,0.14,0,0.04,0,0,0,0.07,0,0.04,0,0.07,0.58
95XX08,2533,2510,5,0,0,0,0,0,9,0,0,3,0,6,99.09,0.20,0,0,0,0,0,0.36,0,0,0.12,0,0.24
95XX09,2728,2704,5,3,0,0,0,4,0,2,1,0,0,9,99.12,0.18,0.11,0,0,0,0.15,0,0.07,0.04,0,0,0.33
95XX10,4652,4584,11,2,2,4,1,5,4,0,3,0,0,36,98.54,0.24,0.04,0.04,0.09,0.02,0.11,0.09,0,0.06,0,0,0.77
