GeographyCode,KS601NI0001,KS601NI0002,KS601NI0003,KS601NI0004,KS601NI0005,KS601NI0006,KS601NI0007,KS601NI0008,KS601NI0009,KS601NI0010,KS601NI0011,KS601NI0012,KS601NI0013,KS601NI0014,KS601NI0015,KS601NI0016,KS601NI0017,KS601NI0018,KS601NI0019,KS601NI0020,KS601NI0021,KS601NI0022,KS601NI0023,KS601NI0024,KS601NI0025,KS601NI0026,KS601NI0027,KS601NI0028,KS601NI0029,KS601NI0030,KS601NI0031
95OO13,2032,292,944,101,91,63,209,110,80,87,55,287,24,13,22,41,14.37,46.46,4.97,4.48,3.10,10.29,5.41,3.94,4.28,2.71,14.12,26.37,14.29,24.18,45.05
95OO14,1837,254,581,277,79,56,200,145,95,104,46,301,27,12,10,30,13.83,31.63,15.08,4.30,3.05,10.89,7.89,5.17,5.66,2.50,16.39,34.18,15.19,12.66,37.97
95OO15,1639,199,563,88,112,61,163,100,101,163,89,166,28,17,28,41,12.14,34.35,5.37,6.83,3.72,9.95,6.10,6.16,9.95,5.43,10.13,25.00,15.18,25.00,36.61
95OO16,1544,185,566,186,72,38,216,61,66,107,47,232,21,14,11,33,11.98,36.66,12.05,4.66,2.46,13.99,3.95,4.27,6.93,3.04,15.03,29.17,19.44,15.28,45.83
95OO17,1966,278,741,240,66,56,256,97,71,102,59,288,16,12,6,21,14.14,37.69,12.21,3.36,2.85,13.02,4.93,3.61,5.19,3.00,14.65,24.24,18.18,9.09,31.82
95OO18,2135,270,904,161,111,44,239,132,70,130,74,390,32,13,18,48,12.65,42.34,7.54,5.20,2.06,11.19,6.18,3.28,6.09,3.47,18.27,28.83,11.71,16.22,43.24
95OO19,2067,278,802,286,84,60,166,145,81,114,51,340,22,6,18,26,13.45,38.80,13.84,4.06,2.90,8.03,7.01,3.92,5.52,2.47,16.45,26.19,7.14,21.43,30.95
95OO20,1525,197,588,149,73,49,216,66,56,85,46,238,18,9,14,33,12.92,38.56,9.77,4.79,3.21,14.16,4.33,3.67,5.57,3.02,15.61,24.66,12.33,19.18,45.21
95OO21,1729,204,625,117,91,66,229,106,81,140,70,241,18,16,22,43,11.80,36.15,6.77,5.26,3.82,13.24,6.13,4.68,8.10,4.05,13.94,19.78,17.58,24.18,47.25
95OO22,2247,276,717,287,115,87,188,215,110,184,68,333,34,25,18,47,12.28,31.91,12.77,5.12,3.87,8.37,9.57,4.90,8.19,3.03,14.82,29.57,21.74,15.65,40.87
95PP01,1850,246,710,225,52,65,253,107,67,88,37,380,19,13,7,23,13.30,38.38,12.16,2.81,3.51,13.68,5.78,3.62,4.76,2.00,20.54,36.54,25.00,13.46,44.23
95PP02,1809,216,566,282,78,42,222,123,104,105,71,316,21,24,7,43,11.94,31.29,15.59,4.31,2.32,12.27,6.80,5.75,5.80,3.92,17.47,26.92,30.77,8.97,55.13
95PP03,1847,219,545,266,112,43,239,131,101,102,89,322,21,17,15,65,11.86,29.51,14.40,6.06,2.33,12.94,7.09,5.47,5.52,4.82,17.43,18.75,15.18,13.39,58.04
95PP04,2258,323,766,358,65,58,261,134,111,108,74,458,15,18,7,25,14.30,33.92,15.85,2.88,2.57,11.56,5.93,4.92,4.78,3.28,20.28,23.08,27.69,10.77,38.46
95PP05,1685,220,560,291,65,47,199,95,74,86,48,287,15,12,9,34,13.06,33.23,17.27,3.86,2.79,11.81,5.64,4.39,5.10,2.85,17.03,23.08,18.46,13.85,52.31
95PP06,2803,409,1149,220,123,73,288,160,114,189,78,501,26,22,18,57,14.59,40.99,7.85,4.39,2.60,10.27,5.71,4.07,6.74,2.78,17.87,21.14,17.89,14.63,46.34
95PP07,1988,255,691,308,75,51,224,112,102,100,70,412,15,11,15,32,12.83,34.76,15.49,3.77,2.57,11.27,5.63,5.13,5.03,3.52,20.72,20.00,14.67,20.00,42.67
95PP08,1933,239,769,255,90,35,188,109,94,89,65,321,14,14,12,38,12.36,39.78,13.19,4.66,1.81,9.73,5.64,4.86,4.60,3.36,16.61,15.56,15.56,13.33,42.22
95PP09,1199,160,367,53,102,31,165,55,55,150,61,170,22,17,15,56,13.34,30.61,4.42,8.51,2.59,13.76,4.59,4.59,12.51,5.09,14.18,21.57,16.67,14.71,54.90
95PP10,1733,190,582,226,93,43,231,133,87,85,63,271,27,17,13,38,10.96,33.58,13.04,5.37,2.48,13.33,7.67,5.02,4.90,3.64,15.64,29.03,18.28,13.98,40.86
95PP11,1904,266,601,152,102,50,268,115,93,179,78,334,31,17,20,48,13.97,31.57,7.98,5.36,2.63,14.08,6.04,4.88,9.40,4.10,17.54,30.39,16.67,19.61,47.06
95PP12,1841,253,627,256,85,59,212,125,78,88,58,362,15,23,13,48,13.74,34.06,13.91,4.62,3.20,11.52,6.79,4.24,4.78,3.15,19.66,17.65,27.06,15.29,56.47
95PP13,1811,195,646,152,114,40,246,97,95,144,82,265,29,20,24,49,10.77,35.67,8.39,6.29,2.21,13.58,5.36,5.25,7.95,4.53,14.63,25.44,17.54,21.05,42.98
95PP14,2616,344,850,353,124,71,368,139,124,172,71,459,33,28,17,63,13.15,32.49,13.49,4.74,2.71,14.07,5.31,4.74,6.57,2.71,17.55,26.61,22.58,13.71,50.81
95PP15,2237,328,855,301,70,63,244,154,87,89,46,450,16,11,9,32,14.66,38.22,13.46,3.13,2.82,10.91,6.88,3.89,3.98,2.06,20.12,22.86,15.71,12.86,45.71
95PP16,1414,167,494,189,47,39,260,86,43,56,33,289,11,16,8,23,11.81,34.94,13.37,3.32,2.76,18.39,6.08,3.04,3.96,2.33,20.44,23.40,34.04,17.02,48.94
95PP17,1863,204,618,133,127,55,230,103,123,174,96,275,30,21,25,59,10.95,33.17,7.14,6.82,2.95,12.35,5.53,6.60,9.34,5.15,14.76,23.62,16.54,19.69,46.46
95PP18,2286,283,836,346,92,57,239,160,105,106,62,382,30,15,10,37,12.38,36.57,15.14,4.02,2.49,10.45,7.00,4.59,4.64,2.71,16.71,32.61,16.30,10.87,40.22
95PP19,1792,230,513,200,107,43,200,124,117,162,96,260,28,22,20,57,12.83,28.63,11.16,5.97,2.40,11.16,6.92,6.53,9.04,5.36,14.51,26.17,20.56,18.69,53.27
95PP20,2346,304,890,205,115,59,330,114,105,146,78,422,28,18,11,55,12.96,37.94,8.74,4.90,2.51,14.07,4.86,4.48,6.22,3.32,17.99,24.35,15.65,9.57,47.83
