GeographyCode,KS605NI0001,KS605NI0002,KS605NI0003,KS605NI0004,KS605NI0005,KS605NI0006,KS605NI0007,KS605NI0008,KS605NI0009,KS605NI0010,KS605NI0011,KS605NI0012,KS605NI0013,KS605NI0014,KS605NI0015,KS605NI0016,KS605NI0017,KS605NI0018,KS605NI0019,KS605NI0020,KS605NI0021,KS605NI0022,KS605NI0023,KS605NI0024,KS605NI0025,KS605NI0026,KS605NI0027,KS605NI0028,KS605NI0029,KS605NI0030,KS605NI0031,KS605NI0032,KS605NI0033,KS605NI0034,KS605NI0035,KS605NI0036,KS605NI0037
95AA01,2343,77,5,214,8,17,160,302,116,93,54,63,10,93,134,438,203,279,77,3.29,0.21,9.13,0.34,0.73,6.83,12.89,4.95,3.97,2.30,2.69,0.43,3.97,5.72,18.69,8.66,11.91,3.29
95AA02,826,3,0,84,1,7,43,163,62,68,16,11,3,23,45,69,52,132,44,0.36,0,10.17,0.12,0.85,5.21,19.73,7.51,8.23,1.94,1.33,0.36,2.78,5.45,8.35,6.30,15.98,5.33
95AA03,775,4,1,84,0,5,42,150,76,54,10,17,2,15,45,52,38,148,32,0.52,0.13,10.84,0,0.65,5.42,19.35,9.81,6.97,1.29,2.19,0.26,1.94,5.81,6.71,4.90,19.10,4.13
95AA04,1570,94,3,130,4,14,124,269,101,72,46,37,16,74,46,124,151,192,73,5.99,0.19,8.28,0.25,0.89,7.90,17.13,6.43,4.59,2.93,2.36,1.02,4.71,2.93,7.90,9.62,12.23,4.65
95AA05,1276,39,1,118,6,11,191,187,50,49,21,32,11,47,29,97,115,238,34,3.06,0.08,9.25,0.47,0.86,14.97,14.66,3.92,3.84,1.65,2.51,0.86,3.68,2.27,7.60,9.01,18.65,2.66
95AA06,2093,17,5,185,6,12,161,370,161,88,65,61,19,90,63,199,174,328,89,0.81,0.24,8.84,0.29,0.57,7.69,17.68,7.69,4.20,3.11,2.91,0.91,4.30,3.01,9.51,8.31,15.67,4.25
95AA07,1046,40,1,112,5,24,114,153,45,44,26,29,5,36,41,63,77,189,42,3.82,0.10,10.71,0.48,2.29,10.90,14.63,4.30,4.21,2.49,2.77,0.48,3.44,3.92,6.02,7.36,18.07,4.02
95AA08,700,2,0,121,1,4,28,135,58,47,4,8,4,18,29,40,30,142,29,0.29,0,17.29,0.14,0.57,4.00,19.29,8.29,6.71,0.57,1.14,0.57,2.57,4.14,5.71,4.29,20.29,4.14
95AA09,915,4,0,106,4,7,49,186,63,77,15,17,5,26,55,52,53,159,37,0.44,0,11.58,0.44,0.77,5.36,20.33,6.89,8.42,1.64,1.86,0.55,2.84,6.01,5.68,5.79,17.38,4.04
95AA10,807,3,1,89,3,5,46,143,54,71,18,13,8,15,28,56,63,158,33,0.37,0.12,11.03,0.37,0.62,5.70,17.72,6.69,8.80,2.23,1.61,0.99,1.86,3.47,6.94,7.81,19.58,4.09
95AA11,2800,10,3,307,13,24,168,493,199,165,67,67,22,83,96,322,204,477,80,0.36,0.11,10.96,0.46,0.86,6.00,17.61,7.11,5.89,2.39,2.39,0.79,2.96,3.43,11.50,7.29,17.04,2.86
95AA12,1459,82,2,111,13,10,124,242,67,53,41,63,12,90,58,126,137,164,64,5.62,0.14,7.61,0.89,0.69,8.50,16.59,4.59,3.63,2.81,4.32,0.82,6.17,3.98,8.64,9.39,11.24,4.39
95AA13,1573,23,1,151,4,27,187,211,77,84,40,48,11,61,40,124,128,319,37,1.46,0.06,9.60,0.25,1.72,11.89,13.41,4.90,5.34,2.54,3.05,0.70,3.88,2.54,7.88,8.14,20.28,2.35
95AA14,1151,45,1,103,9,7,117,204,41,38,24,35,9,61,43,99,92,185,38,3.91,0.09,8.95,0.78,0.61,10.17,17.72,3.56,3.30,2.09,3.04,0.78,5.30,3.74,8.60,7.99,16.07,3.30
95AA15,2115,5,3,217,7,17,135,364,162,126,53,34,3,55,97,155,124,491,67,0.24,0.14,10.26,0.33,0.80,6.38,17.21,7.66,5.96,2.51,1.61,0.14,2.60,4.59,7.33,5.86,23.22,3.17
95AA16,828,4,1,115,0,10,54,194,65,50,12,17,2,19,49,51,31,124,30,0.48,0.12,13.89,0,1.21,6.52,23.43,7.85,6.04,1.45,2.05,0.24,2.29,5.92,6.16,3.74,14.98,3.62
95AA17,1009,3,1,98,4,12,66,169,95,64,14,19,9,29,49,56,65,211,45,0.30,0.10,9.71,0.40,1.19,6.54,16.75,9.42,6.34,1.39,1.88,0.89,2.87,4.86,5.55,6.44,20.91,4.46
95AA18,1123,29,0,79,6,10,59,189,75,70,48,58,15,68,51,96,96,135,39,2.58,0,7.03,0.53,0.89,5.25,16.83,6.68,6.23,4.27,5.16,1.34,6.06,4.54,8.55,8.55,12.02,3.47
95AA19,1186,47,3,121,1,9,230,185,40,58,16,17,8,49,15,67,106,169,45,3.96,0.25,10.20,0.08,0.76,19.39,15.60,3.37,4.89,1.35,1.43,0.67,4.13,1.26,5.65,8.94,14.25,3.79
95BB01,1878,38,8,163,11,7,155,299,81,92,54,74,16,77,97,222,128,267,89,2.02,0.43,8.68,0.59,0.37,8.25,15.92,4.31,4.90,2.88,3.94,0.85,4.10,5.17,11.82,6.82,14.22,4.74
95BB02,929,17,2,81,1,11,65,209,41,47,13,40,7,39,55,89,57,123,32,1.83,0.22,8.72,0.11,1.18,7.00,22.50,4.41,5.06,1.40,4.31,0.75,4.20,5.92,9.58,6.14,13.24,3.44
95BB03,1710,72,4,146,5,5,154,273,66,94,18,49,12,80,91,194,105,247,95,4.21,0.23,8.54,0.29,0.29,9.01,15.96,3.86,5.50,1.05,2.87,0.70,4.68,5.32,11.35,6.14,14.44,5.56
95BB04,1326,14,2,116,6,3,78,238,49,56,34,58,14,69,63,149,143,163,71,1.06,0.15,8.75,0.45,0.23,5.88,17.95,3.70,4.22,2.56,4.37,1.06,5.20,4.75,11.24,10.78,12.29,5.35
95BB05,1696,109,7,136,5,15,150,248,80,86,39,61,17,85,86,139,148,199,86,6.43,0.41,8.02,0.29,0.88,8.84,14.62,4.72,5.07,2.30,3.60,1.00,5.01,5.07,8.20,8.73,11.73,5.07
95BB06,1194,13,1,103,3,14,49,230,62,101,22,43,14,27,72,130,62,186,62,1.09,0.08,8.63,0.25,1.17,4.10,19.26,5.19,8.46,1.84,3.60,1.17,2.26,6.03,10.89,5.19,15.58,5.19
95BB07,1302,19,1,117,2,3,93,237,41,74,28,59,12,46,77,144,84,191,74,1.46,0.08,8.99,0.15,0.23,7.14,18.20,3.15,5.68,2.15,4.53,0.92,3.53,5.91,11.06,6.45,14.67,5.68
95BB08,1232,27,2,109,10,7,107,227,62,53,29,43,5,50,75,130,69,179,48,2.19,0.16,8.85,0.81,0.57,8.69,18.43,5.03,4.30,2.35,3.49,0.41,4.06,6.09,10.55,5.60,14.53,3.90
95BB09,1534,23,6,112,10,5,90,248,39,73,51,73,16,67,93,198,118,232,80,1.50,0.39,7.30,0.65,0.33,5.87,16.17,2.54,4.76,3.32,4.76,1.04,4.37,6.06,12.91,7.69,15.12,5.22
95BB10,1493,35,0,96,11,9,88,244,46,83,39,70,23,90,77,153,139,199,91,2.34,0,6.43,0.74,0.60,5.89,16.34,3.08,5.56,2.61,4.69,1.54,6.03,5.16,10.25,9.31,13.33,6.10
95BB11,1218,12,1,77,4,9,84,237,59,76,28,25,9,37,69,130,82,201,78,0.99,0.08,6.32,0.33,0.74,6.90,19.46,4.84,6.24,2.30,2.05,0.74,3.04,5.67,10.67,6.73,16.50,6.40
95BB12,1138,9,1,81,5,9,82,207,30,67,29,51,22,53,76,119,87,150,60,0.79,0.09,7.12,0.44,0.79,7.21,18.19,2.64,5.89,2.55,4.48,1.93,4.66,6.68,10.46,7.64,13.18,5.27
95BB13,2103,14,1,178,9,20,141,375,93,115,42,73,17,80,105,279,158,288,115,0.67,0.05,8.46,0.43,0.95,6.70,17.83,4.42,5.47,2.00,3.47,0.81,3.80,4.99,13.27,7.51,13.69,5.47
95BB14,1546,62,7,122,4,9,107,229,31,77,54,58,21,130,64,172,119,217,63,4.01,0.45,7.89,0.26,0.58,6.92,14.81,2.01,4.98,3.49,3.75,1.36,8.41,4.14,11.13,7.70,14.04,4.08
95BB15,1546,87,5,80,8,5,258,224,46,57,22,55,19,60,58,173,118,202,69,5.63,0.32,5.17,0.52,0.32,16.69,14.49,2.98,3.69,1.42,3.56,1.23,3.88,3.75,11.19,7.63,13.07,4.46
95BB16,1558,57,4,108,6,14,136,241,40,53,47,76,17,97,96,156,123,204,83,3.66,0.26,6.93,0.39,0.90,8.73,15.47,2.57,3.40,3.02,4.88,1.09,6.23,6.16,10.01,7.89,13.09,5.33
95BB17,1703,34,3,144,6,14,125,346,73,90,38,68,16,42,116,175,96,244,73,2.00,0.18,8.46,0.35,0.82,7.34,20.32,4.29,5.28,2.23,3.99,0.94,2.47,6.81,10.28,5.64,14.33,4.29
95BB18,1938,37,2,154,10,21,163,333,78,85,58,67,16,71,89,236,135,278,105,1.91,0.10,7.95,0.52,1.08,8.41,17.18,4.02,4.39,2.99,3.46,0.83,3.66,4.59,12.18,6.97,14.34,5.42
95BB19,2497,3,3,236,9,20,121,463,96,113,73,111,23,100,139,333,190,349,115,0.12,0.12,9.45,0.36,0.80,4.85,18.54,3.84,4.53,2.92,4.45,0.92,4.00,5.57,13.34,7.61,13.98,4.61
95BB20,1355,56,0,60,3,9,228,148,47,69,31,47,9,55,54,158,107,200,74,4.13,0,4.43,0.22,0.66,16.83,10.92,3.47,5.09,2.29,3.47,0.66,4.06,3.99,11.66,7.90,14.76,5.46
95BB21,2057,122,4,155,12,10,163,279,82,117,46,69,13,80,85,246,156,322,96,5.93,0.19,7.54,0.58,0.49,7.92,13.56,3.99,5.69,2.24,3.35,0.63,3.89,4.13,11.96,7.58,15.65,4.67
