GeographyCode,KS613NI0001,KS613NI0002,KS613NI0003,KS613NI0004,KS613NI0005,KS613NI0006,KS613NI0007,KS613NI0008,KS613NI0009,KS613NI0010,KS613NI0011,KS613NI0012,KS613NI0013,KS613NI0014,KS613NI0015,KS613NI0016,KS613NI0017,KS613NI0018,KS613NI0019,KS613NI0020,KS613NI0021,KS613NI0022,KS613NI0023
95AA01,1511,22,82,430,307,98,55,244,107,34,24,108,1.46,5.43,28.46,20.32,6.49,3.64,16.15,7.08,2.25,1.59,7.15
95AA02,661,2,17,117,120,15,48,169,109,22,6,36,0.30,2.57,17.70,18.15,2.27,7.26,25.57,16.49,3.33,0.91,5.45
95AA03,706,5,16,110,110,12,46,195,132,33,11,36,0.71,2.27,15.58,15.58,1.70,6.52,27.62,18.70,4.67,1.56,5.10
95AA04,1072,11,56,280,241,77,39,153,69,24,11,111,1.03,5.22,26.12,22.48,7.18,3.64,14.27,6.44,2.24,1.03,10.35
95AA05,965,8,47,257,189,45,28,164,86,33,12,96,0.83,4.87,26.63,19.59,4.66,2.90,16.99,8.91,3.42,1.24,9.95
95AA06,1640,18,58,351,355,60,59,333,135,61,22,188,1.10,3.54,21.40,21.65,3.66,3.60,20.30,8.23,3.72,1.34,11.46
95AA07,797,9,27,190,158,50,30,136,95,41,7,54,1.13,3.39,23.84,19.82,6.27,3.76,17.06,11.92,5.14,0.88,6.78
95AA08,659,1,8,103,104,15,43,153,131,41,15,45,0.15,1.21,15.63,15.78,2.28,6.53,23.22,19.88,6.22,2.28,6.83
95AA09,845,8,22,156,127,23,41,215,145,42,11,55,0.95,2.60,18.46,15.03,2.72,4.85,25.44,17.16,4.97,1.30,6.51
95AA10,767,11,24,152,117,28,47,154,115,54,5,60,1.43,3.13,19.82,15.25,3.65,6.13,20.08,14.99,7.04,0.65,7.82
95AA11,1926,28,84,529,400,82,84,331,189,55,14,130,1.45,4.36,27.47,20.77,4.26,4.36,17.19,9.81,2.86,0.73,6.75
95AA12,1003,24,73,285,219,71,25,122,48,24,4,108,2.39,7.28,28.41,21.83,7.08,2.49,12.16,4.79,2.39,0.40,10.77
95AA13,1198,23,53,303,225,54,36,215,144,39,12,94,1.92,4.42,25.29,18.78,4.51,3.01,17.95,12.02,3.26,1.00,7.85
95AA14,855,11,51,237,167,55,19,134,58,36,6,81,1.29,5.96,27.72,19.53,6.43,2.22,15.67,6.78,4.21,0.70,9.47
95AA15,1566,6,42,380,308,50,70,283,221,67,24,115,0.38,2.68,24.27,19.67,3.19,4.47,18.07,14.11,4.28,1.53,7.34
