GeographyCode,KS608NI0001,KS608NI0002,KS608NI0003,KS608NI0004,KS608NI0005,KS608NI0006,KS608NI0007,KS608NI0008,KS608NI0009,KS608NI0010,KS608NI0011,KS608NI0012,KS608NI0013,KS608NI0014,KS608NI0015,KS608NI0016,KS608NI0017,KS608NI0018,KS608NI0019
95AA01,2343,260,389,314,437,318,152,167,132,174,11.10,16.60,13.40,18.65,13.57,6.49,7.13,5.63,7.43
95AA02,826,33,80,79,103,104,93,103,76,155,4.00,9.69,9.56,12.47,12.59,11.26,12.47,9.20,18.77
95AA03,775,30,67,49,81,112,107,85,84,160,3.87,8.65,6.32,10.45,14.45,13.81,10.97,10.84,20.65
95AA04,1570,174,243,171,209,298,132,116,114,113,11.08,15.48,10.89,13.31,18.98,8.41,7.39,7.26,7.20
95AA05,1276,113,235,94,153,249,144,86,94,108,8.86,18.42,7.37,11.99,19.51,11.29,6.74,7.37,8.46
95AA06,2093,163,260,215,359,221,234,235,192,214,7.79,12.42,10.27,17.15,10.56,11.18,11.23,9.17,10.22
95AA07,1046,83,170,65,135,193,99,78,103,120,7.93,16.25,6.21,12.91,18.45,9.46,7.46,9.85,11.47
95AA08,700,23,58,55,65,89,99,86,90,135,3.29,8.29,7.86,9.29,12.71,14.14,12.29,12.86,19.29
95AA09,915,76,117,61,95,88,97,106,99,176,8.31,12.79,6.67,10.38,9.62,10.60,11.58,10.82,19.23
95AA10,807,60,114,49,107,92,91,92,68,134,7.43,14.13,6.07,13.26,11.40,11.28,11.40,8.43,16.60
95AA11,2800,231,483,286,409,306,260,246,236,343,8.25,17.25,10.21,14.61,10.93,9.29,8.79,8.43,12.25
95AA12,1459,206,294,142,225,230,88,90,75,109,14.12,20.15,9.73,15.42,15.76,6.03,6.17,5.14,7.47
95AA13,1573,122,303,130,221,255,159,104,119,160,7.76,19.26,8.26,14.05,16.21,10.11,6.61,7.57,10.17
95AA14,1151,122,227,117,162,198,76,101,73,75,10.60,19.72,10.17,14.07,17.20,6.60,8.77,6.34,6.52
95AA15,2115,135,370,156,280,238,224,190,180,342,6.38,17.49,7.38,13.24,11.25,10.59,8.98,8.51,16.17
95AA16,828,39,58,41,101,104,83,97,100,205,4.71,7.00,4.95,12.20,12.56,10.02,11.71,12.08,24.76
95AA17,1009,79,132,69,121,116,111,84,122,175,7.83,13.08,6.84,11.99,11.50,11.00,8.33,12.09,17.34
95AA18,1123,201,259,128,153,104,72,99,46,61,17.90,23.06,11.40,13.62,9.26,6.41,8.82,4.10,5.43
