GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95DD13,741,231,358,121,20,11,704,31.17,48.31,16.33,2.70,1.48
95DD14,1233,94,474,490,132,43,2033,7.62,38.44,39.74,10.71,3.49
95DD15,1174,81,426,450,133,84,2096,6.90,36.29,38.33,11.33,7.16
95DD16,1019,55,296,432,153,83,1994,5.40,29.05,42.39,15.01,8.15
95DD17,1148,70,344,489,156,89,2188,6.10,29.97,42.60,13.59,7.75
95DD18,873,259,418,151,33,12,874,29.67,47.88,17.30,3.78,1.37
95DD19,1275,165,479,461,125,45,1971,12.94,37.57,36.16,9.80,3.53
95DD20,826,327,402,82,10,5,619,39.59,48.67,9.93,1.21,0.61
95DD21,891,191,413,240,38,9,1045,21.44,46.35,26.94,4.26,1.01
95DD22,1156,174,419,367,131,65,1841,15.05,36.25,31.75,11.33,5.62
95DD23,881,40,285,354,135,67,1687,4.54,32.35,40.18,15.32,7.60
95DD24,990,144,450,295,80,21,1365,14.55,45.45,29.80,8.08,2.12
95EE01,592,52,243,201,68,28,974,8.78,41.05,33.95,11.49,4.73
95EE02,790,117,337,250,63,23,1129,14.81,42.66,31.65,7.97,2.91
95EE03,808,187,343,226,37,15,972,23.14,42.45,27.97,4.58,1.86
95EE04,736,90,307,247,65,27,1110,12.23,41.71,33.56,8.83,3.67
95EE05,577,67,212,212,65,21,921,11.61,36.74,36.74,11.27,3.64
95EE06,692,77,270,248,54,43,1130,11.13,39.02,35.84,7.80,6.21
95EE07,740,149,362,176,40,13,889,20.14,48.92,23.78,5.41,1.76
95EE08,711,134,324,206,36,11,888,18.85,45.57,28.97,5.06,1.55
95EE09,605,67,208,221,67,42,1038,11.07,34.38,36.53,11.07,6.94
95EE10,598,67,234,192,62,43,1011,11.20,39.13,32.11,10.37,7.19
95EE11,551,38,186,213,72,42,1030,6.90,33.76,38.66,13.07,7.62
95EE12,1059,272,496,255,29,7,1121,25.68,46.84,24.08,2.74,0.66
95EE13,718,233,286,152,34,13,752,32.45,39.83,21.17,4.74,1.81
95EE14,1016,119,426,367,76,28,1506,11.71,41.93,36.12,7.48,2.76
95EE15,606,60,229,219,53,45,1024,9.90,37.79,36.14,8.75,7.43
95EE16,709,49,268,264,90,38,1225,6.91,37.80,37.24,12.69,5.36
95FF01,1740,123,695,712,158,52,2823,7.07,39.94,40.92,9.08,2.99
95FF02,923,56,286,400,122,59,1719,6.07,30.99,43.34,13.22,6.39
