GeographyCode,KS801NI0001,KS801NI0002,KS801NI0003,KS801NI0004,KS801NI0005,KS801NI0006,KS801NI0007,KS801NI0008,KS801NI0009,KS801NI0010
95AA01,3255,2945,132,61,117,2,90.48,4.06,1.87,3.59
95AA02,1505,1384,27,17,77,1,91.96,1.79,1.13,5.12
95AA03,1632,1539,22,26,45,0,94.30,1.35,1.59,2.76
95AA04,2791,2643,37,21,90,0,94.70,1.33,0.75,3.22
95AA05,2477,2329,44,22,82,0,94.03,1.78,0.89,3.31
95AA06,4296,4070,51,49,126,1,94.74,1.19,1.14,2.93
95AA07,1956,1839,30,13,74,3,94.02,1.53,0.66,3.78
95AA08,1465,1382,16,14,53,0,94.33,1.09,0.96,3.62
95AA09,1898,1764,30,21,83,0,92.94,1.58,1.11,4.37
95AA10,1721,1611,25,24,61,2,93.61,1.45,1.39,3.54
95AA11,4438,4094,70,97,177,7,92.25,1.58,2.19,3.99
95AA12,2582,2411,30,51,90,6,93.38,1.16,1.98,3.49
95AA13,2895,2710,39,44,102,4,93.61,1.35,1.52,3.52
95AA14,2185,2051,31,19,84,0,93.87,1.42,0.87,3.84
95AA15,3328,3072,58,73,125,8,92.31,1.74,2.19,3.76
95AA16,1490,1404,12,25,49,1,94.23,0.81,1.68,3.29
95AA17,1857,1738,27,9,83,1,93.59,1.45,0.48,4.47
95AA18,2201,2005,56,31,109,1,91.09,2.54,1.41,4.95
95AA19,2551,2439,39,30,43,1,95.61,1.53,1.18,1.69
95BB01,3384,3238,26,34,86,0,95.69,0.77,1.00,2.54
95BB02,2122,1994,32,18,78,0,93.97,1.51,0.85,3.68
95BB03,3784,3497,55,61,171,1,92.42,1.45,1.61,4.52
95BB04,2777,2553,42,39,143,1,91.93,1.51,1.40,5.15
95BB05,3103,2883,52,44,124,0,92.91,1.68,1.42,4.00
95BB06,2564,2405,42,45,72,1,93.80,1.64,1.76,2.81
95BB07,2681,2523,46,27,85,4,94.11,1.72,1.01,3.17
95BB08,2418,2286,44,22,66,2,94.54,1.82,0.91,2.73
95BB09,2680,2488,43,45,104,2,92.84,1.60,1.68,3.88
95BB10,2898,2575,79,55,189,0,88.85,2.73,1.90,6.52
95BB11,2664,2463,31,41,129,0,92.45,1.16,1.54,4.84
95BB12,2506,2347,43,31,85,1,93.66,1.72,1.24,3.39
95BB13,4075,3829,43,34,169,1,93.96,1.06,0.83,4.15
95BB14,2756,2476,51,45,184,1,89.84,1.85,1.63,6.68
95BB15,3228,3074,37,45,72,2,95.23,1.15,1.39,2.23
95BB16,2906,2700,55,34,117,0,92.91,1.89,1.17,4.03
95BB17,3234,3033,39,44,118,0,93.78,1.21,1.36,3.65
95BB18,3890,3606,60,87,137,0,92.70,1.54,2.24,3.52
95BB19,4427,4198,59,46,124,0,94.83,1.33,1.04,2.80
95BB20,3132,2963,50,42,77,2,94.60,1.60,1.34,2.46
95BB21,4301,4039,81,58,123,4,93.91,1.88,1.35,2.86
95BB22,2759,2619,39,35,66,0,94.93,1.41,1.27,2.39
95BB23,2759,2593,40,25,101,3,93.98,1.45,0.91,3.66
95CC01,2160,2007,36,31,86,2,92.92,1.67,1.44,3.98
95CC02,2534,2407,40,30,57,4,94.99,1.58,1.18,2.25
95CC03,2192,2048,32,35,77,6,93.43,1.46,1.60,3.51
95CC04,2191,2101,34,8,48,0,95.89,1.55,0.37,2.19
95CC05,2505,2380,42,18,65,1,95.01,1.68,0.72,2.59
95CC06,2373,2202,44,27,100,1,92.79,1.85,1.14,4.21
95CC07,3010,2824,58,46,82,6,93.82,1.93,1.53,2.72
95CC08,2235,2082,47,37,69,7,93.15,2.10,1.66,3.09
95CC09,3106,2953,50,46,57,1,95.07,1.61,1.48,1.84
95CC10,2367,2222,36,45,64,3,93.87,1.52,1.90,2.70
95CC11,1473,1362,38,21,52,8,92.46,2.58,1.43,3.53
95CC12,2627,2528,40,19,40,0,96.23,1.52,0.72,1.52
95CC13,2225,2091,54,29,51,1,93.98,2.43,1.30,2.29
95CC14,2788,2640,55,23,70,0,94.69,1.97,0.82,2.51
95CC15,2674,2576,30,19,49,1,96.34,1.12,0.71,1.83
95CC16,2571,2450,32,34,55,8,95.29,1.24,1.32,2.14
95CC17,2478,2324,71,31,52,5,93.79,2.87,1.25,2.10
95CC18,1890,1702,31,53,104,9,90.05,1.64,2.80,5.50
95CC19,2509,2406,31,25,47,0,95.89,1.24,1.00,1.87
95CC20,2654,2496,53,37,68,5,94.05,2.00,1.39,2.56
95CC21,2617,2489,32,32,64,3,95.11,1.22,1.22,2.45
95CC22,1400,1288,26,23,63,3,92.00,1.86,1.64,4.50
95DD01,1843,1685,43,18,97,5,91.43,2.33,0.98,5.26
95DD02,3634,3449,29,37,119,7,94.91,0.80,1.02,3.27
95DD03,3028,2779,60,51,138,7,91.78,1.98,1.68,4.56
95DD04,1784,1683,30,10,61,1,94.34,1.68,0.56,3.42
95DD05,1621,1567,18,4,32,0,96.67,1.11,0.25,1.97
95DD06,2303,2147,41,14,101,4,93.23,1.78,0.61,4.39
95DD07,3122,2928,52,35,107,1,93.79,1.67,1.12,3.43
95DD08,1557,1457,28,22,50,8,93.58,1.80,1.41,3.21
95DD09,2454,2346,21,37,50,1,95.60,0.86,1.51,2.04
95DD10,2632,2541,22,16,53,1,96.54,0.84,0.61,2.01
95DD11,1916,1808,30,21,57,2,94.36,1.57,1.10,2.97
95DD12,2484,2395,24,12,53,0,96.42,0.97,0.48,2.13
95DD13,1461,1366,28,9,58,4,93.50,1.92,0.62,3.97
95DD14,3010,2819,42,40,109,2,93.65,1.40,1.33,3.62
95DD15,3267,3109,54,31,73,3,95.16,1.65,0.95,2.23
95DD16,2791,2635,44,36,76,0,94.41,1.58,1.29,2.72
95DD17,3288,3138,39,38,73,0,95.44,1.19,1.16,2.22
95DD18,1701,1606,29,6,60,3,94.42,1.70,0.35,3.53
95DD19,3133,2966,39,40,88,1,94.67,1.24,1.28,2.81
95DD20,1596,1518,24,13,41,0,95.11,1.50,0.81,2.57
95DD21,1725,1616,33,13,63,8,93.68,1.91,0.75,3.65
95DD22,2948,2796,54,18,80,2,94.84,1.83,0.61,2.71
95DD23,2387,2270,31,28,58,0,95.10,1.30,1.17,2.43
95DD24,2322,2189,28,23,82,1,94.27,1.21,0.99,3.53
95EE01,1815,1746,18,22,29,0,96.20,0.99,1.21,1.60
95EE02,1979,1869,29,26,55,0,94.44,1.47,1.31,2.78
95EE03,1804,1681,25,25,73,1,93.18,1.39,1.39,4.05
95EE04,1888,1802,22,14,50,0,95.44,1.17,0.74,2.65
95EE05,1392,1314,25,16,37,0,94.40,1.80,1.15,2.66
95EE06,2143,2077,15,20,31,0,96.92,0.70,0.93,1.45
95EE07,1707,1645,12,12,38,1,96.37,0.70,0.70,2.23
95EE08,1572,1450,37,26,59,2,92.24,2.35,1.65,3.75
95EE09,1783,1712,27,14,30,0,96.02,1.51,0.79,1.68
95EE10,1626,1568,20,17,21,2,96.43,1.23,1.05,1.29
95EE11,1588,1527,15,18,28,0,96.16,0.94,1.13,1.76
95EE12,2272,2159,29,31,53,0,95.03,1.28,1.36,2.33
95EE13,1374,1282,29,21,42,0,93.30,2.11,1.53,3.06
95EE14,2457,2301,32,50,74,1,93.65,1.30,2.04,3.01
95EE15,1629,1539,26,30,34,0,94.48,1.60,1.84,2.09
95EE16,1983,1884,32,19,48,0,95.01,1.61,0.96,2.42
95FF01,4243,3953,82,70,138,2,93.17,1.93,1.65,3.25
95FF02,2660,2524,46,33,57,5,94.89,1.73,1.24,2.14
95FF03,2720,2589,39,35,57,1,95.18,1.43,1.29,2.10
95FF04,2478,2365,32,28,53,0,95.44,1.29,1.13,2.14
95FF05,2294,2163,28,31,72,1,94.29,1.22,1.35,3.14
95FF06,3736,3505,47,68,116,2,93.82,1.26,1.82,3.10
95FF07,2509,2378,42,29,60,1,94.78,1.67,1.16,2.39
95FF08,2163,2038,36,28,61,0,94.22,1.66,1.29,2.82
95FF09,2292,2197,26,17,52,0,95.86,1.13,0.74,2.27
95FF10,3260,3123,44,34,59,1,95.80,1.35,1.04,1.81
95FF11,2416,2318,38,19,41,0,95.94,1.57,0.79,1.70
95FF12,2532,2381,45,28,78,2,94.04,1.78,1.11,3.08
95FF13,2517,2370,32,32,83,0,94.16,1.27,1.27,3.30
95FF14,2296,2166,21,26,83,0,94.34,0.91,1.13,3.61
95FF15,2493,2371,38,39,45,1,95.11,1.52,1.56,1.81
95FF16,2170,2024,31,27,88,2,93.27,1.43,1.24,4.06
95FF17,1543,1461,26,15,41,3,94.69,1.69,0.97,2.66
95GG01,4665,4427,72,41,125,3,94.90,1.54,0.88,2.68
95GG02,5717,5505,71,33,108,0,96.29,1.24,0.58,1.89
95GG03,5036,4427,150,153,306,7,87.91,2.98,3.04,6.08
