GeographyCode,KS403NI0001,KS403NI0002,KS403NI0003,KS403NI0004,KS403NI0005,KS403NI0006,KS403NI0007,KS403NI0008,KS403NI0009,KS403NI0010,KS403NI0011,KS403NI0012,KS403NI0013,KS403NI0014,KS403NI0015,KS403NI0016,KS403NI0017,KS403NI0018
95AA01,1522,296,455,279,293,136,50,10,3,2.82,19.45,29.89,18.33,19.25,8.94,3.29,0.66,0.20
95AA02,839,346,254,131,68,29,8,2,1,2.07,41.24,30.27,15.61,8.10,3.46,0.95,0.24,0.12
95AA03,845,323,262,124,94,27,13,2,0,2.16,38.22,31.01,14.67,11.12,3.20,1.54,0.24,0
95AA04,1014,171,299,183,195,113,37,12,4,2.96,16.86,29.49,18.05,19.23,11.14,3.65,1.18,0.39
95AA05,920,192,246,164,182,87,36,7,6,2.88,20.87,26.74,17.83,19.78,9.46,3.91,0.76,0.65
95AA06,1570,356,364,252,330,198,50,11,9,2.93,22.68,23.18,16.05,21.02,12.61,3.18,0.70,0.57
95AA07,820,201,258,144,139,60,13,4,1,2.58,24.51,31.46,17.56,16.95,7.32,1.59,0.49,0.12
95AA08,699,215,203,144,80,41,14,2,0,2.40,30.76,29.04,20.60,11.44,5.87,2.00,0.29,0
95AA09,943,307,291,195,94,45,10,0,1,2.27,32.56,30.86,20.68,9.97,4.77,1.06,0,0.11
95AA10,792,199,271,148,119,41,11,3,0,2.47,25.13,34.22,18.69,15.03,5.18,1.39,0.38,0
95AA11,1993,487,614,360,362,143,22,2,3,2.57,24.44,30.81,18.06,18.16,7.18,1.10,0.10,0.15
95AA12,971,180,283,171,204,103,25,5,0,2.86,18.54,29.15,17.61,21.01,10.61,2.57,0.51,0
95AA13,1239,326,351,219,196,105,28,9,5,2.64,26.31,28.33,17.68,15.82,8.47,2.26,0.73,0.40
95AA14,779,130,252,122,143,86,29,13,4,2.96,16.69,32.35,15.66,18.36,11.04,3.72,1.67,0.51
95AA15,1595,395,468,341,249,108,28,4,2,2.57,24.76,29.34,21.38,15.61,6.77,1.76,0.25,0.13
95AA16,832,318,243,137,91,32,9,2,0,2.17,38.22,29.21,16.47,10.94,3.85,1.08,0.24,0
95AA17,855,237,252,160,140,42,19,3,2,2.51,27.72,29.47,18.71,16.37,4.91,2.22,0.35,0.23
95AA18,1004,257,409,140,135,43,17,3,0,2.36,25.60,40.74,13.94,13.45,4.28,1.69,0.30,0
95AA19,832,157,185,141,168,103,51,20,7,3.18,18.87,22.24,16.95,20.19,12.38,6.13,2.40,0.84
95BB01,1307,270,373,255,265,110,26,4,4,2.76,20.66,28.54,19.51,20.28,8.42,1.99,0.31,0.31
95BB02,1126,438,378,163,100,35,10,1,1,2.07,38.90,33.57,14.48,8.88,3.11,0.89,0.09,0.09
95BB03,1776,477,652,299,241,75,26,5,1,2.37,26.86,36.71,16.84,13.57,4.22,1.46,0.28,0.06
95BB04,1307,349,521,209,167,48,10,2,1,2.30,26.70,39.86,15.99,12.78,3.67,0.77,0.15,0.08
95BB05,1318,282,485,218,211,86,32,3,1,2.58,21.40,36.80,16.54,16.01,6.53,2.43,0.23,0.08
95BB06,1518,680,520,178,94,37,8,1,0,1.89,44.80,34.26,11.73,6.19,2.44,0.53,0.07,0
95BB07,1315,431,485,185,154,43,13,3,1,2.20,32.78,36.88,14.07,11.71,3.27,0.99,0.23,0.08
95BB08,1068,279,350,201,170,55,9,1,3,2.46,26.12,32.77,18.82,15.92,5.15,0.84,0.09,0.28
95BB09,1253,340,467,213,183,38,11,0,1,2.32,27.13,37.27,17.00,14.60,3.03,0.88,0,0.08
