GeographyCode,KS212NI0001,KS212NI0002,KS212NI0003,KS212NI0004,KS212NI0005,KS212NI0006,KS212NI0007,KS212NI0008,KS212NI0009
95AA01,4444,1485,2284,47,628,33.42,51.40,1.06,14.13
95AA02,1734,570,1048,7,109,32.87,60.44,0.40,6.29
95AA03,1822,195,1422,15,190,10.70,78.05,0.82,10.43
95AA04,3013,832,1979,26,176,27.61,65.68,0.86,5.84
95AA05,2701,1683,900,12,106,62.31,33.32,0.44,3.92
95AA06,4647,3755,774,9,109,80.80,16.66,0.19,2.35
95AA07,2140,336,1680,17,107,15.70,78.50,0.79,5.00
95AA08,1698,757,761,14,166,44.58,44.82,0.82,9.78
95AA09,2220,491,1466,28,235,22.12,66.04,1.26,10.59
95AA10,1953,806,939,25,183,41.27,48.08,1.28,9.37
95AA11,5364,2085,2738,62,479,38.87,51.04,1.16,8.93
95AA12,2775,197,2395,23,160,7.10,86.31,0.83,5.77
95AA13,3307,2282,868,10,147,69.01,26.25,0.30,4.45
95AA14,2349,872,1373,13,91,37.12,58.45,0.55,3.87
95AA15,4186,1756,1878,106,446,41.95,44.86,2.53,10.65
95AA16,1807,344,1276,14,173,19.04,70.61,0.77,9.57
95AA17,2142,813,1067,27,235,37.96,49.81,1.26,10.97
95AA18,2439,341,1891,37,170,13.98,77.53,1.52,6.97
95AA19,2687,2410,231,6,40,89.69,8.60,0.22,1.49
95BB01,3609,405,2894,25,285,11.22,80.19,0.69,7.90
95BB02,2347,224,1881,33,209,9.54,80.14,1.41,8.90
95BB03,4219,233,3563,53,370,5.52,84.45,1.26,8.77
95BB04,3048,227,2538,24,259,7.45,83.27,0.79,8.50
95BB05,3401,111,2947,54,289,3.26,86.65,1.59,8.50
95BB06,2870,335,2173,61,301,11.67,75.71,2.13,10.49
95BB07,2953,118,2521,33,281,4.00,85.37,1.12,9.52
95BB08,2625,159,2203,35,228,6.06,83.92,1.33,8.69
95BB09,2943,130,2513,15,285,4.42,85.39,0.51,9.68
95BB10,3327,250,2726,44,307,7.51,81.94,1.32,9.23
95BB11,2955,140,2533,40,242,4.74,85.72,1.35,8.19
95BB12,2776,233,2146,55,342,8.39,77.31,1.98,12.32
95BB13,4444,311,3601,53,479,7.00,81.03,1.19,10.78
95BB14,3116,208,2607,30,271,6.68,83.66,0.96,8.70
95BB15,3489,2017,1252,23,197,57.81,35.88,0.66,5.65
95BB16,3136,175,2666,31,264,5.58,85.01,0.99,8.42
95BB17,3556,232,2815,26,483,6.52,79.16,0.73,13.58
95BB18,4279,198,3550,28,503,4.63,82.96,0.65,11.76
