GeographyCode,KS211NI0001,KS211NI0002,KS211NI0003,KS211NI0004,KS211NI0005,KS211NI0006,KS211NI0007,KS211NI0008,KS211NI0009,KS211NI0010,KS211NI0011,KS211NI0012,KS211NI0013,KS211NI0014,KS211NI0015,KS211NI0016,KS211NI0017
95CC05,2774,1701,205,380,66,116,17,109,180,61.32,7.39,13.70,2.38,4.18,0.61,3.93,6.49
95CC06,2776,1395,382,476,30,112,24,164,193,50.25,13.76,17.15,1.08,4.03,0.86,5.91,6.95
95CC07,3475,2597,256,100,7,94,6,68,347,74.73,7.37,2.88,0.20,2.71,0.17,1.96,9.99
95CC08,2565,2184,25,22,3,21,4,55,251,85.15,0.97,0.86,0.12,0.82,0.16,2.14,9.79
95CC09,3354,249,1140,1017,133,394,27,208,186,7.42,33.99,30.32,3.97,11.75,0.81,6.20,5.55
95CC10,2577,455,553,735,180,387,16,163,88,17.66,21.46,28.52,6.98,15.02,0.62,6.33,3.41
95CC11,1795,1488,27,6,1,9,0,44,220,82.90,1.50,0.33,0.06,0.50,0,2.45,12.26
95CC12,2785,1222,714,406,25,156,8,98,156,43.88,25.64,14.58,0.90,5.60,0.29,3.52,5.60
95CC13,2474,1212,480,407,32,123,15,87,118,48.99,19.40,16.45,1.29,4.97,0.61,3.52,4.77
95CC14,3035,262,690,1126,146,379,34,280,118,8.63,22.73,37.10,4.81,12.49,1.12,9.23,3.89
95CC15,2903,1067,306,775,177,261,14,158,145,36.76,10.54,26.70,6.10,8.99,0.48,5.44,4.99
95CC16,2820,374,1094,653,41,298,13,200,147,13.26,38.79,23.16,1.45,10.57,0.46,7.09,5.21
95CC17,2730,1771,327,261,12,110,19,80,150,64.87,11.98,9.56,0.44,4.03,0.70,2.93,5.49
95CC18,2342,1125,268,437,28,136,24,163,161,48.04,11.44,18.66,1.20,5.81,1.02,6.96,6.87
95CC19,2720,877,714,461,19,341,7,157,144,32.24,26.25,16.95,0.70,12.54,0.26,5.77,5.29
95CC20,3010,170,863,1009,256,296,19,262,135,5.65,28.67,33.52,8.50,9.83,0.63,8.70,4.49
95CC21,2925,333,685,1022,165,289,11,276,144,11.38,23.42,34.94,5.64,9.88,0.38,9.44,4.92
95CC22,1740,336,336,605,30,108,12,174,139,19.31,19.31,34.77,1.72,6.21,0.69,10.00,7.99
95DD01,2099,302,972,267,59,182,19,188,110,14.39,46.31,12.72,2.81,8.67,0.91,8.96,5.24
95DD02,3888,179,2007,582,70,504,27,337,182,4.60,51.62,14.97,1.80,12.96,0.69,8.67,4.68
95DD03,3503,501,1363,423,59,425,40,462,230,14.30,38.91,12.08,1.68,12.13,1.14,13.19,6.57
95DD04,1926,95,841,334,39,183,18,207,209,4.93,43.67,17.34,2.02,9.50,0.93,10.75,10.85
