GeographyCode,KS607NI0001,KS607NI0002,KS607NI0003,KS607NI0004,KS607NI0005,KS607NI0006,KS607NI0007,KS607NI0008,KS607NI0009,KS607NI0010,KS607NI0011,KS607NI0012,KS607NI0013,KS607NI0014,KS607NI0015,KS607NI0016,KS607NI0017,KS607NI0018,KS607NI0019,KS607NI0020,KS607NI0021,KS607NI0022,KS607NI0023,KS607NI0024,KS607NI0025,KS607NI0026,KS607NI0027,KS607NI0028,KS607NI0029,KS607NI0030,KS607NI0031,KS607NI0032,KS607NI0033,KS607NI0034,KS607NI0035,KS607NI0036,KS607NI0037
95AA01,980,16,0,63,3,5,22,140,24,48,22,47,7,43,45,77,151,223,44,1.63,0,6.43,0.31,0.51,2.24,14.29,2.45,4.90,2.24,4.80,0.71,4.39,4.59,7.86,15.41,22.76,4.49
95AA02,401,1,0,20,0,1,4,92,9,35,6,6,3,14,14,29,33,108,26,0.25,0,4.99,0,0.25,1.00,22.94,2.24,8.73,1.50,1.50,0.75,3.49,3.49,7.23,8.23,26.93,6.48
95AA03,384,1,0,22,0,0,7,76,18,37,5,6,1,9,21,20,27,118,16,0.26,0,5.73,0,0,1.82,19.79,4.69,9.64,1.30,1.56,0.26,2.34,5.47,5.21,7.03,30.73,4.17
95AA04,722,17,0,33,0,1,19,123,20,44,11,17,6,35,12,64,119,158,43,2.35,0,4.57,0,0.14,2.63,17.04,2.77,6.09,1.52,2.35,0.83,4.85,1.66,8.86,16.48,21.88,5.96
95AA05,619,3,0,27,3,2,12,99,17,26,10,16,7,21,12,60,88,198,18,0.48,0,4.36,0.48,0.32,1.94,15.99,2.75,4.20,1.62,2.58,1.13,3.39,1.94,9.69,14.22,31.99,2.91
95AA06,1062,4,0,54,3,0,10,207,33,53,21,37,12,47,29,98,130,273,51,0.38,0,5.08,0.28,0,0.94,19.49,3.11,4.99,1.98,3.48,1.13,4.43,2.73,9.23,12.24,25.71,4.80
95AA07,491,7,0,24,0,7,12,80,8,28,5,14,3,16,15,34,63,155,20,1.43,0,4.89,0,1.43,2.44,16.29,1.63,5.70,1.02,2.85,0.61,3.26,3.05,6.92,12.83,31.57,4.07
95AA08,365,1,0,33,0,0,2,68,12,30,3,7,2,7,18,20,26,119,17,0.27,0,9.04,0,0,0.55,18.63,3.29,8.22,0.82,1.92,0.55,1.92,4.93,5.48,7.12,32.60,4.66
95AA09,461,2,0,26,0,2,4,93,21,41,6,8,1,14,29,25,41,126,22,0.43,0,5.64,0,0.43,0.87,20.17,4.56,8.89,1.30,1.74,0.22,3.04,6.29,5.42,8.89,27.33,4.77
95AA10,406,0,0,23,0,1,7,68,14,40,5,7,5,8,8,24,50,126,20,0,0,5.67,0,0.25,1.72,16.75,3.45,9.85,1.23,1.72,1.23,1.97,1.97,5.91,12.32,31.03,4.93
