GeographyCode,KS604NI0001,KS604NI0002,KS604NI0003,KS604NI0004,KS604NI0005,KS604NI0006,KS604NI0007,KS604NI0008,KS604NI0009,KS604NI0010,KS604NI0011,KS604NI0012,KS604NI0013,KS604NI0014,KS604NI0015,KS604NI0016,KS604NI0017,KS604NI0018,KS604NI0019,KS604NI0020,KS604NI0021,KS604NI0022,KS604NI0023,KS604NI0024,KS604NI0025,KS604NI0026,KS604NI0027
95AA01,2343,167,376,1386,414,1363,45,92,869,357,980,122,284,517,57,7.13,16.05,59.15,17.67,3.30,6.75,63.76,26.19,12.45,28.98,52.76,5.82
95AA02,826,54,175,560,37,425,16,26,353,30,401,38,149,207,7,6.54,21.19,67.80,4.48,3.76,6.12,83.06,7.06,9.48,37.16,51.62,1.75
95AA03,775,62,168,497,48,391,24,35,296,36,384,38,133,201,12,8.00,21.68,64.13,6.19,6.14,8.95,75.70,9.21,9.90,34.64,52.34,3.13
95AA04,1570,152,305,871,242,848,38,78,534,198,722,114,227,337,44,9.68,19.43,55.48,15.41,4.48,9.20,62.97,23.35,15.79,31.44,46.68,6.09
95AA05,1276,84,226,837,129,657,23,37,484,113,619,61,189,353,16,6.58,17.71,65.60,10.11,3.50,5.63,73.67,17.20,9.85,30.53,57.03,2.58
95AA06,2093,166,507,1254,166,1031,53,96,740,142,1062,113,411,514,24,7.93,24.22,59.91,7.93,5.14,9.31,71.77,13.77,10.64,38.70,48.40,2.26
95AA07,1046,72,200,647,127,555,23,45,379,108,491,49,155,268,19,6.88,19.12,61.85,12.14,4.14,8.11,68.29,19.46,9.98,31.57,54.58,3.87
95AA08,700,41,187,436,36,335,8,44,253,30,365,33,143,183,6,5.86,26.71,62.29,5.14,2.39,13.13,75.52,8.96,9.04,39.18,50.14,1.64
95AA09,915,68,228,562,57,454,20,65,323,46,461,48,163,239,11,7.43,24.92,61.42,6.23,4.41,14.32,71.15,10.13,10.41,35.36,51.84,2.39
95AA10,807,85,165,503,54,401,29,42,290,40,406,56,123,213,14,10.53,20.45,62.33,6.69,7.23,10.47,72.32,9.98,13.79,30.30,52.46,3.45
95AA11,2800,176,487,1903,234,1459,64,116,1094,185,1341,112,371,809,49,6.29,17.39,67.96,8.36,4.39,7.95,74.98,12.68,8.35,27.67,60.33,3.65
95AA12,1459,115,287,834,223,794,34,63,510,187,665,81,224,324,36,7.88,19.67,57.16,15.28,4.28,7.93,64.23,23.55,12.18,33.68,48.72,5.41
95AA13,1573,99,285,1056,133,791,22,56,612,101,782,77,229,444,32,6.29,18.12,67.13,8.46,2.78,7.08,77.37,12.77,9.85,29.28,56.78,4.09
95AA14,1151,104,217,681,149,593,27,37,404,125,558,77,180,277,24,9.04,18.85,59.17,12.95,4.55,6.24,68.13,21.08,13.80,32.26,49.64,4.30
95AA15,2115,110,433,1425,147,1057,34,105,807,111,1058,76,328,618,36,5.20,20.47,67.38,6.95,3.22,9.93,76.35,10.50,7.18,31.00,58.41,3.40
95AA16,828,51,174,560,43,431,17,32,345,37,397,34,142,215,6,6.16,21.01,67.63,5.19,3.94,7.42,80.05,8.58,8.56,35.77,54.16,1.51
95AA17,1009,75,214,664,56,509,28,48,385,48,500,47,166,279,8,7.43,21.21,65.81,5.55,5.50,9.43,75.64,9.43,9.40,33.20,55.80,1.60
95AA18,1123,97,195,650,181,596,37,49,369,141,527,60,146,281,40,8.64,17.36,57.88,16.12,6.21,8.22,61.91,23.66,11.39,27.70,53.32,7.59
95AA19,1186,84,219,742,141,632,20,44,448,120,554,64,175,294,21,7.08,18.47,62.56,11.89,3.16,6.96,70.89,18.99,11.55,31.59,53.07,3.79
