GeographyCode,KS103NI0001,KS103NI0002,KS103NI0003,KS103NI0004,KS103NI0005,KS103NI0006,KS103NI0007,KS103NI0008,KS103NI0009,KS103NI0010,KS103NI0011,KS103NI0012,KS103NI0013
95AA01,3344,944,2052,2,104,108,134,28.23,61.36,0.06,3.11,3.23,4.01
95AA02,1468,513,620,0,75,109,151,34.95,42.23,0,5.11,7.43,10.29
95AA03,1436,515,568,0,93,136,124,35.86,39.55,0,6.48,9.47,8.64
95AA04,2373,722,1394,2,68,87,100,30.43,58.74,0.08,2.87,3.67,4.21
95AA05,2083,657,1164,0,51,83,128,31.54,55.88,0,2.45,3.98,6.14
95AA06,3346,1147,1712,3,170,129,185,34.28,51.17,0.09,5.08,3.86,5.53
95AA07,1714,537,929,0,62,96,90,31.33,54.20,0,3.62,5.60,5.25
95AA08,1347,533,503,1,82,138,90,39.57,37.34,0.07,6.09,10.24,6.68
95AA09,1772,623,746,1,100,147,155,35.16,42.10,0.06,5.64,8.30,8.75
95AA10,1551,555,733,0,72,97,94,35.78,47.26,0,4.64,6.25,6.06
95AA11,4152,1363,2175,11,152,201,250,32.83,52.38,0.26,3.66,4.84,6.02
95AA12,2162,564,1364,3,35,69,127,26.09,63.09,0.14,1.62,3.19,5.87
95AA13,2528,862,1251,0,108,158,149,34.10,49.49,0,4.27,6.25,5.89
95AA14,1852,526,1119,1,35,48,123,28.40,60.42,0.05,1.89,2.59,6.64
95AA15,3150,1176,1492,1,160,217,104,37.33,47.37,0.03,5.08,6.89,3.30
95AA16,1463,548,604,0,80,131,100,37.46,41.29,0,5.47,8.95,6.84
95AA17,1669,589,753,2,84,151,90,35.29,45.12,0.12,5.03,9.05,5.39
95AA18,2063,530,1230,2,51,88,162,25.69,59.62,0.10,2.47,4.27,7.85
95AA19,2006,766,1021,2,54,52,111,38.19,50.90,0.10,2.69,2.59,5.53
95BB01,2837,804,1676,2,80,134,141,28.34,59.08,0.07,2.82,4.72,4.97
95BB02,2020,642,860,2,97,184,235,31.78,42.57,0.10,4.80,9.11,11.63
95BB03,3402,916,1887,4,123,225,247,26.93,55.47,0.12,3.62,6.61,7.26
95BB04,2614,650,1538,2,62,161,201,24.87,58.84,0.08,2.37,6.16,7.69
95BB05,2759,721,1673,2,71,137,155,26.13,60.64,0.07,2.57,4.97,5.62
95BB06,2484,940,876,8,130,255,275,37.84,35.27,0.32,5.23,10.27,11.07
95BB07,2445,746,1145,0,104,198,252,30.51,46.83,0,4.25,8.10,10.31
95BB08,2102,577,1153,0,67,157,148,27.45,54.85,0,3.19,7.47,7.04
