GeographyCode,KS302NI0001,KS302NI0002,KS302NI0003,KS302NI0004,KS302NI0005,KS302NI0006,KS302NI0007,KS302NI0008,KS302NI0009,KS302NI0010,KS302NI0011,KS302NI0012,KS302NI0013,KS302NI0014,KS302NI0015,KS302NI0016,KS302NI0017,KS302NI0018,KS302NI0019,KS302NI0020,KS302NI0021,KS302NI0022,KS302NI0023,KS302NI0024,KS302NI0025
95AA01,4444,137,38,49,265,83,123,277,251,38,185,170,3472,3.08,0.86,1.10,5.96,1.87,2.77,6.23,5.65,0.86,4.16,3.83,78.13
95AA02,1734,121,37,33,290,27,120,256,185,37,124,117,1064,6.98,2.13,1.90,16.72,1.56,6.92,14.76,10.67,2.13,7.15,6.75,61.36
95AA03,1822,105,34,25,255,62,143,271,220,37,152,105,1103,5.76,1.87,1.37,14.00,3.40,7.85,14.87,12.07,2.03,8.34,5.76,60.54
95AA04,3013,127,30,28,228,46,94,228,203,27,159,132,2259,4.22,1.00,0.93,7.57,1.53,3.12,7.57,6.74,0.90,5.28,4.38,74.98
95AA05,2701,144,44,40,255,41,118,223,185,52,154,151,1917,5.33,1.63,1.48,9.44,1.52,4.37,8.26,6.85,1.93,5.70,5.59,70.97
95AA06,4647,187,53,72,467,120,231,383,434,58,246,246,3285,4.02,1.14,1.55,10.05,2.58,4.97,8.24,9.34,1.25,5.29,5.29,70.69
95AA07,2140,98,26,42,239,59,109,207,160,31,145,106,1471,4.58,1.21,1.96,11.17,2.76,5.09,9.67,7.48,1.45,6.78,4.95,68.74
95AA08,1698,76,29,26,236,64,144,221,198,42,126,101,1071,4.48,1.71,1.53,13.90,3.77,8.48,13.02,11.66,2.47,7.42,5.95,63.07
95AA09,2220,148,33,67,310,57,140,263,210,84,159,100,1426,6.67,1.49,3.02,13.96,2.57,6.31,11.85,9.46,3.78,7.16,4.50,64.23
95AA10,1953,114,44,40,256,64,129,235,176,31,155,130,1227,5.84,2.25,2.05,13.11,3.28,6.61,12.03,9.01,1.59,7.94,6.66,62.83
95AA11,5364,226,70,75,466,114,255,425,389,129,303,232,3872,4.21,1.30,1.40,8.69,2.13,4.75,7.92,7.25,2.40,5.65,4.33,72.18
95AA12,2775,137,33,13,209,24,76,192,187,18,127,121,2068,4.94,1.19,0.47,7.53,0.86,2.74,6.92,6.74,0.65,4.58,4.36,74.52
95AA13,3307,140,32,57,332,78,160,252,235,49,218,152,2414,4.23,0.97,1.72,10.04,2.36,4.84,7.62,7.11,1.48,6.59,4.60,73.00
95AA14,2349,116,27,37,204,48,73,198,164,23,123,132,1696,4.94,1.15,1.58,8.68,2.04,3.11,8.43,6.98,0.98,5.24,5.62,72.20
95AA15,4186,128,50,61,335,78,289,322,311,77,242,193,3046,3.06,1.19,1.46,8.00,1.86,6.90,7.69,7.43,1.84,5.78,4.61,72.77
95AA16,1807,98,30,35,274,32,132,241,191,35,135,114,1161,5.42,1.66,1.94,15.16,1.77,7.30,13.34,10.57,1.94,7.47,6.31,64.25
95AA17,2142,102,36,33,229,50,143,242,209,34,155,115,1479,4.76,1.68,1.54,10.69,2.33,6.68,11.30,9.76,1.59,7.24,5.37,69.05
95AA18,2439,194,57,48,255,58,82,197,207,52,169,121,1680,7.95,2.34,1.97,10.46,2.38,3.36,8.08,8.49,2.13,6.93,4.96,68.88
95AA19,2687,105,35,61,245,86,89,175,173,15,148,127,1986,3.91,1.30,2.27,9.12,3.20,3.31,6.51,6.44,0.56,5.51,4.73,73.91
95BB01,3609,201,57,42,313,68,138,284,260,43,223,179,2598,5.57,1.58,1.16,8.67,1.88,3.82,7.87,7.20,1.19,6.18,4.96,71.99
95BB02,2347,184,69,46,395,44,201,381,296,72,250,145,1358,7.84,2.94,1.96,16.83,1.87,8.56,16.23,12.61,3.07,10.65,6.18,57.86
95BB03,4219,263,84,61,579,84,267,536,479,80,327,245,2655,6.23,1.99,1.45,13.72,1.99,6.33,12.70,11.35,1.90,7.75,5.81,62.93
95BB04,3048,261,74,50,396,58,128,371,237,52,277,179,1937,8.56,2.43,1.64,12.99,1.90,4.20,12.17,7.78,1.71,9.09,5.87,63.55
95BB05,3401,196,52,40,372,53,167,361,303,45,252,194,2291,5.76,1.53,1.18,10.94,1.56,4.91,10.61,8.91,1.32,7.41,5.70,67.36
95BB06,2870,221,93,46,526,75,244,466,362,83,287,174,1669,7.70,3.24,1.60,18.33,2.61,8.50,16.24,12.61,2.89,10.00,6.06,58.15
95BB07,2953,243,68,52,445,52,167,409,311,77,239,141,1861,8.23,2.30,1.76,15.07,1.76,5.66,13.85,10.53,2.61,8.09,4.77,63.02
95BB08,2625,169,49,22,357,34,146,337,267,46,198,140,1696,6.44,1.87,0.84,13.60,1.30,5.56,12.84,10.17,1.75,7.54,5.33,64.61
95BB09,2943,188,51,31,244,31,88,260,202,52,208,144,2062,6.39,1.73,1.05,8.29,1.05,2.99,8.83,6.86,1.77,7.07,4.89,70.06
95BB10,3327,253,104,40,413,57,156,384,270,81,237,192,2157,7.60,3.13,1.20,12.41,1.71,4.69,11.54,8.12,2.43,7.12,5.77,64.83
95BB11,2955,196,77,58,493,81,188,425,346,98,269,191,1757,6.63,2.61,1.96,16.68,2.74,6.36,14.38,11.71,3.32,9.10,6.46,59.46
95BB12,2776,166,37,35,284,64,152,294,265,55,188,152,1856,5.98,1.33,1.26,10.23,2.31,5.48,10.59,9.55,1.98,6.77,5.48,66.86
95BB13,4444,233,53,49,431,70,237,446,388,55,339,212,3080,5.24,1.19,1.10,9.70,1.58,5.33,10.04,8.73,1.24,7.63,4.77,69.31
95BB14,3116,195,53,43,311,42,88,255,205,45,207,131,2203,6.26,1.70,1.38,9.98,1.35,2.82,8.18,6.58,1.44,6.64,4.20,70.70
95BB15,3489,161,48,36,397,55,156,359,309,42,206,147,2438,4.61,1.38,1.03,11.38,1.58,4.47,10.29,8.86,1.20,5.90,4.21,69.88
95BB16,3136,210,48,37,293,46,94,279,219,31,212,147,2229,6.70,1.53,1.18,9.34,1.47,3.00,8.90,6.98,0.99,6.76,4.69,71.08
95BB17,3556,217,55,44,386,75,198,356,317,55,209,174,2431,6.10,1.55,1.24,10.85,2.11,5.57,10.01,8.91,1.55,5.88,4.89,68.36
95BB18,4279,261,80,67,568,78,204,478,384,118,297,220,2888,6.10,1.87,1.57,13.27,1.82,4.77,11.17,8.97,2.76,6.94,5.14,67.49
95BB19,4788,277,62,61,420,92,207,400,386,81,295,205,3404,5.79,1.29,1.27,8.77,1.92,4.32,8.35,8.06,1.69,6.16,4.28,71.09
95BB20,3413,190,65,48,529,68,213,448,349,87,240,170,2193,5.57,1.90,1.41,15.50,1.99,6.24,13.13,10.23,2.55,7.03,4.98,64.25
95BB21,4719,263,75,76,644,106,251,586,411,93,361,268,3098,5.57,1.59,1.61,13.65,2.25,5.32,12.42,8.71,1.97,7.65,5.68,65.65
95BB22,3040,138,60,58,365,79,225,319,295,74,196,168,2060,4.54,1.97,1.91,12.01,2.60,7.40,10.49,9.70,2.43,6.45,5.53,67.76
95BB23,3025,199,41,60,320,72,141,295,223,64,217,174,2072,6.58,1.36,1.98,10.58,2.38,4.66,9.75,7.37,2.12,7.17,5.75,68.50
95CC01,2558,80,52,106,332,126,201,237,200,118,156,117,1704,3.13,2.03,4.14,12.98,4.93,7.86,9.27,7.82,4.61,6.10,4.57,66.61
95CC02,2725,102,36,40,254,44,130,211,154,33,158,95,2039,3.74,1.32,1.47,9.32,1.61,4.77,7.74,5.65,1.21,5.80,3.49,74.83
95CC03,2817,105,53,50,354,73,236,263,247,46,172,151,1927,3.73,1.88,1.77,12.57,2.59,8.38,9.34,8.77,1.63,6.11,5.36,68.41
95CC04,2440,120,67,53,260,48,104,232,156,57,142,99,1788,4.92,2.75,2.17,10.66,1.97,4.26,9.51,6.39,2.34,5.82,4.06,73.28
95CC05,2774,146,46,40,311,41,101,266,186,54,179,130,1982,5.26,1.66,1.44,11.21,1.48,3.64,9.59,6.71,1.95,6.45,4.69,71.45
95CC06,2776,132,31,36,268,56,125,233,189,45,146,111,1994,4.76,1.12,1.30,9.65,2.02,4.50,8.39,6.81,1.62,5.26,4.00,71.83
95CC07,3475,102,42,45,277,65,117,235,226,26,145,146,2673,2.94,1.21,1.29,7.97,1.87,3.37,6.76,6.50,0.75,4.17,4.20,76.92
95CC08,2565,121,54,60,357,51,159,282,221,72,191,147,1724,4.72,2.11,2.34,13.92,1.99,6.20,10.99,8.62,2.81,7.45,5.73,67.21
95CC09,3354,182,27,30,264,55,92,226,189,23,143,129,2535,5.43,0.81,0.89,7.87,1.64,2.74,6.74,5.64,0.69,4.26,3.85,75.58
95CC10,2577,156,57,51,290,50,107,246,150,65,204,151,1825,6.05,2.21,1.98,11.25,1.94,4.15,9.55,5.82,2.52,7.92,5.86,70.82
95CC11,1795,117,50,36,253,48,109,193,174,36,108,80,1191,6.52,2.79,2.01,14.09,2.67,6.07,10.75,9.69,2.01,6.02,4.46,66.35
95CC12,2785,130,36,37,262,43,93,238,201,56,126,134,2038,4.67,1.29,1.33,9.41,1.54,3.34,8.55,7.22,2.01,4.52,4.81,73.18
