ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"KS205NI0001","Count","PERSONS","All usual residents"
"KS205NI0002","Count","PERSONS","Passports held: No passport"
"KS205NI0003","Count","PERSONS","Passports held: United Kingdom"
"KS205NI0004","Count","PERSONS","Passports held: Ireland"
"KS205NI0005","Count","PERSONS","Passports held: Other Europe: EU countries"
"KS205NI0006","Count","PERSONS","Passports held: Other Europe: Non EU countries"
"KS205NI0007","Count","PERSONS","Passports held: Africa"
"KS205NI0008","Count","PERSONS","Passports held: Middle East and Asia"
"KS205NI0009","Count","PERSONS","Passports held: North America and the Caribbean"
"KS205NI0010","Count","PERSONS","Passports held: Central America"
"KS205NI0011","Count","PERSONS","Passports held: South America"
"KS205NI0012","Count","PERSONS","Passports held: Antarctica and Oceania"
"KS205NI0013","Percentage","PERSONS","Passports held: No passport"
"KS205NI0014","Percentage","PERSONS","Passports held: United Kingdom"
"KS205NI0015","Percentage","PERSONS","Passports held: Ireland"
"KS205NI0016","Percentage","PERSONS","Passports held: Other Europe: EU countries"
"KS205NI0017","Percentage","PERSONS","Passports held: Other Europe: Non EU countries"
"KS205NI0018","Percentage","PERSONS","Passports held: Africa"
"KS205NI0019","Percentage","PERSONS","Passports held: Middle East and Asia"
"KS205NI0020","Percentage","PERSONS","Passports held: North America and the Caribbean"
"KS205NI0021","Percentage","PERSONS","Passports held: Central America"
"KS205NI0022","Percentage","PERSONS","Passports held: South America"
"KS205NI0023","Percentage","PERSONS","Passports held: Antarctica and Oceania"
