GeographyCode,KS501NI0001,KS501NI0002,KS501NI0003,KS501NI0004,KS501NI0005,KS501NI0006,KS501NI0007,KS501NI0008,KS501NI0009,KS501NI0010,KS501NI0011,KS501NI0012,KS501NI0013,KS501NI0014,KS501NI0015,KS501NI0016,KS501NI0017,KS501NI0018,KS501NI0019,KS501NI0020,KS501NI0021,KS501NI0022,KS501NI0023
95BB23,2531,501,310,460,149,318,681,112,69,116,52,9,55,19.79,12.25,18.17,5.89,12.56,26.91,4.43,44.83,7.76,47.41
95CC01,2046,750,211,289,72,222,381,121,62,112,41,11,60,36.66,10.31,14.13,3.52,10.85,18.62,5.91,36.61,9.82,53.57
95CC02,2140,634,226,344,104,261,496,75,93,119,44,7,68,29.63,10.56,16.07,4.86,12.20,23.18,3.50,36.97,5.88,57.14
95CC03,2141,773,273,287,76,208,321,203,76,96,33,5,58,36.10,12.75,13.40,3.55,9.72,14.99,9.48,34.38,5.21,60.42
95CC04,1879,659,230,230,94,222,348,96,81,105,40,4,61,35.07,12.24,12.24,5.00,11.81,18.52,5.11,38.10,3.81,58.10
95CC05,2112,662,210,325,93,268,434,120,96,93,31,11,51,31.34,9.94,15.39,4.40,12.69,20.55,5.68,33.33,11.83,54.84
95CC06,2186,489,251,356,90,256,637,107,66,91,23,8,60,22.37,11.48,16.29,4.12,11.71,29.14,4.89,25.27,8.79,65.93
95CC07,2554,779,275,391,138,344,519,108,125,132,35,6,91,30.50,10.77,15.31,5.40,13.47,20.32,4.23,26.52,4.55,68.94
95CC08,1988,679,257,284,61,206,395,106,69,106,22,11,73,34.15,12.93,14.29,3.07,10.36,19.87,5.33,20.75,10.38,68.87
95CC09,2630,627,278,419,150,374,661,121,94,102,37,3,62,23.84,10.57,15.93,5.70,14.22,25.13,4.60,36.27,2.94,60.78
95CC10,2101,562,202,333,103,216,603,82,73,96,42,5,49,26.75,9.61,15.85,4.90,10.28,28.70,3.90,43.75,5.21,51.04
95CC11,1482,597,142,218,54,141,231,99,45,53,11,5,37,40.28,9.58,14.71,3.64,9.51,15.59,6.68,20.75,9.43,69.81
95CC12,2119,664,228,356,102,262,423,84,87,119,43,5,71,31.34,10.76,16.80,4.81,12.36,19.96,3.96,36.13,4.20,59.66
95CC13,1923,577,227,323,79,231,422,64,79,98,40,3,55,30.01,11.80,16.80,4.11,12.01,21.94,3.33,40.82,3.06,56.12
95CC14,2328,659,281,384,98,311,508,87,64,87,37,5,45,28.31,12.07,16.49,4.21,13.36,21.82,3.74,42.53,5.75,51.72
95CC15,2228,673,254,340,102,234,544,81,101,96,31,4,61,30.21,11.40,15.26,4.58,10.50,24.42,3.64,32.29,4.17,63.54
95CC16,2155,779,246,318,80,258,385,89,76,101,49,3,49,36.15,11.42,14.76,3.71,11.97,17.87,4.13,48.51,2.97,48.51
95CC17,2117,595,217,334,100,258,532,81,95,107,40,10,57,28.11,10.25,15.78,4.72,12.19,25.13,3.83,37.38,9.35,53.27
95CC18,1899,474,164,275,51,198,614,123,60,86,23,2,61,24.96,8.64,14.48,2.69,10.43,32.33,6.48,26.74,2.33,70.93
95CC19,2070,602,224,325,97,233,510,79,81,83,33,3,47,29.08,10.82,15.70,4.69,11.26,24.64,3.82,39.76,3.61,56.63
95CC20,2342,581,280,395,107,286,556,137,85,79,28,3,48,24.81,11.96,16.87,4.57,12.21,23.74,5.85,35.44,3.80,60.76
95CC21,2289,689,294,344,89,270,486,117,51,94,43,3,48,30.10,12.84,15.03,3.89,11.80,21.23,5.11,45.74,3.19,51.06
95CC22,1466,517,169,202,37,152,261,128,39,59,22,3,34,35.27,11.53,13.78,2.52,10.37,17.80,8.73,37.29,5.08,57.63
95DD01,1765,500,143,252,62,175,538,95,55,48,21,1,26,28.33,8.10,14.28,3.51,9.92,30.48,5.38,43.75,2.08,54.17
95DD02,3041,853,377,489,167,401,632,122,94,110,43,9,58,28.05,12.40,16.08,5.49,13.19,20.78,4.01,39.09,8.18,52.73
95DD03,2779,583,251,426,108,341,921,149,73,99,43,11,45,20.98,9.03,15.33,3.89,12.27,33.14,5.36,43.43,11.11,45.45
95DD04,1512,752,209,221,41,139,101,49,48,53,22,12,19,49.74,13.82,14.62,2.71,9.19,6.68,3.24,41.51,22.64,35.85
95DD05,1330,599,188,214,39,132,105,53,39,60,27,4,29,45.04,14.14,16.09,2.93,9.92,7.89,3.98,45.00,6.67,48.33
95DD06,2216,618,189,342,86,250,587,144,64,82,38,2,42,27.89,8.53,15.43,3.88,11.28,26.49,6.50,46.34,2.44,51.22
95DD07,2710,897,278,380,125,303,615,112,74,86,35,6,45,33.10,10.26,14.02,4.61,11.18,22.69,4.13,40.70,6.98,52.33
95DD08,1842,766,244,204,69,119,235,205,33,58,20,9,29,41.59,13.25,11.07,3.75,6.46,12.76,11.13,34.48,15.52,50.00
95DD09,2059,619,189,302,104,264,517,64,64,86,31,4,51,30.06,9.18,14.67,5.05,12.82,25.11,3.11,36.05,4.65,59.30
95DD10,2297,833,274,323,114,286,376,91,56,84,46,5,33,36.26,11.93,14.06,4.96,12.45,16.37,3.96,54.76,5.95,39.29
95DD11,1718,613,253,221,67,169,250,145,58,66,27,2,37,35.68,14.73,12.86,3.90,9.84,14.55,8.44,40.91,3.03,56.06
95DD12,2069,648,204,318,129,246,453,71,81,88,35,10,43,31.32,9.86,15.37,6.23,11.89,21.89,3.43,39.77,11.36,48.86
95DD13,1435,536,150,196,48,132,272,101,41,32,10,3,19,37.35,10.45,13.66,3.34,9.20,18.95,7.04,31.25,9.38,59.38
95DD14,2600,604,255,405,117,332,824,63,98,99,40,8,51,23.23,9.81,15.58,4.50,12.77,31.69,2.42,40.40,8.08,51.52
95DD15,2606,657,284,396,130,366,681,92,98,100,35,5,60,25.21,10.90,15.20,4.99,14.04,26.13,3.53,35.00,5.00,60.00
95DD16,2368,624,263,370,129,307,579,96,74,91,37,4,50,26.35,11.11,15.63,5.45,12.96,24.45,4.05,40.66,4.40,54.95
95DD17,2658,727,239,411,141,317,748,75,105,135,49,11,75,27.35,8.99,15.46,5.30,11.93,28.14,2.82,36.30,8.15,55.56
95DD18,1635,698,166,187,76,166,254,88,24,40,22,2,16,42.69,10.15,11.44,4.65,10.15,15.54,5.38,55.00,5.00,40.00
95DD19,2661,794,315,431,142,331,548,100,87,99,46,6,47,29.84,11.84,16.20,5.34,12.44,20.59,3.76,46.46,6.06,47.47
95DD20,1442,678,213,224,57,116,107,47,27,40,16,6,18,47.02,14.77,15.53,3.95,8.04,7.42,3.26,40.00,15.00,45.00
95DD21,1744,501,206,284,71,183,354,145,50,63,33,4,26,28.73,11.81,16.28,4.07,10.49,20.30,8.31,52.38,6.35,41.27
95DD22,2519,860,213,380,122,318,547,79,93,107,32,2,73,34.14,8.46,15.09,4.84,12.62,21.71,3.14,29.91,1.87,68.22
95DD23,2027,608,193,292,117,258,493,66,69,83,42,1,40,30.00,9.52,14.41,5.77,12.73,24.32,3.26,50.60,1.20,48.19
95DD24,2152,548,244,327,96,263,526,148,81,89,40,6,43,25.46,11.34,15.20,4.46,12.22,24.44,6.88,44.94,6.74,48.31
95EE01,1421,443,160,251,92,188,241,46,61,76,9,7,60,31.18,11.26,17.66,6.47,13.23,16.96,3.24,11.84,9.21,78.95
95EE02,1644,552,193,252,66,193,341,47,47,62,28,5,29,33.58,11.74,15.33,4.01,11.74,20.74,2.86,45.16,8.06,46.77
95EE03,1605,549,208,246,66,169,292,75,49,61,21,4,36,34.21,12.96,15.33,4.11,10.53,18.19,4.67,34.43,6.56,59.02
95EE04,1602,564,174,260,82,199,274,49,56,77,20,3,54,35.21,10.86,16.23,5.12,12.42,17.10,3.06,25.97,3.90,70.13
95EE05,1243,421,145,193,52,144,245,43,36,55,12,4,39,33.87,11.67,15.53,4.18,11.58,19.71,3.46,21.82,7.27,70.91
95EE06,1700,527,195,283,101,227,294,73,81,118,19,8,91,31.00,11.47,16.65,5.94,13.35,17.29,4.29,16.10,6.78,77.12
95EE07,1407,536,198,240,61,152,171,49,42,49,11,0,38,38.10,14.07,17.06,4.34,10.80,12.15,3.48,22.45,0,77.55
95EE08,1457,468,145,203,61,160,357,63,34,55,12,5,38,32.12,9.95,13.93,4.19,10.98,24.50,4.32,21.82,9.09,69.09
95EE09,1500,494,159,256,80,161,288,62,68,75,20,0,55,32.93,10.60,17.07,5.33,10.73,19.20,4.13,26.67,0,73.33
95EE10,1388,483,145,213,75,163,239,70,37,63,19,2,42,34.80,10.45,15.35,5.40,11.74,17.22,5.04,30.16,3.17,66.67
95EE11,1339,420,138,207,64,157,288,65,51,62,20,1,41,31.37,10.31,15.46,4.78,11.73,21.51,4.85,32.26,1.61,66.13
95EE12,1968,705,302,318,82,224,272,65,68,90,33,10,47,35.82,15.35,16.16,4.17,11.38,13.82,3.30,36.67,11.11,52.22
95EE13,1280,506,126,195,44,123,234,52,34,43,14,1,28,39.53,9.84,15.23,3.44,9.61,18.28,4.06,32.56,2.33,65.12
95EE14,2083,614,254,352,93,277,442,51,66,92,27,4,61,29.48,12.19,16.90,4.46,13.30,21.22,2.45,29.35,4.35,66.30
95EE15,1357,458,165,221,63,160,245,45,45,62,13,1,48,33.75,12.16,16.29,4.64,11.79,18.05,3.32,20.97,1.61,77.42
