GeographyCode,KS404NI0001,KS404NI0002,KS404NI0003,KS404NI0004,KS404NI0005,KS404NI0006,KS404NI0007,KS404NI0008,KS404NI0009,KS404NI0010,KS404NI0011,KS404NI0012,KS404NI0013,KS404NI0014,KS404NI0015
95AA01,1522,14,96,13,1105,21,7,266,0.92,6.31,0.85,72.60,1.38,0.46,17.48
95AA02,839,2,64,65,541,84,3,80,0.24,7.63,7.75,64.48,10.01,0.36,9.54
95AA03,845,1,179,28,528,34,2,73,0.12,21.18,3.31,62.49,4.02,0.24,8.64
95AA04,1014,13,25,4,744,32,8,188,1.28,2.47,0.39,73.37,3.16,0.79,18.54
95AA05,920,5,25,3,642,24,6,215,0.54,2.72,0.33,69.78,2.61,0.65,23.37
95AA06,1570,8,17,47,1217,29,10,242,0.51,1.08,2.99,77.52,1.85,0.64,15.41
95AA07,820,6,5,4,605,31,4,165,0.73,0.61,0.49,73.78,3.78,0.49,20.12
95AA08,699,1,44,15,548,39,1,51,0.14,6.29,2.15,78.40,5.58,0.14,7.30
95AA09,943,1,266,15,565,28,1,67,0.11,28.21,1.59,59.92,2.97,0.11,7.10
95AA10,792,3,175,13,478,21,1,101,0.38,22.10,1.64,60.35,2.65,0.13,12.75
95AA11,1993,7,158,27,1494,38,5,264,0.35,7.93,1.35,74.96,1.91,0.25,13.25
95AA12,971,8,20,9,702,29,10,193,0.82,2.06,0.93,72.30,2.99,1.03,19.88
95AA13,1239,3,37,46,871,13,12,257,0.24,2.99,3.71,70.30,1.05,0.97,20.74
95AA14,779,7,13,2,505,25,6,221,0.90,1.67,0.26,64.83,3.21,0.77,28.37
95AA15,1595,3,239,71,1058,32,4,188,0.19,14.98,4.45,66.33,2.01,0.25,11.79
95AA16,832,0,134,23,595,36,4,40,0,16.11,2.76,71.51,4.33,0.48,4.81
95AA17,855,1,7,46,693,26,1,81,0.12,0.82,5.38,81.05,3.04,0.12,9.47
95AA18,1004,3,69,17,776,14,3,122,0.30,6.87,1.69,77.29,1.39,0.30,12.15
95AA19,832,3,11,6,608,15,4,185,0.36,1.32,0.72,73.08,1.80,0.48,22.24
95BB01,1307,5,59,11,1027,28,2,175,0.38,4.51,0.84,78.58,2.14,0.15,13.39
95BB02,1126,9,373,72,549,36,5,82,0.80,33.13,6.39,48.76,3.20,0.44,7.28
95BB03,1776,22,114,37,1306,86,11,200,1.24,6.42,2.08,73.54,4.84,0.62,11.26
95BB04,1307,9,296,20,851,20,2,109,0.69,22.65,1.53,65.11,1.53,0.15,8.34
95BB05,1318,10,19,14,1026,29,8,212,0.76,1.44,1.06,77.85,2.20,0.61,16.08
95BB06,1518,17,623,148,604,34,9,83,1.12,41.04,9.75,39.79,2.24,0.59,5.47
95BB07,1315,7,227,111,823,35,2,110,0.53,17.26,8.44,62.59,2.66,0.15,8.37
95BB08,1068,0,85,59,833,23,2,66,0,7.96,5.52,78.00,2.15,0.19,6.18
95BB09,1253,2,216,20,863,26,1,125,0.16,17.24,1.60,68.87,2.08,0.08,9.98
95BB10,1509,13,444,70,789,46,9,138,0.86,29.42,4.64,52.29,3.05,0.60,9.15
95BB11,1338,5,362,54,764,21,3,129,0.37,27.06,4.04,57.10,1.57,0.22,9.64
