GeographyCode,KS208NI0001,KS208NI0002,KS208NI0003,KS208NI0004,KS208NI0005,KS208NI0006,KS208NI0007,KS208NI0008,KS208NI0009
95AA01,1522,1474,20,0,28,96.85,1.31,0,1.84
95AA02,839,807,9,0,23,96.19,1.07,0,2.74
95AA03,845,823,8,0,14,97.40,0.95,0,1.66
95AA04,1014,1006,6,0,2,99.21,0.59,0,0.20
95AA05,920,899,8,0,13,97.72,0.87,0,1.41
95AA06,1570,1534,18,1,17,97.71,1.15,0.06,1.08
95AA07,820,798,7,0,15,97.32,0.85,0,1.83
95AA08,699,667,8,1,23,95.42,1.14,0.14,3.29
95AA09,943,899,15,7,22,95.33,1.59,0.74,2.33
95AA10,792,764,11,1,16,96.46,1.39,0.13,2.02
95AA11,1993,1862,30,6,95,93.43,1.51,0.30,4.77
95AA12,971,970,0,1,0,99.90,0,0.10,0
95AA13,1239,1179,10,1,49,95.16,0.81,0.08,3.95
95AA14,779,775,2,0,2,99.49,0.26,0,0.26
95AA15,1595,1441,23,13,118,90.34,1.44,0.82,7.40
95AA16,832,773,12,4,43,92.91,1.44,0.48,5.17
95AA17,855,825,8,4,18,96.49,0.94,0.47,2.11
95AA18,1004,983,12,1,8,97.91,1.20,0.10,0.80
95AA19,832,817,6,2,7,98.20,0.72,0.24,0.84
95BB01,1307,1290,11,1,5,98.70,0.84,0.08,0.38
95BB02,1126,1106,8,1,11,98.22,0.71,0.09,0.98
95BB03,1776,1756,11,2,7,98.87,0.62,0.11,0.39
95BB04,1307,1288,7,3,9,98.55,0.54,0.23,0.69
95BB05,1318,1306,7,1,4,99.09,0.53,0.08,0.30
95BB06,1518,1469,14,3,32,96.77,0.92,0.20,2.11
95BB07,1315,1285,14,3,13,97.72,1.06,0.23,0.99
95BB08,1068,1047,11,0,10,98.03,1.03,0,0.94
95BB09,1253,1234,10,2,7,98.48,0.80,0.16,0.56
95BB10,1509,1485,8,1,15,98.41,0.53,0.07,0.99
95BB11,1338,1323,9,2,4,98.88,0.67,0.15,0.30
95BB12,1130,1107,12,1,10,97.96,1.06,0.09,0.88
95BB13,1687,1656,15,0,16,98.16,0.89,0,0.95
95BB14,1172,1157,6,0,9,98.72,0.51,0,0.77
95BB15,1287,1269,7,1,10,98.60,0.54,0.08,0.78
95BB16,1176,1170,3,1,2,99.49,0.26,0.09,0.17
95BB17,1399,1379,13,1,6,98.57,0.93,0.07,0.43
95BB18,1638,1620,14,1,3,98.90,0.85,0.06,0.18
95BB19,1724,1694,14,2,14,98.26,0.81,0.12,0.81
95BB20,1290,1273,8,3,6,98.68,0.62,0.23,0.47
95BB21,1821,1789,11,3,18,98.24,0.60,0.16,0.99
95BB22,1194,1171,14,1,8,98.07,1.17,0.08,0.67
95BB23,1161,1131,12,2,16,97.42,1.03,0.17,1.38
95CC01,904,828,17,5,54,91.59,1.88,0.55,5.97
95CC02,875,848,16,2,9,96.91,1.83,0.23,1.03
95CC03,1127,982,26,13,106,87.13,2.31,1.15,9.41
95CC04,790,771,8,0,11,97.59,1.01,0,1.39
95CC05,954,906,13,4,31,94.97,1.36,0.42,3.25
95CC06,1096,1049,16,1,30,95.71,1.46,0.09,2.74
95CC07,1108,1093,4,0,11,98.65,0.36,0,0.99
95CC08,990,935,11,5,39,94.44,1.11,0.51,3.94
95CC09,1190,1161,11,1,17,97.56,0.92,0.08,1.43
95CC10,901,880,11,0,10,97.67,1.22,0,1.11
95CC11,786,744,6,2,34,94.66,0.76,0.25,4.33
95CC12,890,874,11,0,5,98.20,1.24,0,0.56
95CC13,817,800,12,1,4,97.92,1.47,0.12,0.49
95CC14,1132,1116,7,1,8,98.59,0.62,0.09,0.71
95CC15,1007,976,6,2,23,96.92,0.60,0.20,2.28
95CC16,1076,1037,11,1,27,96.38,1.02,0.09,2.51
95CC17,897,874,12,0,11,97.44,1.34,0,1.23
95CC18,937,858,15,7,57,91.57,1.60,0.75,6.08
95CC19,981,956,14,2,9,97.45,1.43,0.20,0.92
95CC20,1127,1067,16,4,40,94.68,1.42,0.35,3.55
95CC21,1167,1143,6,0,18,97.94,0.51,0,1.54
95CC22,842,766,13,2,61,90.97,1.54,0.24,7.24
95DD01,836,793,11,2,30,94.86,1.32,0.24,3.59
95DD02,1490,1470,9,4,7,98.66,0.60,0.27,0.47
95DD03,1389,1301,24,6,58,93.66,1.73,0.43,4.18
95DD04,859,851,5,1,2,99.07,0.58,0.12,0.23
95DD05,685,677,4,0,4,98.83,0.58,0,0.58
95DD06,944,907,8,2,27,96.08,0.85,0.21,2.86
95DD07,1412,1403,3,0,6,99.36,0.21,0,0.42
95DD08,1041,890,12,4,135,85.49,1.15,0.38,12.97
95DD09,929,915,9,0,5,98.49,0.97,0,0.54
95DD10,1180,1154,9,2,15,97.80,0.76,0.17,1.27
95DD11,955,862,16,4,73,90.26,1.68,0.42,7.64
95DD12,890,886,2,0,2,99.55,0.22,0,0.22
95DD13,741,676,9,3,53,91.23,1.21,0.40,7.15
95DD14,1233,1212,10,1,10,98.30,0.81,0.08,0.81
95DD15,1174,1165,4,0,5,99.23,0.34,0,0.43
95DD16,1019,1003,8,1,7,98.43,0.79,0.10,0.69
95DD17,1148,1137,10,0,1,99.04,0.87,0,0.09
95DD18,873,828,13,1,31,94.85,1.49,0.11,3.55
95DD19,1275,1256,9,1,9,98.51,0.71,0.08,0.71
95DD20,826,809,6,0,11,97.94,0.73,0,1.33
95DD21,891,803,15,4,69,90.12,1.68,0.45,7.74
95DD22,1156,1143,7,0,6,98.88,0.61,0,0.52
95DD23,881,870,9,0,2,98.75,1.02,0,0.23
95DD24,990,932,8,3,47,94.14,0.81,0.30,4.75
95EE01,592,587,4,0,1,99.16,0.68,0,0.17
95EE02,790,786,3,0,1,99.49,0.38,0,0.13
95EE03,808,780,10,1,17,96.53,1.24,0.12,2.10
95EE04,736,729,5,1,1,99.05,0.68,0.14,0.14
95EE05,577,568,6,0,3,98.44,1.04,0,0.52
95EE06,692,673,4,1,14,97.25,0.58,0.14,2.02
95EE07,740,734,2,1,3,99.19,0.27,0.14,0.41
95EE08,711,695,7,0,9,97.75,0.98,0,1.27
95EE09,605,595,3,0,7,98.35,0.50,0,1.16
95EE10,598,571,6,0,21,95.48,1.00,0,3.51
95EE11,551,547,4,0,0,99.27,0.73,0,0
95EE12,1059,1038,4,1,16,98.02,0.38,0.09,1.51
95EE13,718,706,6,0,6,98.33,0.84,0,0.84
95EE14,1016,1003,6,1,6,98.72,0.59,0.10,0.59
95EE15,606,601,5,0,0,99.17,0.83,0,0
95EE16,709,701,6,0,2,98.87,0.85,0,0.28
95FF01,1740,1696,23,2,19,97.47,1.32,0.11,1.09
95FF02,923,904,6,1,12,97.94,0.65,0.11,1.30
95FF03,1169,1130,17,3,19,96.66,1.45,0.26,1.63
95FF04,862,854,7,0,1,99.07,0.81,0,0.12
95FF05,1119,1087,9,0,23,97.14,0.80,0,2.06
95FF06,1540,1498,20,1,21,97.27,1.30,0.06,1.36
95FF07,1154,1134,10,5,5,98.27,0.87,0.43,0.43
95FF08,993,979,4,1,9,98.59,0.40,0.10,0.91
95FF09,1000,973,12,3,12,97.30,1.20,0.30,1.20
95FF10,1216,1203,6,2,5,98.93,0.49,0.16,0.41
95FF11,873,867,4,0,2,99.31,0.46,0,0.23
95FF12,1018,1008,8,0,2,99.02,0.79,0,0.20
95FF13,977,964,7,0,6,98.67,0.72,0,0.61
95FF14,862,858,1,0,3,99.54,0.12,0,0.35
95FF15,1073,1032,12,3,26,96.18,1.12,0.28,2.42
95FF16,927,912,6,1,8,98.38,0.65,0.11,0.86
95FF17,857,836,3,2,16,97.55,0.35,0.23,1.87
95GG01,2004,1946,33,2,23,97.11,1.65,0.10,1.15
95GG02,2568,2518,27,1,22,98.05,1.05,0.04,0.86
95GG03,2667,2559,36,12,60,95.95,1.35,0.45,2.25
95GG04,2297,2172,50,6,69,94.56,2.18,0.26,3.00
95GG05,2800,2495,104,29,172,89.11,3.71,1.04,6.14
95GG06,2381,2320,32,4,25,97.44,1.34,0.17,1.05
95GG07,2269,2120,49,23,77,93.43,2.16,1.01,3.39
95GG08,2151,2061,29,7,54,95.82,1.35,0.33,2.51
95GG09,2604,2527,43,1,33,97.04,1.65,0.04,1.27
95GG10,2017,1822,46,2,147,90.33,2.28,0.10,7.29
95GG11,2686,2476,60,9,141,92.18,2.23,0.34,5.25
95GG12,3429,2970,171,16,272,86.61,4.99,0.47,7.93
95GG13,2116,2052,22,6,36,96.98,1.04,0.28,1.70
95GG14,1817,1779,21,0,17,97.91,1.16,0,0.94
95GG15,2544,2477,27,4,36,97.37,1.06,0.16,1.42
95GG16,2230,2123,54,8,45,95.20,2.42,0.36,2.02
95GG17,2137,2073,33,4,27,97.01,1.54,0.19,1.26
95GG18,2143,2047,42,7,47,95.52,1.96,0.33,2.19
95GG19,2239,2199,13,2,25,98.21,0.58,0.09,1.12
95GG20,2359,2202,58,6,93,93.34,2.46,0.25,3.94
95GG21,2262,2148,29,6,79,94.96,1.28,0.27,3.49
95GG22,2208,2117,52,5,34,95.88,2.36,0.23,1.54
95GG23,1821,1742,34,8,37,95.66,1.87,0.44,2.03
95GG24,1945,1866,25,5,49,95.94,1.29,0.26,2.52
95GG25,2194,2102,52,3,37,95.81,2.37,0.14,1.69
95GG26,1654,1624,17,1,12,98.19,1.03,0.06,0.73
95GG27,2467,2376,52,1,38,96.31,2.11,0.04,1.54
95GG28,2325,2275,20,11,19,97.85,0.86,0.47,0.82
95GG29,2430,2234,51,11,134,91.93,2.10,0.45,5.51
95GG30,2083,2039,23,4,17,97.89,1.10,0.19,0.82
95GG31,2463,2394,39,3,27,97.20,1.58,0.12,1.10
95GG32,2649,2526,51,21,51,95.36,1.93,0.79,1.93
95GG33,2195,2109,42,6,38,96.08,1.91,0.27,1.73
95GG34,1999,1899,29,21,50,95.00,1.45,1.05,2.50
95GG35,2244,2154,42,3,45,95.99,1.87,0.13,2.01
95GG36,2481,2405,33,4,39,96.94,1.33,0.16,1.57
95GG37,2687,2490,78,8,111,92.67,2.90,0.30,4.13
95GG38,2915,2787,60,8,60,95.61,2.06,0.27,2.06
95GG39,3616,3181,116,16,303,87.97,3.21,0.44,8.38
95GG40,1861,1819,17,2,23,97.74,0.91,0.11,1.24
95GG41,2173,2145,23,0,5,98.71,1.06,0,0.23
95GG42,2606,2446,75,9,76,93.86,2.88,0.35,2.92
95GG43,2316,2203,35,8,70,95.12,1.51,0.35,3.02
95GG44,2705,2447,51,11,196,90.46,1.89,0.41,7.25
95GG45,2129,2053,30,9,37,96.43,1.41,0.42,1.74
95GG46,1932,1880,33,2,17,97.31,1.71,0.10,0.88
95GG47,2641,2492,64,12,73,94.36,2.42,0.45,2.76
95GG48,2051,1983,32,6,30,96.68,1.56,0.29,1.46
95GG49,3351,2835,194,26,296,84.60,5.79,0.78,8.83
95GG50,2653,2352,87,19,195,88.65,3.28,0.72,7.35
95GG51,2081,2050,11,1,19,98.51,0.53,0.05,0.91
95HH01,890,879,5,0,6,98.76,0.56,0,0.67
95HH02,1063,1045,8,3,7,98.31,0.75,0.28,0.66
95HH03,726,713,10,0,3,98.21,1.38,0,0.41
95HH04,1160,1147,8,1,4,98.88,0.69,0.09,0.34
95HH05,908,886,7,1,14,97.58,0.77,0.11,1.54
95HH06,1682,1656,17,0,9,98.45,1.01,0,0.54
95HH07,733,715,6,0,12,97.54,0.82,0,1.64
95HH08,1083,1054,14,1,14,97.32,1.29,0.09,1.29
95HH09,1423,1363,13,5,42,95.78,0.91,0.35,2.95
95HH10,945,930,10,2,3,98.41,1.06,0.21,0.32
95HH11,655,650,3,0,2,99.24,0.46,0,0.31
95HH12,626,614,6,3,3,98.08,0.96,0.48,0.48
95HH13,614,611,2,0,1,99.51,0.33,0,0.16
95HH14,764,753,3,2,6,98.56,0.39,0.26,0.79
95HH15,1083,1068,8,2,5,98.61,0.74,0.18,0.46
95HH16,917,901,3,2,11,98.26,0.33,0.22,1.20
95HH17,928,917,5,0,6,98.81,0.54,0,0.65
95II01,1260,1238,11,3,8,98.25,0.87,0.24,0.63
95II02,1911,1842,39,6,24,96.39,2.04,0.31,1.26
95II03,1304,1256,27,4,17,96.32,2.07,0.31,1.30
95II04,1672,1633,14,8,17,97.67,0.84,0.48,1.02
95II05,1301,1260,21,3,17,96.85,1.61,0.23,1.31
95II06,1285,1248,26,2,9,97.12,2.02,0.16,0.70
95II07,991,971,9,3,8,97.98,0.91,0.30,0.81
95II08,1073,1047,8,2,16,97.58,0.75,0.19,1.49
95II09,1417,1352,21,14,30,95.41,1.48,0.99,2.12
95II10,1144,1123,11,2,8,98.16,0.96,0.17,0.70
95II11,1055,1016,22,4,13,96.30,2.09,0.38,1.23
95II12,1007,983,17,0,7,97.62,1.69,0,0.70
95II13,1253,1212,10,7,24,96.73,0.80,0.56,1.92
95II14,1026,1002,16,1,7,97.66,1.56,0.10,0.68
95II15,1319,1263,31,4,21,95.75,2.35,0.30,1.59
95II16,890,877,7,0,6,98.54,0.79,0,0.67
95II17,1190,1168,14,1,7,98.15,1.18,0.08,0.59
95II18,1090,1054,15,1,20,96.70,1.38,0.09,1.83
95II19,1389,1370,14,1,4,98.63,1.01,0.07,0.29
95II20,1211,1153,26,0,32,95.21,2.15,0,2.64
95II21,1045,1033,8,1,3,98.85,0.77,0.10,0.29
95II22,990,968,9,2,11,97.78,0.91,0.20,1.11
95II23,910,874,18,6,12,96.04,1.98,0.66,1.32
95JJ01,892,880,9,1,2,98.65,1.01,0.11,0.22
95JJ02,1074,1045,13,1,15,97.30,1.21,0.09,1.40
95JJ03,1023,1010,8,0,5,98.73,0.78,0,0.49
95JJ04,1279,1262,6,1,10,98.67,0.47,0.08,0.78
95JJ05,892,824,16,4,48,92.38,1.79,0.45,5.38
95JJ06,1063,1004,10,3,46,94.45,0.94,0.28,4.33
95JJ07,1092,1055,8,2,27,96.61,0.73,0.18,2.47
95JJ08,1187,1158,15,1,13,97.56,1.26,0.08,1.10
95JJ09,839,830,5,0,4,98.93,0.60,0,0.48
95JJ10,1027,1006,6,0,15,97.96,0.58,0,1.46
95JJ11,1542,1501,15,3,23,97.34,0.97,0.19,1.49
95JJ12,1002,959,4,5,34,95.71,0.40,0.50,3.39
95JJ13,1457,1404,20,5,28,96.36,1.37,0.34,1.92
95JJ14,849,840,7,1,1,98.94,0.82,0.12,0.12
95JJ15,779,713,21,3,42,91.53,2.70,0.39,5.39
95JJ16,916,882,18,1,15,96.29,1.97,0.11,1.64
95JJ17,824,814,7,1,2,98.79,0.85,0.12,0.24
95JJ18,975,929,12,2,32,95.28,1.23,0.21,3.28
95JJ19,1128,1094,21,2,11,96.99,1.86,0.18,0.98
95JJ20,1618,1588,10,1,19,98.15,0.62,0.06,1.17
95JJ21,962,930,13,3,16,96.67,1.35,0.31,1.66
95JJ22,1088,1045,17,2,24,96.05,1.56,0.18,2.21
95KK01,836,829,4,0,3,99.16,0.48,0,0.36
95KK02,722,703,10,0,9,97.37,1.39,0,1.25
95KK03,704,695,4,1,4,98.72,0.57,0.14,0.57
95KK04,974,881,18,7,68,90.45,1.85,0.72,6.98
95KK05,803,791,6,0,6,98.51,0.75,0,0.75
95KK06,737,694,10,3,30,94.17,1.36,0.41,4.07
95KK07,682,677,1,0,4,99.27,0.15,0,0.59
95KK08,967,943,5,1,18,97.52,0.52,0.10,1.86
95KK09,947,829,16,5,97,87.54,1.69,0.53,10.24
95KK10,699,696,2,0,1,99.57,0.29,0,0.14
95KK11,982,932,8,6,36,94.91,0.81,0.61,3.67
95KK12,776,738,6,3,29,95.10,0.77,0.39,3.74
95KK13,642,639,1,0,2,99.53,0.16,0,0.31
95KK14,703,699,1,1,2,99.43,0.14,0.14,0.28
95KK15,921,914,6,0,1,99.24,0.65,0,0.11
95KK16,809,745,16,3,45,92.09,1.98,0.37,5.56
95LL01,1579,1551,10,0,18,98.23,0.63,0,1.14
95LL02,1367,1139,28,10,190,83.32,2.05,0.73,13.90
95LL03,1092,1021,10,7,54,93.50,0.92,0.64,4.95
95LL04,1090,1026,20,2,42,94.13,1.83,0.18,3.85
95LL05,1454,1417,18,2,17,97.46,1.24,0.14,1.17
95LL06,1408,1310,22,11,65,93.04,1.56,0.78,4.62
95LL07,1001,909,19,4,69,90.81,1.90,0.40,6.89
95LL08,1326,1070,28,23,205,80.69,2.11,1.73,15.46
95LL09,1395,1313,14,3,65,94.12,1.00,0.22,4.66
95LL10,1741,1687,24,2,28,96.90,1.38,0.11,1.61
95LL11,1424,1396,13,2,13,98.03,0.91,0.14,0.91
95LL12,1492,1380,24,15,73,92.49,1.61,1.01,4.89
