GeographyCode,KS407NI0001,KS407NI0002,KS407NI0003,KS407NI0004,KS407NI0005,KS407NI0006,KS407NI0007,KS407NI0008,KS407NI0009,KS407NI0010,KS407NI0011,KS407NI0012,KS407NI0013,KS407NI0014,KS407NI0015,KS407NI0016,KS407NI0017,KS407NI0018,KS407NI0019,KS407NI0020,KS407NI0021,KS407NI0022,KS407NI0023,KS407NI0024,KS407NI0025,KS407NI0026,KS407NI0027,KS407NI0028,KS407NI0029,KS407NI0030
95AA01,7,154,0,0,0,0,0,15,0,0,0,139,10,2,3,3,0,0,0,0,0,9.74,0,0,0,90.26,6.49,1.30,1.95,1.95
95AA02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA04,4,11,0,0,3,0,0,0,0,0,0,8,1,1,0,2,0,0,27.27,0,0,0,0,0,0,72.73,9.09,9.09,0,18.18
95AA05,4,47,0,0,9,0,0,36,0,0,0,2,28,16,0,1,0,0,19.15,0,0,76.60,0,0,0,4.26,59.57,34.04,0,2.13
95AA06,2,43,0,0,12,0,31,0,0,0,0,0,28,15,0,0,0,0,27.91,0,72.09,0,0,0,0,0,65.12,34.88,0,0
95AA07,1,21,0,0,0,0,21,0,0,0,0,0,19,1,0,0,0,0,0,0,100.00,0,0,0,0,0,90.48,4.76,0,0
95AA08,2,22,0,0,0,0,0,9,0,13,0,0,13,7,0,0,0,0,0,0,0,40.91,0,59.09,0,0,59.09,31.82,0,0
95AA09,2,77,0,0,24,0,53,0,0,0,0,0,60,17,0,0,0,0,31.17,0,68.83,0,0,0,0,0,77.92,22.08,0,0
95AA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA11,9,235,0,25,7,30,36,41,0,0,0,96,58,64,0,2,0,10.64,2.98,12.77,15.32,17.45,0,0,0,40.85,24.68,27.23,0,0.85
95AA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA13,3,39,0,0,1,0,38,0,0,0,0,0,34,4,0,0,0,0,2.56,0,97.44,0,0,0,0,0,87.18,10.26,0,0
95AA14,2,47,0,0,0,0,26,21,0,0,0,0,44,3,0,0,0,0,0,0,55.32,44.68,0,0,0,0,93.62,6.38,0,0
95AA15,3,84,0,84,0,0,0,0,0,0,0,0,59,20,0,0,0,100.00,0,0,0,0,0,0,0,0,70.24,23.81,0,0
95AA16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA18,5,66,0,0,0,0,65,0,0,0,0,1,52,12,0,1,0,0,0,0,98.48,0,0,0,0,1.52,78.79,18.18,0,1.52
95AA19,2,42,0,0,0,0,42,0,0,0,0,0,41,1,0,0,0,0,0,0,100.00,0,0,0,0,0,97.62,2.38,0,0
95BB01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB02,1,13,0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,0,0,100.00,0,0,0,0,76.92,0,0,0
95BB03,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0
95BB04,6,39,0,0,6,0,27,0,0,0,0,6,26,1,1,0,0,0,15.38,0,69.23,0,0,0,0,15.38,66.67,2.56,2.56,0
95BB05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB07,1,57,0,0,0,0,57,0,0,0,0,0,54,3,0,0,0,0,0,0,100.00,0,0,0,0,0,94.74,5.26,0,0
95BB08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB09,1,34,0,0,0,0,0,34,0,0,0,0,32,1,0,0,0,0,0,0,0,100.00,0,0,0,0,94.12,2.94,0,0
95BB10,5,49,0,0,10,8,22,0,0,9,0,0,28,12,0,0,0,0,20.41,16.33,44.90,0,0,18.37,0,0,57.14,24.49,0,0
95BB11,1,52,0,0,0,0,52,0,0,0,0,0,48,4,0,0,0,0,0,0,100.00,0,0,0,0,0,92.31,7.69,0,0
95BB12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB13,1,6,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,100.00,0,0,0,0,0,0,33.33,33.33,0,0
95BB14,1,28,0,0,0,0,28,0,0,0,0,0,26,2,0,0,0,0,0,0,100.00,0,0,0,0,0,92.86,7.14,0,0
95BB15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB16,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0
95BB17,1,21,0,0,0,0,0,21,0,0,0,0,5,16,0,0,0,0,0,0,0,100.00,0,0,0,0,23.81,76.19,0,0
95BB18,2,67,0,0,0,0,54,13,0,0,0,0,63,4,0,0,0,0,0,0,80.60,19.40,0,0,0,0,94.03,5.97,0,0
95BB19,4,63,0,0,0,0,47,16,0,0,0,0,57,6,0,0,0,0,0,0,74.60,25.40,0,0,0,0,90.48,9.52,0,0
95BB20,5,45,0,0,0,0,10,35,0,0,0,0,31,13,0,0,0,0,0,0,22.22,77.78,0,0,0,0,68.89,28.89,0,0
95BB21,3,20,0,0,0,0,0,20,0,0,0,0,19,1,0,0,0,0,0,0,0,100.00,0,0,0,0,95.00,5.00,0,0
95BB22,2,47,0,0,15,0,32,0,0,0,0,0,39,7,0,0,0,0,31.91,0,68.09,0,0,0,0,0,82.98,14.89,0,0
95BB23,1,49,0,0,0,0,49,0,0,0,0,0,45,4,0,0,0,0,0,0,100.00,0,0,0,0,0,91.84,8.16,0,0
95CC01,3,182,92,0,0,0,64,26,0,0,0,0,153,24,0,0,50.55,0,0,0,35.16,14.29,0,0,0,0,84.07,13.19,0,0
95CC02,1,32,0,0,0,0,32,0,0,0,0,0,26,5,0,0,0,0,0,0,100.00,0,0,0,0,0,81.25,15.63,0,0
95CC03,2,26,0,0,0,0,0,0,0,0,0,26,0,0,5,6,0,0,0,0,0,0,0,0,0,100.00,0,0,19.23,23.08
95CC04,3,56,0,0,0,0,48,0,0,3,0,5,46,4,1,1,0,0,0,0,85.71,0,0,5.36,0,8.93,82.14,7.14,1.79,1.79
95CC05,1,25,0,0,0,0,25,0,0,0,0,0,23,2,0,0,0,0,0,0,100.00,0,0,0,0,0,92.00,8.00,0,0
95CC06,3,26,0,0,3,0,0,13,0,0,0,10,13,0,1,0,0,0,11.54,0,0,50.00,0,0,0,38.46,50.00,0,3.85,0
95CC07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95CC08,1,54,0,0,0,0,54,0,0,0,0,0,52,2,0,0,0,0,0,0,100.00,0,0,0,0,0,96.30,3.70,0,0
95CC09,2,31,0,0,0,0,0,31,0,0,0,0,10,20,0,0,0,0,0,0,0,100.00,0,0,0,0,32.26,64.52,0,0
