GeographyCode,KS701NI0001,KS701NI0002,KS701NI0003,KS701NI0004,KS701NI0005,KS701NI0006,KS701NI0007,KS701NI0008,KS701NI0009,KS701NI0010,KS701NI0011,KS701NI0012,KS701NI0013,KS701NI0014,KS701NI0015,KS701NI0016,KS701NI0017,KS701NI0018,KS701NI0019,KS701NI0020,KS701NI0021,KS701NI0022,KS701NI0023,KS701NI0024,KS701NI0025,KS701NI0026,KS701NI0027,KS701NI0028,KS701NI0029
95AA01,2225,346,9,37,10,1228,58,205,10,89,211,22,2023,40,71,5,15.55,0.40,1.66,0.45,55.19,2.61,9.21,0.45,4.00,9.48,0.99,1.98,7.04
95AA02,771,45,15,31,3,403,66,74,31,13,83,7,642,27,129,19,5.84,1.95,4.02,0.39,52.27,8.56,9.60,4.02,1.69,10.77,0.91,4.21,14.73
95AA03,727,65,1,42,8,398,43,64,33,7,62,4,620,25,107,18,8.94,0.14,5.78,1.10,54.75,5.91,8.80,4.54,0.96,8.53,0.55,4.03,16.82
95AA04,1456,269,2,26,9,907,60,134,11,6,17,15,1432,26,19,1,18.48,0.14,1.79,0.62,62.29,4.12,9.20,0.76,0.41,1.17,1.03,1.82,5.26
95AA05,1183,146,7,36,4,740,47,136,10,4,39,14,1161,40,22,3,12.34,0.59,3.04,0.34,62.55,3.97,11.50,0.85,0.34,3.30,1.18,3.45,13.64
95AA06,1931,151,12,74,10,1165,120,204,14,10,160,11,1841,72,90,14,7.82,0.62,3.83,0.52,60.33,6.21,10.56,0.73,0.52,8.29,0.57,3.91,15.56
95AA07,985,132,4,18,1,646,50,80,9,0,36,9,944,19,40,3,13.40,0.41,1.83,0.10,65.58,5.08,8.12,0.91,0,3.65,0.91,2.01,7.50
95AA08,656,48,1,38,6,318,69,68,43,3,59,3,551,29,104,10,7.32,0.15,5.79,0.91,48.48,10.52,10.37,6.55,0.46,8.99,0.46,5.26,9.62
95AA09,852,66,16,42,2,416,58,76,39,11,117,9,680,31,172,27,7.75,1.88,4.93,0.23,48.83,6.81,8.92,4.58,1.29,13.73,1.06,4.56,15.70
95AA10,743,66,5,24,5,411,57,70,35,4,61,5,655,18,88,11,8.88,0.67,3.23,0.67,55.32,7.67,9.42,4.71,0.54,8.21,0.67,2.75,12.50
95AA11,2662,185,39,72,12,1544,171,282,67,30,243,17,2404,94,171,16,6.95,1.47,2.70,0.45,58.00,6.42,10.59,2.52,1.13,9.13,0.64,3.91,9.36
95AA12,1377,213,4,32,5,892,41,143,3,1,24,19,1366,36,11,0,15.47,0.29,2.32,0.36,64.78,2.98,10.38,0.22,0.07,1.74,1.38,2.64,0
95AA13,1490,117,15,38,6,920,103,166,11,11,86,17,1407,44,83,9,7.85,1.01,2.55,0.40,61.74,6.91,11.14,0.74,0.74,5.77,1.14,3.13,10.84
95AA14,1068,152,8,16,7,734,23,100,3,2,11,12,1060,23,7,1,14.23,0.75,1.50,0.66,68.73,2.15,9.36,0.28,0.19,1.03,1.12,2.17,14.29
95AA15,2007,145,39,54,6,1141,120,211,93,41,147,10,1825,78,182,15,7.22,1.94,2.69,0.30,56.85,5.98,10.51,4.63,2.04,7.32,0.50,4.27,8.24
95AA16,774,57,7,38,4,379,65,83,32,11,93,5,633,27,141,18,7.36,0.90,4.91,0.52,48.97,8.40,10.72,4.13,1.42,12.02,0.65,4.27,12.77
95AA17,953,60,4,35,9,531,86,82,39,7,94,6,858,26,95,13,6.30,0.42,3.67,0.94,55.72,9.02,8.60,4.09,0.73,9.86,0.63,3.03,13.68
95AA18,1047,129,4,51,3,668,40,101,14,1,22,14,1018,51,28,4,12.32,0.38,4.87,0.29,63.80,3.82,9.65,1.34,0.10,2.10,1.34,5.01,14.29
95AA19,1108,134,3,28,0,682,71,129,5,2,40,14,1065,27,43,4,12.09,0.27,2.53,0,61.55,6.41,11.64,0.45,0.18,3.61,1.26,2.54,9.30
95BB01,1773,152,1,74,6,1262,63,158,2,3,32,20,1742,71,31,4,8.57,0.06,4.17,0.34,71.18,3.55,8.91,0.11,0.17,1.80,1.13,4.08,12.90
95BB02,867,82,6,39,7,476,53,75,5,3,119,2,752,28,112,17,9.46,0.69,4.50,0.81,54.90,6.11,8.65,0.58,0.35,13.73,0.23,3.72,15.18
95BB03,1635,160,7,72,11,1051,97,160,5,8,52,12,1547,61,86,18,9.79,0.43,4.40,0.67,64.28,5.93,9.79,0.31,0.49,3.18,0.73,3.94,20.93
95BB04,1256,129,7,61,6,801,43,109,7,3,77,13,1205,60,47,8,10.27,0.56,4.86,0.48,63.77,3.42,8.68,0.56,0.24,6.13,1.04,4.98,17.02
95BB05,1594,274,7,38,9,1013,43,132,6,4,50,18,1560,38,34,7,17.19,0.44,2.38,0.56,63.55,2.70,8.28,0.38,0.25,3.14,1.13,2.44,20.59
95BB06,1127,73,3,101,8,522,78,96,13,10,216,7,914,59,213,45,6.48,0.27,8.96,0.71,46.32,6.92,8.52,1.15,0.89,19.17,0.62,6.46,21.13
95BB07,1224,101,4,84,6,769,58,100,3,9,78,12,1153,67,71,21,8.25,0.33,6.86,0.49,62.83,4.74,8.17,0.25,0.74,6.37,0.98,5.81,29.58
95BB08,1163,71,1,54,17,750,54,128,4,5,73,6,1109,40,54,15,6.10,0.09,4.64,1.46,64.49,4.64,11.01,0.34,0.43,6.28,0.52,3.61,27.78
95BB09,1443,140,3,69,4,966,46,132,5,4,67,7,1408,67,35,5,9.70,0.21,4.78,0.28,66.94,3.19,9.15,0.35,0.28,4.64,0.49,4.76,14.29
95BB10,1419,171,29,46,6,877,53,151,2,5,69,10,1341,58,77,17,12.05,2.04,3.24,0.42,61.80,3.74,10.64,0.14,0.35,4.86,0.70,4.33,22.08
95BB11,1139,57,12,56,13,693,52,124,6,4,114,8,1051,48,88,20,5.00,1.05,4.92,1.14,60.84,4.57,10.89,0.53,0.35,10.01,0.70,4.57,22.73
95BB12,1067,81,3,56,8,614,68,92,11,8,122,4,930,39,137,20,7.59,0.28,5.25,0.75,57.54,6.37,8.62,1.03,0.75,11.43,0.37,4.19,14.60
95BB13,1962,147,4,102,14,1252,93,189,19,9,118,15,1856,83,106,23,7.49,0.20,5.20,0.71,63.81,4.74,9.63,0.97,0.46,6.01,0.76,4.47,21.70
95BB14,1463,205,3,23,4,979,40,142,3,7,39,18,1433,25,30,1,14.01,0.21,1.57,0.27,66.92,2.73,9.71,0.21,0.48,2.67,1.23,1.74,3.33
95BB15,1451,185,2,26,7,921,66,167,4,2,53,18,1401,23,50,5,12.75,0.14,1.79,0.48,63.47,4.55,11.51,0.28,0.14,3.65,1.24,1.64,10.00
95BB16,1475,214,7,30,5,966,55,146,5,11,26,10,1453,34,19,3,14.51,0.47,2.03,0.34,65.49,3.73,9.90,0.34,0.75,1.76,0.68,2.34,15.79
95BB17,1614,159,6,91,11,1031,74,151,19,8,57,7,1529,69,85,28,9.85,0.37,5.64,0.68,63.88,4.58,9.36,1.18,0.50,3.53,0.43,4.51,32.94
95BB18,1841,187,27,55,15,1232,62,182,7,3,48,23,1788,72,53,10,10.16,1.47,2.99,0.81,66.92,3.37,9.89,0.38,0.16,2.61,1.25,4.03,18.87
95BB19,2358,139,7,122,19,1594,108,233,15,8,101,12,2296,114,62,15,5.89,0.30,5.17,0.81,67.60,4.58,9.88,0.64,0.34,4.28,0.51,4.97,24.19
95BB20,1256,159,0,44,5,700,74,142,3,1,121,7,1195,39,61,5,12.66,0,3.50,0.40,55.73,5.89,11.31,0.24,0.08,9.63,0.56,3.26,8.20
95BB21,1928,206,8,43,9,1239,86,212,6,4,80,35,1882,47,46,4,10.68,0.41,2.23,0.47,64.26,4.46,11.00,0.31,0.21,4.15,1.82,2.50,8.70
95BB22,1192,82,0,77,21,678,81,130,19,7,88,9,1061,44,131,33,6.88,0,6.46,1.76,56.88,6.80,10.91,1.59,0.59,7.38,0.76,4.15,25.19
95BB23,1437,129,9,66,14,938,70,124,7,6,68,6,1407,72,30,3,8.98,0.63,4.59,0.97,65.27,4.87,8.63,0.49,0.42,4.73,0.42,5.12,10.00
95CC01,912,106,3,22,1,465,48,102,19,5,126,15,808,16,103,9,11.62,0.33,2.41,0.11,50.99,5.26,11.18,2.08,0.55,13.82,1.64,1.98,8.74
95CC02,1184,208,3,19,1,734,40,129,6,4,24,16,1164,22,20,0,17.57,0.25,1.60,0.08,61.99,3.38,10.90,0.51,0.34,2.03,1.35,1.89,0
95CC03,923,95,5,23,1,419,75,109,21,6,164,5,768,16,154,12,10.29,0.54,2.49,0.11,45.40,8.13,11.81,2.28,0.65,17.77,0.54,2.08,7.79
95CC04,992,136,5,22,0,626,30,119,4,7,25,18,955,24,34,3,13.71,0.50,2.22,0,63.10,3.02,12.00,0.40,0.71,2.52,1.81,2.51,8.82
95CC05,1145,161,11,12,3,749,59,105,5,3,20,17,1122,22,23,1,14.06,0.96,1.05,0.26,65.41,5.15,9.17,0.44,0.26,1.75,1.48,1.96,4.35
95CC06,1200,96,10,28,2,798,43,140,16,5,57,5,1160,35,32,3,8.00,0.83,2.33,0.17,66.50,3.58,11.67,1.33,0.42,4.75,0.42,3.02,9.38
95CC07,1387,206,13,22,0,904,51,139,7,1,25,19,1365,33,22,2,14.85,0.94,1.59,0,65.18,3.68,10.02,0.50,0.07,1.80,1.37,2.42,9.09
95CC08,879,69,4,11,0,509,46,91,12,5,120,12,795,14,84,1,7.85,0.46,1.25,0,57.91,5.23,10.35,1.37,0.57,13.65,1.37,1.76,1.19
95CC09,1644,223,17,11,4,1147,39,145,4,3,33,18,1627,27,17,1,13.56,1.03,0.67,0.24,69.77,2.37,8.82,0.24,0.18,2.01,1.09,1.66,5.88
95CC10,1160,202,9,11,3,760,34,101,9,2,10,19,1140,18,20,2,17.41,0.78,0.95,0.26,65.52,2.93,8.71,0.78,0.17,0.86,1.64,1.58,10.00
95CC11,632,62,4,15,1,369,35,67,4,0,69,6,563,15,68,3,9.81,0.63,2.37,0.16,58.39,5.54,10.60,0.63,0,10.92,0.95,2.66,4.41
95CC12,1177,222,6,13,1,763,34,87,4,2,24,21,1161,18,13,1,18.86,0.51,1.10,0.08,64.83,2.89,7.39,0.34,0.17,2.04,1.78,1.55,7.69
95CC13,1108,195,5,9,0,721,26,120,1,1,19,11,1100,13,8,1,17.60,0.45,0.81,0,65.07,2.35,10.83,0.09,0.09,1.71,0.99,1.18,12.50
95CC14,1373,118,23,17,5,954,63,144,2,1,39,7,1350,37,23,3,8.59,1.68,1.24,0.36,69.48,4.59,10.49,0.15,0.07,2.84,0.51,2.74,13.04
95CC15,1247,178,20,10,8,796,36,135,4,3,43,14,1217,29,30,1,14.27,1.60,0.80,0.64,63.83,2.89,10.83,0.32,0.24,3.45,1.12,2.38,3.33
95CC16,1123,122,13,14,3,718,45,94,3,0,100,11,1059,22,64,5,10.86,1.16,1.25,0.27,63.94,4.01,8.37,0.27,0,8.90,0.98,2.08,7.81
95CC17,1255,200,6,15,1,803,51,128,6,3,26,16,1231,21,22,0,15.94,0.48,1.20,0.08,63.98,4.06,10.20,0.48,0.24,2.07,1.27,1.71,0
95CC18,990,79,10,21,3,671,38,85,3,5,70,5,920,24,70,7,7.98,1.01,2.12,0.30,67.78,3.84,8.59,0.30,0.51,7.07,0.51,2.61,10.00
95CC19,1204,201,14,8,3,768,41,123,2,1,22,21,1188,21,16,1,16.69,1.16,0.66,0.25,63.79,3.41,10.22,0.17,0.08,1.83,1.74,1.77,6.25
95CC20,1387,139,26,25,4,900,69,152,4,2,55,11,1340,39,47,12,10.02,1.87,1.80,0.29,64.89,4.97,10.96,0.29,0.14,3.97,0.79,2.91,25.53
95CC21,1293,112,17,26,7,833,55,144,6,4,79,10,1217,33,76,10,8.66,1.31,2.01,0.54,64.42,4.25,11.14,0.46,0.31,6.11,0.77,2.71,13.16
95CC22,701,58,6,21,6,366,51,52,11,5,121,4,592,22,108,5,8.27,0.86,3.00,0.86,52.21,7.28,7.42,1.57,0.71,17.26,0.57,3.72,4.63
95DD01,842,67,14,6,4,524,63,97,11,6,45,5,794,18,46,2,7.96,1.66,0.71,0.48,62.23,7.48,11.52,1.31,0.71,5.34,0.59,2.27,4.35
95DD02,1861,149,18,23,6,1285,101,200,11,6,51,11,1827,36,34,5,8.01,0.97,1.24,0.32,69.05,5.43,10.75,0.59,0.32,2.74,0.59,1.97,14.71
95DD03,1662,149,30,26,3,1070,95,180,16,11,70,12,1612,53,50,3,8.97,1.81,1.56,0.18,64.38,5.72,10.83,0.96,0.66,4.21,0.72,3.29,6.00
