GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
95AA01,3172,442,14,423,11,1280,402,213,18,91,253,25,2924,410,113,24,13.93,0.44,13.34,0.35,40.35,12.67,6.72,0.57,2.87,7.98,0.79,14.02,21.24
95AA02,1026,62,16,87,3,415,168,77,35,17,138,8,859,72,167,31,6.04,1.56,8.48,0.29,40.45,16.37,7.50,3.41,1.66,13.45,0.78,8.38,18.56
95AA03,1050,117,4,131,8,406,148,64,41,13,114,4,853,84,197,51,11.14,0.38,12.48,0.76,38.67,14.10,6.10,3.90,1.24,10.86,0.38,9.85,25.89
95AA04,2158,353,5,234,12,966,353,145,15,7,51,17,2115,233,32,3,16.36,0.23,10.84,0.56,44.76,16.36,6.72,0.70,0.32,2.36,0.79,11.02,9.38
95AA05,1766,227,13,220,4,774,258,151,16,7,81,15,1724,226,42,7,12.85,0.74,12.46,0.23,43.83,14.61,8.55,0.91,0.40,4.59,0.85,13.11,16.67
95AA06,3212,269,17,539,10,1222,466,213,30,16,419,11,3043,509,169,47,8.37,0.53,16.78,0.31,38.04,14.51,6.63,0.93,0.50,13.04,0.34,16.73,27.81
95AA07,1392,157,13,167,1,669,192,86,14,0,84,9,1318,162,73,18,11.28,0.93,12.00,0.07,48.06,13.79,6.18,1.01,0,6.03,0.65,12.29,24.66
95AA08,966,86,5,152,6,330,142,71,50,3,117,4,773,107,192,50,8.90,0.52,15.73,0.62,34.16,14.70,7.35,5.18,0.31,12.11,0.41,13.84,26.04
95AA09,1261,124,31,103,2,437,161,81,42,12,258,10,954,91,307,43,9.83,2.46,8.17,0.16,34.66,12.77,6.42,3.33,0.95,20.46,0.79,9.54,14.01
95AA10,1136,104,12,116,5,431,183,76,44,5,155,5,950,86,186,42,9.15,1.06,10.21,0.44,37.94,16.11,6.69,3.87,0.44,13.64,0.44,9.05,22.58
95AA11,3709,276,61,286,12,1582,692,298,83,34,365,20,3376,308,237,36,7.44,1.64,7.71,0.32,42.65,18.66,8.03,2.24,0.92,9.84,0.54,9.12,15.19
95AA12,2045,251,11,259,6,937,355,156,7,1,42,20,2030,270,15,0,12.27,0.54,12.67,0.29,45.82,17.36,7.63,0.34,0.05,2.05,0.98,13.30,0
95AA13,2204,165,19,258,6,947,322,175,15,13,265,19,2070,255,133,22,7.49,0.86,11.71,0.27,42.97,14.61,7.94,0.68,0.59,12.02,0.86,12.32,16.54
95AA14,1586,188,17,188,7,774,237,118,11,3,30,13,1569,199,16,6,11.85,1.07,11.85,0.44,48.80,14.94,7.44,0.69,0.19,1.89,0.82,12.68,37.50
95AA15,2834,255,51,214,6,1176,430,218,110,47,315,12,2522,213,308,49,9.00,1.80,7.55,0.21,41.50,15.17,7.69,3.88,1.66,11.12,0.42,8.45,15.91
95AA16,1082,99,15,85,5,393,133,86,36,13,212,5,858,64,224,36,9.15,1.39,7.86,0.46,36.32,12.29,7.95,3.33,1.20,19.59,0.46,7.46,16.07
95AA17,1392,106,10,129,9,548,221,91,45,10,212,11,1207,107,185,32,7.61,0.72,9.27,0.65,39.37,15.88,6.54,3.23,0.72,15.23,0.79,8.86,17.30
95AA18,1439,161,10,181,3,695,187,114,19,3,51,15,1395,185,43,6,11.19,0.69,12.58,0.21,48.30,13.00,7.92,1.32,0.21,3.54,1.04,13.26,13.95
95AA19,1778,211,6,307,0,716,273,142,10,2,97,14,1680,293,98,20,11.87,0.34,17.27,0,40.27,15.35,7.99,0.56,0.11,5.46,0.79,17.44,20.41
95BB01,2573,203,2,361,8,1317,380,171,8,5,95,23,2517,350,56,13,7.89,0.08,14.03,0.31,51.19,14.77,6.65,0.31,0.19,3.69,0.89,13.91,23.21
95BB02,1217,124,11,109,7,502,144,84,10,6,217,3,1031,90,182,30,10.19,0.90,8.96,0.58,41.25,11.83,6.90,0.82,0.49,17.83,0.25,8.73,16.48
95BB03,2362,229,8,314,12,1087,324,171,8,15,180,14,2220,282,140,40,9.70,0.34,13.29,0.51,46.02,13.72,7.24,0.34,0.64,7.62,0.59,12.70,28.57
95BB04,1722,168,13,149,8,836,246,118,14,4,151,15,1643,146,70,16,9.76,0.75,8.65,0.46,48.55,14.29,6.85,0.81,0.23,8.77,0.87,8.89,22.86
95BB05,2226,348,13,198,10,1046,317,145,8,4,115,22,2168,199,58,12,15.63,0.58,8.89,0.45,46.99,14.24,6.51,0.36,0.18,5.17,0.99,9.18,20.69
95BB06,1501,122,4,190,9,544,161,105,14,10,332,10,1191,120,310,74,8.13,0.27,12.66,0.60,36.24,10.73,7.00,0.93,0.67,22.12,0.67,10.08,23.87
95BB07,1719,155,4,219,7,796,223,104,6,12,181,12,1600,192,119,31,9.02,0.23,12.74,0.41,46.31,12.97,6.05,0.35,0.70,10.53,0.70,12.00,26.05
95BB08,1635,116,2,182,18,773,186,129,6,5,211,7,1527,159,108,25,7.09,0.12,11.13,1.10,47.28,11.38,7.89,0.37,0.31,12.91,0.43,10.41,23.15
95BB09,1899,184,7,190,4,1022,216,140,9,5,115,7,1846,188,53,9,9.69,0.37,10.01,0.21,53.82,11.37,7.37,0.47,0.26,6.06,0.37,10.18,16.98
95BB10,1939,215,40,201,7,908,270,157,4,5,122,10,1828,214,109,26,11.09,2.06,10.37,0.36,46.83,13.92,8.10,0.21,0.26,6.29,0.52,11.71,23.85
95BB11,1618,115,17,250,13,717,145,129,6,8,209,9,1466,224,152,43,7.11,1.05,15.45,0.80,44.31,8.96,7.97,0.37,0.49,12.92,0.56,15.28,28.29
95BB12,1619,139,7,183,8,638,258,102,14,9,255,6,1361,132,258,58,8.59,0.43,11.30,0.49,39.41,15.94,6.30,0.86,0.56,15.75,0.37,9.70,22.48
95BB13,2962,242,6,320,14,1309,488,206,26,9,322,20,2747,283,215,43,8.17,0.20,10.80,0.47,44.19,16.48,6.95,0.88,0.30,10.87,0.68,10.30,20.00
95BB14,2098,245,6,257,4,1037,274,153,6,7,91,18,2063,261,35,2,11.68,0.29,12.25,0.19,49.43,13.06,7.29,0.29,0.33,4.34,0.86,12.65,5.71
95BB15,2228,265,3,367,11,957,294,172,8,3,130,18,2121,350,107,20,11.89,0.13,16.47,0.49,42.95,13.20,7.72,0.36,0.13,5.83,0.81,16.50,18.69
95BB16,2089,249,10,275,8,1020,281,157,8,12,59,10,2050,275,36,10,11.92,0.48,13.16,0.38,48.83,13.45,7.52,0.38,0.57,2.82,0.48,13.41,27.78
95BB17,2391,240,7,254,12,1068,399,164,21,9,206,11,2234,214,157,47,10.04,0.29,10.62,0.50,44.67,16.69,6.86,0.88,0.38,8.62,0.46,9.58,29.94
95BB18,2666,278,38,264,15,1275,428,189,12,5,138,24,2574,281,92,21,10.43,1.43,9.90,0.56,47.82,16.05,7.09,0.45,0.19,5.18,0.90,10.92,22.83
95BB19,3411,221,16,322,20,1655,582,249,26,9,293,18,3306,313,105,25,6.48,0.47,9.44,0.59,48.52,17.06,7.30,0.76,0.26,8.59,0.53,9.47,23.81
95BB20,1961,251,0,254,6,729,277,153,9,1,265,16,1842,231,119,23,12.80,0,12.95,0.31,37.17,14.13,7.80,0.46,0.05,13.51,0.82,12.54,19.33
95BB21,2888,354,12,373,9,1279,380,223,6,12,199,41,2785,371,103,14,12.26,0.42,12.92,0.31,44.29,13.16,7.72,0.21,0.42,6.89,1.42,13.32,13.59
95BB22,1893,149,1,261,22,699,369,144,24,17,194,13,1610,174,283,88,7.87,0.05,13.79,1.16,36.93,19.49,7.61,1.27,0.90,10.25,0.69,10.81,31.10
95BB23,1972,186,14,188,15,973,300,137,7,9,136,7,1924,198,48,4,9.43,0.71,9.53,0.76,49.34,15.21,6.95,0.35,0.46,6.90,0.35,10.29,8.33
95CC01,1437,200,5,100,1,490,190,111,28,5,292,15,1253,78,182,26,13.92,0.35,6.96,0.07,34.10,13.22,7.72,1.95,0.35,20.32,1.04,6.23,14.29
95CC02,1798,306,7,236,2,764,268,138,10,4,47,16,1772,243,26,0,17.02,0.39,13.13,0.11,42.49,14.91,7.68,0.56,0.22,2.61,0.89,13.71,0
95CC03,1519,178,6,100,1,439,220,118,42,7,400,8,1200,71,317,35,11.72,0.39,6.58,0.07,28.90,14.48,7.77,2.76,0.46,26.33,0.53,5.92,11.04
95CC04,1580,220,10,217,0,663,253,132,7,8,50,20,1514,212,60,13,13.92,0.63,13.73,0,41.96,16.01,8.35,0.44,0.51,3.16,1.27,14.00,21.67
95CC05,1795,253,16,293,3,777,235,115,12,3,71,17,1742,303,53,6,14.09,0.89,16.32,0.17,43.29,13.09,6.41,0.67,0.17,3.96,0.95,17.39,11.32
95CC06,1763,165,14,143,2,819,351,149,23,5,87,5,1700,149,52,8,9.36,0.79,8.11,0.11,46.45,19.91,8.45,1.30,0.28,4.93,0.28,8.76,15.38
95CC07,2293,356,17,275,1,948,413,158,18,1,85,21,2250,287,43,5,15.53,0.74,11.99,0.04,41.34,18.01,6.89,0.78,0.04,3.71,0.92,12.76,11.63
95CC08,1441,153,10,61,0,531,249,98,18,5,303,13,1252,52,189,19,10.62,0.69,4.23,0,36.85,17.28,6.80,1.25,0.35,21.03,0.90,4.15,10.05
95CC09,2333,271,28,258,4,1180,331,165,9,3,64,20,2313,284,20,2,11.62,1.20,11.06,0.17,50.58,14.19,7.07,0.39,0.13,2.74,0.86,12.28,10.00
95CC10,1670,259,18,184,3,798,236,114,11,2,25,20,1643,196,27,6,15.51,1.08,11.02,0.18,47.78,14.13,6.83,0.66,0.12,1.50,1.20,11.93,22.22
95CC11,929,127,6,48,2,385,118,72,9,0,152,10,813,46,115,7,13.67,0.65,5.17,0.22,41.44,12.70,7.75,0.97,0,16.36,1.08,5.66,6.09
95CC12,1845,313,9,299,1,806,234,99,10,2,50,22,1814,298,27,10,16.96,0.49,16.21,0.05,43.69,12.68,5.37,0.54,0.11,2.71,1.19,16.43,37.04
95CC13,1669,241,10,242,1,760,211,130,10,6,44,14,1655,248,14,4,14.44,0.60,14.50,0.06,45.54,12.64,7.79,0.60,0.36,2.64,0.84,14.98,28.57
95CC14,1988,161,36,175,7,978,343,158,10,1,111,8,1939,203,49,8,8.10,1.81,8.80,0.35,49.20,17.25,7.95,0.50,0.05,5.58,0.40,10.47,16.33
95CC15,1916,261,39,299,8,830,213,151,8,3,88,16,1870,331,46,7,13.62,2.04,15.61,0.42,43.32,11.12,7.88,0.42,0.16,4.59,0.84,17.70,15.22
95CC16,1784,187,18,174,3,756,298,109,10,0,216,13,1685,181,99,11,10.48,1.01,9.75,0.17,42.38,16.70,6.11,0.56,0,12.11,0.73,10.74,11.11
95CC17,1873,271,12,198,1,838,322,139,17,3,54,18,1834,206,37,4,14.47,0.64,10.57,0.05,44.74,17.19,7.42,0.91,0.16,2.88,0.96,11.23,10.81
95CC18,1448,125,15,66,3,693,278,92,7,5,158,6,1344,70,104,11,8.63,1.04,4.56,0.21,47.86,19.20,6.35,0.48,0.35,10.91,0.41,5.21,10.58
95CC19,1826,270,21,261,4,802,261,127,6,1,50,23,1790,273,36,9,14.79,1.15,14.29,0.22,43.92,14.29,6.96,0.33,0.05,2.74,1.26,15.25,25.00
95CC20,2008,201,30,255,4,922,291,165,18,2,108,12,1929,260,79,25,10.01,1.49,12.70,0.20,45.92,14.49,8.22,0.90,0.10,5.38,0.60,13.48,31.65
95CC21,1869,186,31,145,8,863,238,152,9,4,220,13,1753,157,116,19,9.95,1.66,7.76,0.43,46.17,12.73,8.13,0.48,0.21,11.77,0.70,8.96,16.38
95CC22,986,119,11,80,6,373,152,56,11,5,169,4,814,70,157,20,12.07,1.12,8.11,0.61,37.83,15.42,5.68,1.12,0.51,17.14,0.41,8.60,12.74
95DD01,1203,96,18,47,4,538,260,102,12,6,115,5,1126,54,72,11,7.98,1.50,3.91,0.33,44.72,21.61,8.48,1.00,0.50,9.56,0.42,4.80,15.28
95DD02,2641,236,31,212,6,1329,459,207,13,9,126,13,2562,223,79,20,8.94,1.17,8.03,0.23,50.32,17.38,7.84,0.49,0.34,4.77,0.49,8.70,25.32
95DD03,2321,200,42,119,3,1101,474,197,24,11,136,14,2241,147,80,14,8.62,1.81,5.13,0.13,47.44,20.42,8.49,1.03,0.47,5.86,0.60,6.56,17.50
95DD04,1034,104,9,86,7,302,156,71,26,11,257,5,752,47,282,48,10.06,0.87,8.32,0.68,29.21,15.09,6.87,2.51,1.06,24.85,0.48,6.25,17.02
95DD05,1000,116,6,105,2,342,121,52,19,9,221,7,755,71,245,40,11.60,0.60,10.50,0.20,34.20,12.10,5.20,1.90,0.90,22.10,0.70,9.40,16.33
95DD06,1540,113,29,32,5,762,338,126,22,7,103,3,1487,58,52,3,7.34,1.88,2.08,0.32,49.48,21.95,8.18,1.43,0.45,6.69,0.19,3.90,5.77
