GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
95AA01,4444,3255,722,105,34,45,73,60,150,73.24,16.25,2.36,0.77,1.01,1.64,1.35,3.38
95AA02,1734,1505,89,21,4,23,9,55,28,86.79,5.13,1.21,0.23,1.33,0.52,3.17,1.61
95AA03,1822,1632,65,19,4,23,14,31,34,89.57,3.57,1.04,0.22,1.26,0.77,1.70,1.87
95AA04,3013,2791,113,12,3,40,4,6,44,92.63,3.75,0.40,0.10,1.33,0.13,0.20,1.46
95AA05,2701,2477,90,14,5,28,9,38,40,91.71,3.33,0.52,0.19,1.04,0.33,1.41,1.48
95AA06,4647,4296,165,21,9,59,21,21,55,92.45,3.55,0.45,0.19,1.27,0.45,0.45,1.18
95AA07,2140,1956,77,21,1,15,11,41,18,91.40,3.60,0.98,0.05,0.70,0.51,1.92,0.84
95AA08,1698,1465,88,25,2,19,10,61,28,86.28,5.18,1.47,0.12,1.12,0.59,3.59,1.65
95AA09,2220,1898,101,24,2,37,9,68,81,85.50,4.55,1.08,0.09,1.67,0.41,3.06,3.65
95AA10,1953,1721,101,16,4,24,6,43,38,88.12,5.17,0.82,0.20,1.23,0.31,2.20,1.95
95AA11,5364,4438,308,80,11,58,42,263,164,82.74,5.74,1.49,0.21,1.08,0.78,4.90,3.06
95AA12,2775,2582,105,12,6,33,11,2,24,93.05,3.78,0.43,0.22,1.19,0.40,0.07,0.86
95AA13,3307,2895,127,29,4,48,27,136,41,87.54,3.84,0.88,0.12,1.45,0.82,4.11,1.24
95AA14,2349,2185,83,22,2,23,4,3,27,93.02,3.53,0.94,0.09,0.98,0.17,0.13,1.15
95AA15,4186,3328,210,44,10,36,40,290,228,79.50,5.02,1.05,0.24,0.86,0.96,6.93,5.45
95AA16,1807,1490,92,31,5,16,12,123,38,82.46,5.09,1.72,0.28,0.89,0.66,6.81,2.10
95AA17,2142,1857,114,21,2,28,19,58,43,86.69,5.32,0.98,0.09,1.31,0.89,2.71,2.01
95AA18,2439,2201,85,23,1,37,10,17,65,90.24,3.49,0.94,0.04,1.52,0.41,0.70,2.67
95AA19,2687,2551,38,12,0,34,3,22,27,94.94,1.41,0.45,0,1.27,0.11,0.82,1.00
95BB01,3609,3384,98,39,3,24,12,8,41,93.77,2.72,1.08,0.08,0.67,0.33,0.22,1.14
95BB02,2347,2122,74,24,9,40,13,36,29,90.41,3.15,1.02,0.38,1.70,0.55,1.53,1.24
95BB03,4219,3784,239,64,11,38,26,15,42,89.69,5.66,1.52,0.26,0.90,0.62,0.36,1.00
95BB04,3048,2777,129,21,5,39,15,17,45,91.11,4.23,0.69,0.16,1.28,0.49,0.56,1.48
95BB05,3401,3103,148,25,5,45,13,5,57,91.24,4.35,0.74,0.15,1.32,0.38,0.15,1.68
95BB06,2870,2564,101,26,3,23,19,58,76,89.34,3.52,0.91,0.10,0.80,0.66,2.02,2.65
95BB07,2953,2681,100,30,7,33,9,41,52,90.79,3.39,1.02,0.24,1.12,0.30,1.39,1.76
95BB08,2625,2418,83,26,1,21,10,28,38,92.11,3.16,0.99,0.04,0.80,0.38,1.07,1.45
95BB09,2943,2680,100,33,6,29,13,31,51,91.06,3.40,1.12,0.20,0.99,0.44,1.05,1.73
95BB10,3327,2898,198,50,15,53,11,11,91,87.11,5.95,1.50,0.45,1.59,0.33,0.33,2.74
95BB11,2955,2664,144,34,9,36,11,10,47,90.15,4.87,1.15,0.30,1.22,0.37,0.34,1.59
95BB12,2776,2506,110,26,11,25,14,25,59,90.27,3.96,0.94,0.40,0.90,0.50,0.90,2.13
95BB13,4444,4075,172,42,12,26,33,36,48,91.70,3.87,0.95,0.27,0.59,0.74,0.81,1.08
95BB14,3116,2756,169,39,5,41,11,47,48,88.45,5.42,1.25,0.16,1.32,0.35,1.51,1.54
95BB15,3489,3228,102,34,4,38,8,31,44,92.52,2.92,0.97,0.11,1.09,0.23,0.89,1.26
95BB16,3136,2906,114,18,3,43,5,18,29,92.67,3.64,0.57,0.10,1.37,0.16,0.57,0.92
95BB17,3556,3234,166,41,5,26,25,22,37,90.94,4.67,1.15,0.14,0.73,0.70,0.62,1.04
95BB18,4279,3890,224,43,9,26,24,13,50,90.91,5.23,1.00,0.21,0.61,0.56,0.30,1.17
95BB19,4788,4427,152,42,10,25,21,27,84,92.46,3.17,0.88,0.21,0.52,0.44,0.56,1.75
95BB20,3413,3132,138,20,5,57,9,19,33,91.77,4.04,0.59,0.15,1.67,0.26,0.56,0.97
95BB21,4719,4301,208,59,8,33,18,49,43,91.14,4.41,1.25,0.17,0.70,0.38,1.04,0.91
95BB22,3040,2759,132,39,2,20,27,21,40,90.76,4.34,1.28,0.07,0.66,0.89,0.69,1.32
95BB23,3025,2759,83,31,6,41,14,38,53,91.21,2.74,1.02,0.20,1.36,0.46,1.26,1.75
95CC01,2558,2160,79,17,1,90,11,157,43,84.44,3.09,0.66,0.04,3.52,0.43,6.14,1.68
95CC02,2725,2534,67,8,4,69,3,17,23,92.99,2.46,0.29,0.15,2.53,0.11,0.62,0.84
95CC03,2817,2192,77,18,0,114,14,324,78,77.81,2.73,0.64,0,4.05,0.50,11.50,2.77
95CC04,2440,2191,47,6,1,136,3,41,15,89.80,1.93,0.25,0.04,5.57,0.12,1.68,0.61
95CC05,2774,2505,69,7,4,49,9,104,27,90.30,2.49,0.25,0.14,1.77,0.32,3.75,0.97
95CC06,2776,2373,96,18,7,114,11,109,48,85.48,3.46,0.65,0.25,4.11,0.40,3.93,1.73
95CC07,3475,3010,108,16,2,252,4,49,34,86.62,3.11,0.46,0.06,7.25,0.12,1.41,0.98
95CC08,2565,2235,75,10,3,80,2,125,35,87.13,2.92,0.39,0.12,3.12,0.08,4.87,1.36
95CC09,3354,3106,83,13,9,44,9,59,31,92.61,2.47,0.39,0.27,1.31,0.27,1.76,0.92
95CC10,2577,2367,68,10,1,45,9,43,34,91.85,2.64,0.39,0.04,1.75,0.35,1.67,1.32
95CC11,1795,1473,67,9,2,112,4,116,12,82.06,3.73,0.50,0.11,6.24,0.22,6.46,0.67
95CC12,2785,2627,36,15,3,60,6,17,21,94.33,1.29,0.54,0.11,2.15,0.22,0.61,0.75
95CC13,2474,2225,48,8,1,139,7,28,18,89.94,1.94,0.32,0.04,5.62,0.28,1.13,0.73
95CC14,3035,2788,108,23,5,38,12,30,31,91.86,3.56,0.76,0.16,1.25,0.40,0.99,1.02
95CC15,2903,2674,69,15,0,35,10,80,20,92.11,2.38,0.52,0,1.21,0.34,2.76,0.69
95CC16,2820,2571,91,11,5,42,14,59,27,91.17,3.23,0.39,0.18,1.49,0.50,2.09,0.96
95CC17,2730,2478,62,9,0,105,4,43,29,90.77,2.27,0.33,0,3.85,0.15,1.58,1.06
95CC18,2342,1890,93,24,14,92,8,161,60,80.70,3.97,1.02,0.60,3.93,0.34,6.87,2.56
95CC19,2720,2509,72,13,3,56,7,29,31,92.24,2.65,0.48,0.11,2.06,0.26,1.07,1.14
95CC20,3010,2654,113,25,12,39,14,120,33,88.17,3.75,0.83,0.40,1.30,0.47,3.99,1.10
95CC21,2925,2617,137,34,1,45,5,56,30,89.47,4.68,1.16,0.03,1.54,0.17,1.91,1.03
95CC22,1740,1400,74,17,2,46,15,137,49,80.46,4.25,0.98,0.11,2.64,0.86,7.87,2.82
95DD01,2099,1843,70,20,1,23,13,83,46,87.80,3.33,0.95,0.05,1.10,0.62,3.95,2.19
95DD02,3888,3634,122,40,3,8,18,12,51,93.47,3.14,1.03,0.08,0.21,0.46,0.31,1.31
95DD03,3503,3028,125,31,6,33,18,186,76,86.44,3.57,0.88,0.17,0.94,0.51,5.31,2.17
