GeographyCode,KS209NI0001,KS209NI0002,KS209NI0003,KS209NI0004,KS209NI0005,KS209NI0006,KS209NI0007,KS209NI0008,KS209NI0009,KS209NI0010,KS209NI0011,KS209NI0012,KS209NI0013,KS209NI0014,KS209NI0015
95AA01,4202,115,49,13,129,23,329,3873,2.74,1.17,0.31,3.07,0.55,7.83,92.17
95AA02,1683,42,13,4,33,7,99,1584,2.50,0.77,0.24,1.96,0.42,5.88,94.12
95AA03,1736,26,8,3,17,6,60,1676,1.50,0.46,0.17,0.98,0.35,3.46,96.54
95AA04,2922,67,23,9,77,11,187,2735,2.29,0.79,0.31,2.64,0.38,6.40,93.60
95AA05,2586,161,58,13,153,38,423,2163,6.23,2.24,0.50,5.92,1.47,16.36,83.64
95AA06,4421,292,137,42,305,59,835,3586,6.60,3.10,0.95,6.90,1.33,18.89,81.11
95AA07,2070,30,7,3,13,6,59,2011,1.45,0.34,0.14,0.63,0.29,2.85,97.15
95AA08,1616,53,12,4,28,7,104,1512,3.28,0.74,0.25,1.73,0.43,6.44,93.56
95AA09,2105,40,12,2,13,9,76,2029,1.90,0.57,0.10,0.62,0.43,3.61,96.39
95AA10,1884,40,11,3,33,6,93,1791,2.12,0.58,0.16,1.75,0.32,4.94,95.06
95AA11,5109,141,34,6,98,22,301,4808,2.76,0.67,0.12,1.92,0.43,5.89,94.11
95AA12,2690,23,3,5,7,3,41,2649,0.86,0.11,0.19,0.26,0.11,1.52,98.48
95AA13,3147,164,59,12,160,43,438,2709,5.21,1.87,0.38,5.08,1.37,13.92,86.08
95AA14,2275,89,32,9,60,19,209,2066,3.91,1.41,0.40,2.64,0.84,9.19,90.81
95AA15,3906,98,37,20,57,22,234,3672,2.51,0.95,0.51,1.46,0.56,5.99,94.01
95AA16,1722,30,7,3,10,4,54,1668,1.74,0.41,0.17,0.58,0.23,3.14,96.86
95AA17,2044,52,15,6,29,15,117,1927,2.54,0.73,0.29,1.42,0.73,5.72,94.28
95AA18,2369,36,8,2,25,7,78,2291,1.52,0.34,0.08,1.06,0.30,3.29,96.71
95AA19,2555,238,73,22,157,56,546,2009,9.32,2.86,0.86,6.14,2.19,21.37,78.63
95BB01,3485,52,19,5,26,10,112,3373,1.49,0.55,0.14,0.75,0.29,3.21,96.79
95BB02,2280,59,7,3,14,0,83,2197,2.59,0.31,0.13,0.61,0,3.64,96.36
95BB03,4058,43,5,5,31,6,90,3968,1.06,0.12,0.12,0.76,0.15,2.22,97.78
95BB04,2959,36,9,1,8,5,59,2900,1.22,0.30,0.03,0.27,0.17,1.99,98.01
95BB05,3301,34,12,1,13,5,65,3236,1.03,0.36,0.03,0.39,0.15,1.97,98.03
95BB06,2778,52,8,10,21,4,95,2683,1.87,0.29,0.36,0.76,0.14,3.42,96.58
95BB07,2850,41,6,2,9,1,59,2791,1.44,0.21,0.07,0.32,0.04,2.07,97.93
95BB08,2508,32,7,2,19,9,69,2439,1.28,0.28,0.08,0.76,0.36,2.75,97.25
95BB09,2850,16,1,2,11,5,35,2815,0.56,0.04,0.07,0.39,0.18,1.23,98.77
95BB10,3242,40,13,5,32,12,102,3140,1.23,0.40,0.15,0.99,0.37,3.15,96.85
95BB11,2868,25,3,3,18,6,55,2813,0.87,0.10,0.10,0.63,0.21,1.92,98.08
95BB12,2651,35,5,4,16,4,64,2587,1.32,0.19,0.15,0.60,0.15,2.41,97.59
95BB13,4271,39,7,1,9,14,70,4201,0.91,0.16,0.02,0.21,0.33,1.64,98.36
95BB14,3036,26,7,0,24,6,63,2973,0.86,0.23,0,0.79,0.20,2.08,97.92
95BB15,3358,136,34,8,99,30,307,3051,4.05,1.01,0.24,2.95,0.89,9.14,90.86
95BB16,3052,27,5,5,12,8,57,2995,0.88,0.16,0.16,0.39,0.26,1.87,98.13
95BB17,3406,38,5,3,30,3,79,3327,1.12,0.15,0.09,0.88,0.09,2.32,97.68
95BB18,4094,28,9,0,26,7,70,4024,0.68,0.22,0,0.64,0.17,1.71,98.29
