GeographyCode,KS201NI0001,KS201NI0002,KS201NI0003,KS201NI0004,KS201NI0005,KS201NI0006,KS201NI0007,KS201NI0008,KS201NI0009,KS201NI0010,KS201NI0011,KS201NI0012,KS201NI0013,KS201NI0014,KS201NI0015,KS201NI0016,KS201NI0017,KS201NI0018,KS201NI0019,KS201NI0020,KS201NI0021,KS201NI0022,KS201NI0023,KS201NI0024,KS201NI0025
95AA01,4444,4319,3,1,6,8,0,12,12,28,26,21,8,97.19,0.07,0.02,0.14,0.18,0,0.27,0.27,0.63,0.59,0.47,0.18
95AA02,1734,1714,4,1,3,1,0,0,1,0,0,5,5,98.85,0.23,0.06,0.17,0.06,0,0,0.06,0,0,0.29,0.29
95AA03,1822,1794,1,0,0,4,0,7,1,1,0,11,3,98.46,0.05,0,0,0.22,0,0.38,0.05,0.05,0,0.60,0.16
95AA04,3013,2989,3,0,0,5,0,1,0,2,2,10,1,99.20,0.10,0,0,0.17,0,0.03,0,0.07,0.07,0.33,0.03
95AA05,2701,2680,0,1,3,0,0,3,1,8,1,3,1,99.22,0,0.04,0.11,0,0,0.11,0.04,0.30,0.04,0.11,0.04
95AA06,4647,4592,0,1,8,1,0,4,0,11,0,26,4,98.82,0,0.02,0.17,0.02,0,0.09,0,0.24,0,0.56,0.09
95AA07,2140,2130,2,0,1,0,0,0,0,0,0,6,1,99.53,0.09,0,0.05,0,0,0,0,0,0,0.28,0.05
95AA08,1698,1674,6,0,4,0,2,6,0,0,0,5,1,98.59,0.35,0,0.24,0,0.12,0.35,0,0,0,0.29,0.06
95AA09,2220,2117,38,0,37,10,0,2,0,0,1,14,1,95.36,1.71,0,1.67,0.45,0,0.09,0,0,0.05,0.63,0.05
95AA10,1953,1902,25,0,9,0,1,1,0,7,1,7,0,97.39,1.28,0,0.46,0,0.05,0.05,0,0.36,0.05,0.36,0
95AA11,5364,5174,31,12,59,9,0,48,0,4,1,22,4,96.46,0.58,0.22,1.10,0.17,0,0.89,0,0.07,0.02,0.41,0.07
95AA12,2775,2768,2,0,0,0,0,0,0,1,0,4,0,99.75,0.07,0,0,0,0,0,0,0.04,0,0.14,0
95AA13,3307,3275,13,2,1,0,0,1,1,1,0,13,0,99.03,0.39,0.06,0.03,0,0,0.03,0.03,0.03,0,0.39,0
95AA14,2349,2338,0,0,6,0,0,0,0,5,0,0,0,99.53,0,0,0.26,0,0,0,0,0.21,0,0,0
95AA15,4186,3921,18,0,156,3,0,44,3,7,0,32,2,93.67,0.43,0,3.73,0.07,0,1.05,0.07,0.17,0,0.76,0.05
95AA16,1807,1765,8,0,6,1,0,8,2,9,0,7,1,97.68,0.44,0,0.33,0.06,0,0.44,0.11,0.50,0,0.39,0.06
95AA17,2142,2086,6,0,34,1,0,0,0,2,1,12,0,97.39,0.28,0,1.59,0.05,0,0,0,0.09,0.05,0.56,0
95AA18,2439,2390,8,2,15,3,0,9,0,0,0,11,1,97.99,0.33,0.08,0.62,0.12,0,0.37,0,0,0,0.45,0.04
95AA19,2687,2663,0,0,18,0,0,0,1,0,0,4,1,99.11,0,0,0.67,0,0,0,0.04,0,0,0.15,0.04
95BB01,3609,3576,5,0,1,0,1,2,1,1,7,13,2,99.09,0.14,0,0.03,0,0.03,0.06,0.03,0.03,0.19,0.36,0.06
95BB02,2347,2328,1,1,0,0,14,0,0,2,0,1,0,99.19,0.04,0.04,0,0,0.60,0,0,0.09,0,0.04,0
95BB03,4219,4192,3,0,3,0,5,3,0,2,0,4,7,99.36,0.07,0,0.07,0,0.12,0.07,0,0.05,0,0.09,0.17
95BB04,3048,3022,9,0,3,0,8,0,0,1,1,4,0,99.15,0.30,0,0.10,0,0.26,0,0,0.03,0.03,0.13,0
95BB05,3401,3353,6,0,9,0,0,3,0,1,1,25,3,98.59,0.18,0,0.26,0,0,0.09,0,0.03,0.03,0.74,0.09
95BB06,2870,2800,14,0,3,5,21,10,0,0,1,12,4,97.56,0.49,0,0.10,0.17,0.73,0.35,0,0,0.03,0.42,0.14
95BB07,2953,2914,1,0,0,5,7,10,0,1,0,10,5,98.68,0.03,0,0,0.17,0.24,0.34,0,0.03,0,0.34,0.17
95BB08,2625,2588,17,0,5,0,0,4,0,0,0,9,2,98.59,0.65,0,0.19,0,0,0.15,0,0,0,0.34,0.08
95BB09,2943,2918,5,0,1,0,1,9,0,0,0,8,1,99.15,0.17,0,0.03,0,0.03,0.31,0,0,0,0.27,0.03
95BB10,3327,3246,0,2,10,0,0,45,0,4,1,14,5,97.57,0,0.06,0.30,0,0,1.35,0,0.12,0.03,0.42,0.15
95BB11,2955,2926,0,1,4,1,9,8,0,1,0,4,1,99.02,0,0.03,0.14,0.03,0.30,0.27,0,0.03,0,0.14,0.03
95BB12,2776,2727,12,0,0,0,22,2,0,0,0,11,2,98.23,0.43,0,0,0,0.79,0.07,0,0,0,0.40,0.07
95BB13,4444,4399,7,0,3,0,20,2,0,1,0,11,1,98.99,0.16,0,0.07,0,0.45,0.05,0,0.02,0,0.25,0.02
95BB14,3116,3094,2,0,1,0,0,4,0,1,0,8,6,99.29,0.06,0,0.03,0,0,0.13,0,0.03,0,0.26,0.19
95BB15,3489,3464,1,2,4,0,0,10,0,2,1,4,1,99.28,0.03,0.06,0.11,0,0,0.29,0,0.06,0.03,0.11,0.03
95BB16,3136,3126,0,0,0,0,0,1,0,1,0,7,1,99.68,0,0,0,0,0,0.03,0,0.03,0,0.22,0.03
95BB17,3556,3534,11,1,0,0,0,0,0,0,0,5,5,99.38,0.31,0.03,0,0,0,0,0,0,0,0.14,0.14
95BB18,4279,4259,7,0,2,0,0,3,0,1,0,6,1,99.53,0.16,0,0.05,0,0,0.07,0,0.02,0,0.14,0.02
95BB19,4788,4703,31,0,5,0,19,5,0,4,1,18,2,98.22,0.65,0,0.10,0,0.40,0.10,0,0.08,0.02,0.38,0.04
