GeographyCode,KS610NI0001,KS610NI0002,KS610NI0003,KS610NI0004,KS610NI0005,KS610NI0006,KS610NI0007,KS610NI0008,KS610NI0009,KS610NI0010,KS610NI0011,KS610NI0012,KS610NI0013,KS610NI0014,KS610NI0015,KS610NI0016,KS610NI0017,KS610NI0018,KS610NI0019
95AA01,980,84,212,92,223,37,131,107,17,77,8.57,21.63,9.39,22.76,3.78,13.37,10.92,1.73,7.86
95AA02,401,13,45,31,74,14,76,65,11,72,3.24,11.22,7.73,18.45,3.49,18.95,16.21,2.74,17.96
95AA03,384,13,46,17,50,19,93,65,8,73,3.39,11.98,4.43,13.02,4.95,24.22,16.93,2.08,19.01
95AA04,722,54,150,81,153,38,110,70,9,57,7.48,20.78,11.22,21.19,5.26,15.24,9.70,1.25,7.89
95AA05,619,39,145,44,127,17,128,59,14,46,6.30,23.42,7.11,20.52,2.75,20.68,9.53,2.26,7.43
95AA06,1062,50,155,88,264,28,211,168,12,86,4.71,14.60,8.29,24.86,2.64,19.87,15.82,1.13,8.10
95AA07,491,34,96,22,110,21,90,49,10,59,6.92,19.55,4.48,22.40,4.28,18.33,9.98,2.04,12.02
95AA08,365,8,37,27,47,8,85,62,16,75,2.19,10.14,7.40,12.88,2.19,23.29,16.99,4.38,20.55
95AA09,461,34,60,27,66,15,84,67,15,93,7.38,13.02,5.86,14.32,3.25,18.22,14.53,3.25,20.17
95AA10,406,28,69,16,73,12,73,55,11,69,6.90,17.00,3.94,17.98,2.96,17.98,13.55,2.71,17.00
95AA11,1341,98,287,100,275,38,211,159,39,134,7.31,21.40,7.46,20.51,2.83,15.73,11.86,2.91,9.99
95AA12,665,72,172,58,155,18,78,65,9,38,10.83,25.86,8.72,23.31,2.71,11.73,9.77,1.35,5.71
95AA13,782,52,178,59,162,22,133,67,28,81,6.65,22.76,7.54,20.72,2.81,17.01,8.57,3.58,10.36
95AA14,558,36,137,50,128,22,68,70,6,41,6.45,24.55,8.96,22.94,3.94,12.19,12.54,1.08,7.35
95AA15,1058,53,212,74,204,28,186,125,17,159,5.01,20.04,6.99,19.28,2.65,17.58,11.81,1.61,15.03
95AA16,397,18,34,17,75,10,65,68,14,96,4.53,8.56,4.28,18.89,2.52,16.37,17.13,3.53,24.18
95AA17,500,36,83,26,87,18,96,55,17,82,7.20,16.60,5.20,17.40,3.60,19.20,11.00,3.40,16.40
95AA18,527,74,134,52,104,13,56,63,8,23,14.04,25.43,9.87,19.73,2.47,10.63,11.95,1.52,4.36
95AA19,554,24,133,40,106,27,101,64,6,53,4.33,24.01,7.22,19.13,4.87,18.23,11.55,1.08,9.57
95BB01,923,68,151,78,282,27,149,93,9,66,7.37,16.36,8.45,30.55,2.93,16.14,10.08,0.98,7.15
95BB02,447,24,59,22,95,8,74,84,15,66,5.37,13.20,4.92,21.25,1.79,16.55,18.79,3.36,14.77
95BB03,829,49,139,58,211,26,164,97,11,74,5.91,16.77,7.00,25.45,3.14,19.78,11.70,1.33,8.93
95BB04,633,45,138,45,155,16,95,82,6,51,7.11,21.80,7.11,24.49,2.53,15.01,12.95,0.95,8.06
95BB05,829,66,153,67,204,41,140,72,13,73,7.96,18.46,8.08,24.61,4.95,16.89,8.69,1.57,8.81
95BB06,604,33,70,46,111,7,118,108,12,99,5.46,11.59,7.62,18.38,1.16,19.54,17.88,1.99,16.39
95BB07,665,44,105,39,177,9,113,107,9,62,6.62,15.79,5.86,26.62,1.35,16.99,16.09,1.35,9.32
95BB08,629,36,76,38,185,22,102,97,12,61,5.72,12.08,6.04,29.41,3.50,16.22,15.42,1.91,9.70
95BB09,745,55,154,62,220,15,93,70,12,64,7.38,20.67,8.32,29.53,2.01,12.48,9.40,1.61,8.59
95BB10,733,68,160,77,163,19,110,77,12,47,9.28,21.83,10.50,22.24,2.59,15.01,10.50,1.64,6.41
95BB11,615,42,83,38,117,20,147,92,3,73,6.83,13.50,6.18,19.02,3.25,23.90,14.96,0.49,11.87
95BB12,577,40,90,45,118,18,115,88,8,55,6.93,15.60,7.80,20.45,3.12,19.93,15.25,1.39,9.53
95BB13,1062,72,168,72,281,23,179,152,11,104,6.78,15.82,6.78,26.46,2.17,16.85,14.31,1.04,9.79
95BB14,746,64,207,74,185,15,89,54,12,46,8.58,27.75,9.92,24.80,2.01,11.93,7.24,1.61,6.17
95BB15,727,48,134,58,198,31,114,96,5,43,6.60,18.43,7.98,27.24,4.26,15.68,13.20,0.69,5.91
95BB16,692,58,176,69,200,18,69,51,6,45,8.38,25.43,9.97,28.90,2.60,9.97,7.37,0.87,6.50
95BB17,859,66,122,71,204,23,161,115,10,87,7.68,14.20,8.27,23.75,2.68,18.74,13.39,1.16,10.13
95BB18,940,71,163,81,231,18,192,122,10,52,7.55,17.34,8.62,24.57,1.91,20.43,12.98,1.06,5.53
95BB19,1228,67,197,80,348,22,227,187,14,86,5.46,16.04,6.51,28.34,1.79,18.49,15.23,1.14,7.00
95BB20,659,45,112,62,195,14,109,61,5,56,6.83,17.00,9.41,29.59,2.12,16.54,9.26,0.76,8.50
95BB21,1007,62,140,73,235,30,243,118,19,87,6.16,13.90,7.25,23.34,2.98,24.13,11.72,1.89,8.64
95BB22,646,30,87,39,130,16,132,102,12,98,4.64,13.47,6.04,20.12,2.48,20.43,15.79,1.86,15.17
95BB23,728,41,160,52,184,16,100,118,12,45,5.63,21.98,7.14,25.27,2.20,13.74,16.21,1.65,6.18
95CC01,505,25,92,29,82,18,94,57,16,92,4.95,18.22,5.74,16.24,3.56,18.61,11.29,3.17,18.22
95CC02,593,28,148,36,134,30,113,42,14,48,4.72,24.96,6.07,22.60,5.06,19.06,7.08,2.36,8.09
95CC03,507,18,63,28,71,21,104,57,17,128,3.55,12.43,5.52,14.00,4.14,20.51,11.24,3.35,25.25
95CC04,475,22,95,26,75,23,108,62,12,52,4.63,20.00,5.47,15.79,4.84,22.74,13.05,2.53,10.95
95CC05,529,31,117,36,106,26,100,55,9,49,5.86,22.12,6.81,20.04,4.91,18.90,10.40,1.70,9.26
95CC06,653,48,152,42,136,27,112,68,12,56,7.35,23.28,6.43,20.83,4.13,17.15,10.41,1.84,8.58
95CC07,674,33,152,44,154,26,131,61,13,60,4.90,22.55,6.53,22.85,3.86,19.44,9.05,1.93,8.90
95CC08,465,25,101,26,74,17,97,51,13,61,5.38,21.72,5.59,15.91,3.66,20.86,10.97,2.80,13.12
95CC09,780,61,180,49,171,41,144,65,22,47,7.82,23.08,6.28,21.92,5.26,18.46,8.33,2.82,6.03
95CC10,538,44,142,41,116,23,80,43,14,35,8.18,26.39,7.62,21.56,4.28,14.87,7.99,2.60,6.51
95CC11,332,14,63,13,65,13,80,32,5,47,4.22,18.98,3.92,19.58,3.92,24.10,9.64,1.51,14.16
95CC12,583,38,132,35,126,29,107,57,9,50,6.52,22.64,6.00,21.61,4.97,18.35,9.78,1.54,8.58
95CC13,532,30,120,31,124,26,85,54,8,54,5.64,22.56,5.83,23.31,4.89,15.98,10.15,1.50,10.15
95CC14,692,45,147,65,149,23,123,76,13,51,6.50,21.24,9.39,21.53,3.32,17.77,10.98,1.88,7.37
95CC15,604,32,139,43,131,32,94,63,20,50,5.30,23.01,7.12,21.69,5.30,15.56,10.43,3.31,8.28
95CC16,581,33,90,28,102,25,128,90,11,74,5.68,15.49,4.82,17.56,4.30,22.03,15.49,1.89,12.74
95CC17,614,45,148,38,116,21,123,61,5,57,7.33,24.10,6.19,18.89,3.42,20.03,9.93,0.81,9.28
95CC18,522,35,131,46,102,19,80,41,10,58,6.70,25.10,8.81,19.54,3.64,15.33,7.85,1.92,11.11
95CC19,592,43,146,41,102,27,114,59,14,46,7.26,24.66,6.93,17.23,4.56,19.26,9.97,2.36,7.77
95CC20,704,50,151,43,151,18,139,78,18,56,7.10,21.45,6.11,21.45,2.56,19.74,11.08,2.56,7.95
95CC21,634,38,106,56,125,22,113,83,21,70,5.99,16.72,8.83,19.72,3.47,17.82,13.09,3.31,11.04
95CC22,349,15,52,15,48,16,77,52,7,67,4.30,14.90,4.30,13.75,4.58,22.06,14.90,2.01,19.20
95DD01,416,29,111,30,86,12,48,47,13,40,6.97,26.68,7.21,20.67,2.88,11.54,11.30,3.13,9.62
95DD02,960,48,184,66,203,32,168,150,29,80,5.00,19.17,6.88,21.15,3.33,17.50,15.63,3.02,8.33
95DD03,876,59,238,75,165,17,125,103,30,64,6.74,27.17,8.56,18.84,1.94,14.27,11.76,3.42,7.31
95DD04,366,19,14,11,56,16,78,81,16,75,5.19,3.83,3.01,15.30,4.37,21.31,22.13,4.37,20.49
95DD05,336,14,17,14,44,23,61,77,20,66,4.17,5.06,4.17,13.10,6.85,18.15,22.92,5.95,19.64
95DD06,550,39,144,36,127,15,79,53,8,49,7.09,26.18,6.55,23.09,2.73,14.36,9.64,1.45,8.91
95DD07,698,48,150,46,148,18,110,93,21,64,6.88,21.49,6.59,21.20,2.58,15.76,13.32,3.01,9.17
95DD08,440,18,50,34,64,16,57,69,41,91,4.09,11.36,7.73,14.55,3.64,12.95,15.68,9.32,20.68
95DD09,560,26,144,33,144,25,75,65,13,35,4.64,25.71,5.89,25.71,4.46,13.39,11.61,2.32,6.25
95DD10,626,21,86,28,128,11,133,103,28,88,3.35,13.74,4.47,20.45,1.76,21.25,16.45,4.47,14.06
95DD11,468,34,50,20,79,11,76,84,30,84,7.26,10.68,4.27,16.88,2.35,16.24,17.95,6.41,17.95
95DD12,530,34,98,28,133,26,81,67,14,49,6.42,18.49,5.28,25.09,4.91,15.28,12.64,2.64,9.25
95DD13,340,10,39,20,62,12,64,53,26,54,2.94,11.47,5.88,18.24,3.53,18.82,15.59,7.65,15.88
95DD14,802,57,213,72,147,9,127,101,24,52,7.11,26.56,8.98,18.33,1.12,15.84,12.59,2.99,6.48
95DD15,774,57,200,49,156,28,129,85,18,52,7.36,25.84,6.33,20.16,3.62,16.67,10.98,2.33,6.72
95DD16,693,68,150,41,164,24,92,92,10,52,9.81,21.65,5.92,23.67,3.46,13.28,13.28,1.44,7.50
95DD17,800,47,219,56,176,33,125,89,12,43,5.88,27.38,7.00,22.00,4.13,15.63,11.13,1.50,5.38
95DD18,399,19,45,28,71,12,76,75,18,55,4.76,11.28,7.02,17.79,3.01,19.05,18.80,4.51,13.78
95DD19,786,57,115,61,182,26,149,98,17,81,7.25,14.63,7.76,23.16,3.31,18.96,12.47,2.16,10.31
95DD20,324,11,15,17,50,5,64,83,9,70,3.40,4.63,5.25,15.43,1.54,19.75,25.62,2.78,21.60
95DD21,520,33,72,25,125,13,69,72,34,77,6.35,13.85,4.81,24.04,2.50,13.27,13.85,6.54,14.81
95DD22,671,32,161,40,157,27,106,88,15,45,4.77,23.99,5.96,23.40,4.02,15.80,13.11,2.24,6.71
95DD23,572,28,132,53,129,31,88,54,8,49,4.90,23.08,9.27,22.55,5.42,15.38,9.44,1.40,8.57
95DD24,625,35,134,41,117,12,96,106,18,66,5.60,21.44,6.56,18.72,1.92,15.36,16.96,2.88,10.56
95EE01,359,17,62,23,102,22,66,32,4,31,4.74,17.27,6.41,28.41,6.13,18.38,8.91,1.11,8.64
95EE02,428,29,92,30,84,19,88,47,6,33,6.78,21.50,7.01,19.63,4.44,20.56,10.98,1.40,7.71
