GeographyCode,KS107NI0001,KS107NI0002,KS107NI0003,KS107NI0004,KS107NI0005,KS107NI0006,KS107NI0007,KS107NI0008,KS107NI0009,KS107NI0010,KS107NI0011,KS107NI0012,KS107NI0013,KS107NI0014,KS107NI0015,KS107NI0016,KS107NI0017,KS107NI0018,KS107NI0019,KS107NI0020,KS107NI0021
95AA01,60,26,21,13,4,1,3,0,56,25,18,13,43.33,35.00,21.67,25.00,75.00,0,44.64,32.14,23.21
95AA02,60,28,17,15,8,0,5,3,52,28,12,12,46.67,28.33,25.00,0,62.50,37.50,53.85,23.08,23.08
95AA03,102,39,15,48,5,0,4,1,97,39,11,47,38.24,14.71,47.06,0,80.00,20.00,40.21,11.34,48.45
95AA04,31,13,7,11,3,0,2,1,28,13,5,10,41.94,22.58,35.48,0,66.67,33.33,46.43,17.86,35.71
95AA05,57,15,21,21,6,0,4,2,51,15,17,19,26.32,36.84,36.84,0,66.67,33.33,29.41,33.33,37.25
95AA06,177,78,36,63,12,1,3,8,165,77,33,55,44.07,20.34,35.59,8.33,25.00,66.67,46.67,20.00,33.33
95AA07,56,13,18,25,12,2,3,7,44,11,15,18,23.21,32.14,44.64,16.67,25.00,58.33,25.00,34.09,40.91
95AA08,100,36,18,46,4,0,2,2,96,36,16,44,36.00,18.00,46.00,0,50.00,50.00,37.50,16.67,45.83
95AA09,129,40,27,62,6,0,2,4,123,40,25,58,31.01,20.93,48.06,0,33.33,66.67,32.52,20.33,47.15
95AA10,94,33,15,46,4,1,1,2,90,32,14,44,35.11,15.96,48.94,25.00,25.00,50.00,35.56,15.56,48.89
95AA11,127,41,48,38,8,1,4,3,119,40,44,35,32.28,37.80,29.92,12.50,50.00,37.50,33.61,36.97,29.41
95AA12,33,13,13,7,5,0,4,1,28,13,9,6,39.39,39.39,21.21,0,80.00,20.00,46.43,32.14,21.43
95AA13,115,33,38,44,5,1,2,2,110,32,36,42,28.70,33.04,38.26,20.00,40.00,40.00,29.09,32.73,38.18
95AA14,30,8,9,13,5,0,5,0,25,8,4,13,26.67,30.00,43.33,0,100.00,0,32.00,16.00,52.00
95AA15,193,79,44,70,8,2,5,1,185,77,39,69,40.93,22.80,36.27,25.00,62.50,12.50,41.62,21.08,37.30
95AA16,76,29,13,34,3,0,0,3,73,29,13,31,38.16,17.11,44.74,0,0,100.00,39.73,17.81,42.47
95AA17,106,36,28,42,9,1,4,4,97,35,24,38,33.96,26.42,39.62,11.11,44.44,44.44,36.08,24.74,39.18
95AA18,42,11,20,11,5,1,4,0,37,10,16,11,26.19,47.62,26.19,20.00,80.00,0,27.03,43.24,29.73
95AA19,70,20,23,27,11,0,6,5,59,20,17,22,28.57,32.86,38.57,0,54.55,45.45,33.90,28.81,37.29
95BB01,77,24,29,24,12,1,6,5,65,23,23,19,31.17,37.66,31.17,8.33,50.00,41.67,35.38,35.38,29.23
95BB02,85,29,16,40,11,1,5,5,74,28,11,35,34.12,18.82,47.06,9.09,45.45,45.45,37.84,14.86,47.30
95BB03,121,40,37,44,20,4,11,5,101,36,26,39,33.06,30.58,36.36,20.00,55.00,25.00,35.64,25.74,38.61
95BB04,60,19,18,23,6,1,3,2,54,18,15,21,31.67,30.00,38.33,16.67,50.00,33.33,33.33,27.78,38.89
95BB05,65,21,23,21,6,0,4,2,59,21,19,19,32.31,35.38,32.31,0,66.67,33.33,35.59,32.20,32.20
95BB06,141,54,29,58,13,4,4,5,128,50,25,53,38.30,20.57,41.13,30.77,30.77,38.46,39.06,19.53,41.41
95BB07,119,46,29,44,8,1,4,3,111,45,25,41,38.66,24.37,36.97,12.50,50.00,37.50,40.54,22.52,36.94
95BB08,70,28,23,19,8,1,6,1,62,27,17,18,40.00,32.86,27.14,12.50,75.00,12.50,43.55,27.42,29.03
95BB09,55,23,20,12,2,0,2,0,53,23,18,12,41.82,36.36,21.82,0,100.00,0,43.40,33.96,22.64
95BB10,82,25,26,31,9,0,3,6,73,25,23,25,30.49,31.71,37.80,0,33.33,66.67,34.25,31.51,34.25
95BB11,111,47,19,45,7,2,2,3,104,45,17,42,42.34,17.12,40.54,28.57,28.57,42.86,43.27,16.35,40.38
95BB12,127,48,23,56,8,1,4,3,119,47,19,53,37.80,18.11,44.09,12.50,50.00,37.50,39.50,15.97,44.54
95BB13,176,61,44,71,12,0,8,4,164,61,36,67,34.66,25.00,40.34,0,66.67,33.33,37.20,21.95,40.85
95BB14,48,20,18,10,4,3,1,0,44,17,17,10,41.67,37.50,20.83,75.00,25.00,0,38.64,38.64,22.73
95BB15,97,24,31,42,4,0,3,1,93,24,28,41,24.74,31.96,43.30,0,75.00,25.00,25.81,30.11,44.09
95BB16,33,9,17,7,1,0,1,0,32,9,16,7,27.27,51.52,21.21,0,100.00,0,28.13,50.00,21.88
95BB17,152,54,34,64,13,1,3,9,139,53,31,55,35.53,22.37,42.11,7.69,23.08,69.23,38.13,22.30,39.57
95BB18,113,36,32,45,9,1,4,4,104,35,28,41,31.86,28.32,39.82,11.11,44.44,44.44,33.65,26.92,39.42
95BB19,117,48,46,23,6,2,3,1,111,46,43,22,41.03,39.32,19.66,33.33,50.00,16.67,41.44,38.74,19.82
95BB20,85,21,21,43,10,2,4,4,75,19,17,39,24.71,24.71,50.59,20.00,40.00,40.00,25.33,22.67,52.00
95BB21,124,41,37,46,14,1,6,7,110,40,31,39,33.06,29.84,37.10,7.14,42.86,50.00,36.36,28.18,35.45
95BB22,194,68,26,100,17,3,5,9,177,65,21,91,35.05,13.40,51.55,17.65,29.41,52.94,36.72,11.86,51.41
95BB23,49,15,23,11,9,0,7,2,40,15,16,9,30.61,46.94,22.45,0,77.78,22.22,37.50,40.00,22.50
95CC01,113,36,24,53,17,2,5,10,96,34,19,43,31.86,21.24,46.90,11.76,29.41,58.82,35.42,19.79,44.79
95CC02,35,10,12,13,10,2,4,4,25,8,8,9,28.57,34.29,37.14,20.00,40.00,40.00,32.00,32.00,36.00
95CC03,187,61,27,99,14,0,3,11,173,61,24,88,32.62,14.44,52.94,0,21.43,78.57,35.26,13.87,50.87
95CC04,47,15,13,19,7,0,4,3,40,15,9,16,31.91,27.66,40.43,0,57.14,42.86,37.50,22.50,40.00
95CC05,58,22,10,26,8,1,3,4,50,21,7,22,37.93,17.24,44.83,12.50,37.50,50.00,42.00,14.00,44.00
95CC06,90,30,27,33,7,1,4,2,83,29,23,31,33.33,30.00,36.67,14.29,57.14,28.57,34.94,27.71,37.35
95CC07,103,26,24,53,15,2,11,2,88,24,13,51,25.24,23.30,51.46,13.33,73.33,13.33,27.27,14.77,57.95
95CC08,136,33,21,82,10,3,3,4,126,30,18,78,24.26,15.44,60.29,30.00,30.00,40.00,23.81,14.29,61.90
95CC09,58,26,17,15,5,0,5,0,53,26,12,15,44.83,29.31,25.86,0,100.00,0,49.06,22.64,28.30
95CC10,32,12,11,9,7,0,6,1,25,12,5,8,37.50,34.38,28.13,0,85.71,14.29,48.00,20.00,32.00
95CC11,82,25,15,42,9,1,3,5,73,24,12,37,30.49,18.29,51.22,11.11,33.33,55.56,32.88,16.44,50.68
95CC12,52,21,9,22,7,1,3,3,45,20,6,19,40.38,17.31,42.31,14.29,42.86,42.86,44.44,13.33,42.22
95CC13,37,7,13,17,8,0,5,3,29,7,8,14,18.92,35.14,45.95,0,62.50,37.50,24.14,27.59,48.28
95CC14,80,35,15,30,5,2,1,2,75,33,14,28,43.75,18.75,37.50,40.00,20.00,40.00,44.00,18.67,37.33
95CC15,66,21,21,24,5,0,3,2,61,21,18,22,31.82,31.82,36.36,0,60.00,40.00,34.43,29.51,36.07
95CC16,95,29,20,46,16,1,8,7,79,28,12,39,30.53,21.05,48.42,6.25,50.00,43.75,35.44,15.19,49.37
95CC17,46,15,12,19,6,1,4,1,40,14,8,18,32.61,26.09,41.30,16.67,66.67,16.67,35.00,20.00,45.00
95CC18,69,21,27,21,10,1,7,2,59,20,20,19,30.43,39.13,30.43,10.00,70.00,20.00,33.90,33.90,32.20
95CC19,55,16,15,24,10,0,6,4,45,16,9,20,29.09,27.27,43.64,0,60.00,40.00,35.56,20.00,44.44
95CC20,70,25,21,24,8,1,4,3,62,24,17,21,35.71,30.00,34.29,12.50,50.00,37.50,38.71,27.42,33.87
95CC21,89,29,21,39,15,5,5,5,74,24,16,34,32.58,23.60,43.82,33.33,33.33,33.33,32.43,21.62,45.95
95CC22,69,23,13,33,8,1,4,3,61,22,9,30,33.33,18.84,47.83,12.50,50.00,37.50,36.07,14.75,49.18
95DD01,29,17,4,8,3,1,1,1,26,16,3,7,58.62,13.79,27.59,33.33,33.33,33.33,61.54,11.54,26.92
95DD02,101,28,41,32,14,1,10,3,87,27,31,29,27.72,40.59,31.68,7.14,71.43,21.43,31.03,35.63,33.33
95DD03,110,32,47,31,9,1,3,5,101,31,44,26,29.09,42.73,28.18,11.11,33.33,55.56,30.69,43.56,25.74
95DD04,130,46,20,64,6,0,2,4,124,46,18,60,35.38,15.38,49.23,0,33.33,66.67,37.10,14.52,48.39
95DD05,121,46,12,63,6,0,2,4,115,46,10,59,38.02,9.92,52.07,0,33.33,66.67,40.00,8.70,51.30
95DD06,34,13,13,8,3,0,2,1,31,13,11,7,38.24,38.24,23.53,0,66.67,33.33,41.94,35.48,22.58
95DD07,93,36,29,28,13,2,7,4,80,34,22,24,38.71,31.18,30.11,15.38,53.85,30.77,42.50,27.50,30.00
95DD08,73,26,17,30,7,1,3,3,66,25,14,27,35.62,23.29,41.10,14.29,42.86,42.86,37.88,21.21,40.91
95DD09,34,10,14,10,8,1,6,1,26,9,8,9,29.41,41.18,29.41,12.50,75.00,12.50,34.62,30.77,34.62
95DD10,93,40,18,35,10,2,4,4,83,38,14,31,43.01,19.35,37.63,20.00,40.00,40.00,45.78,16.87,37.35
95DD11,153,44,18,91,9,1,1,7,144,43,17,84,28.76,11.76,59.48,11.11,11.11,77.78,29.86,11.81,58.33
95DD12,32,15,10,7,7,2,2,3,25,13,8,4,46.88,31.25,21.88,28.57,28.57,42.86,52.00,32.00,16.00
95DD13,71,22,14,35,6,1,0,5,65,21,14,30,30.99,19.72,49.30,16.67,0,83.33,32.31,21.54,46.15
95DD14,74,24,30,20,5,0,4,1,69,24,26,19,32.43,40.54,27.03,0,80.00,20.00,34.78,37.68,27.54
95DD15,70,15,25,30,12,1,10,1,58,14,15,29,21.43,35.71,42.86,8.33,83.33,8.33,24.14,25.86,50.00
95DD16,34,11,14,9,4,1,3,0,30,10,11,9,32.35,41.18,26.47,25.00,75.00,0,33.33,36.67,30.00
95DD17,44,17,15,12,8,0,6,2,36,17,9,10,38.64,34.09,27.27,0,75.00,25.00,47.22,25.00,27.78
95DD18,59,21,14,24,5,0,3,2,54,21,11,22,35.59,23.73,40.68,0,60.00,40.00,38.89,20.37,40.74
95DD19,97,40,22,35,5,1,2,2,92,39,20,33,41.24,22.68,36.08,20.00,40.00,40.00,42.39,21.74,35.87
95DD20,87,35,19,33,2,0,2,0,85,35,17,33,40.23,21.84,37.93,0,100.00,0,41.18,20.00,38.82
95DD21,96,29,24,43,7,0,4,3,89,29,20,40,30.21,25.00,44.79,0,57.14,42.86,32.58,22.47,44.94
95DD22,61,19,13,29,11,1,5,5,50,18,8,24,31.15,21.31,47.54,9.09,45.45,45.45,36.00,16.00,48.00
95DD23,29,7,7,15,8,2,3,3,21,5,4,12,24.14,24.14,51.72,25.00,37.50,37.50,23.81,19.05,57.14
95DD24,85,24,30,31,12,2,8,2,73,22,22,29,28.24,35.29,36.47,16.67,66.67,16.67,30.14,30.14,39.73
