GeographyCode,DC2419NI0001,DC2419NI0002,DC2419NI0003,DC2419NI0004,DC2419NI0005,DC2419NI0006,DC2419NI0007,DC2419NI0008,DC2419NI0009,DC2419NI0010,DC2419NI0011,DC2419NI0012,DC2419NI0013,DC2419NI0014,DC2419NI0015,DC2419NI0016,DC2419NI0017,DC2419NI0018,DC2419NI0019,DC2419NI0020,DC2419NI0021,DC2419NI0022,DC2419NI0023,DC2419NI0024,DC2419NI0025,DC2419NI0026,DC2419NI0027,DC2419NI0028,DC2419NI0029,DC2419NI0030,DC2419NI0031,DC2419NI0032,DC2419NI0033,DC2419NI0034,DC2419NI0035,DC2419NI0036,DC2419NI0037,DC2419NI0038,DC2419NI0039,DC2419NI0040,DC2419NI0041,DC2419NI0042,DC2419NI0043,DC2419NI0044,DC2419NI0045,DC2419NI0046,DC2419NI0047,DC2419NI0048,DC2419NI0049,DC2419NI0050,DC2419NI0051,DC2419NI0052,DC2419NI0053,DC2419NI0054,DC2419NI0055,DC2419NI0056,DC2419NI0057,DC2419NI0058,DC2419NI0059,DC2419NI0060,DC2419NI0061,DC2419NI0062,DC2419NI0063,DC2419NI0064,DC2419NI0065,DC2419NI0066,DC2419NI0067,DC2419NI0068,DC2419NI0069,DC2419NI0070
95AA01,1522,476,883,18,145,1034,356,624,9,45,450,98,340,4,8,584,258,284,5,37,1,0,1,0,0,25,8,12,1,4,16,7,9,0,0,9,1,3,1,4,427,106,221,7,93,154,59,72,2,21,194,34,104,4,52,15,3,12,0,0,64,10,33,1,20,35,6,25,1,3
95AA02,839,259,546,4,30,498,149,334,2,13,253,72,178,0,3,245,77,156,2,10,5,1,4,0,0,148,44,100,0,4,141,41,96,0,4,7,3,4,0,0,162,59,88,2,13,148,55,79,2,12,0,0,0,0,0,12,3,8,0,1,2,1,1,0,0,26,6,20,0,0
95AA03,845,87,699,8,51,469,41,402,4,22,206,12,190,1,3,263,29,212,3,19,7,2,5,0,0,233,16,196,1,20,226,15,190,1,20,7,1,6,0,0,121,27,83,3,8,112,26,76,2,8,3,0,2,1,0,6,1,5,0,0,0,0,0,0,0,15,1,13,0,1
95AA04,1014,274,697,8,35,919,245,636,7,31,480,88,372,3,17,439,157,264,4,14,5,3,2,0,0,5,1,2,1,1,5,1,2,1,1,0,0,0,0,0,61,23,35,0,3,53,22,28,0,3,0,0,0,0,0,8,1,7,0,0,0,0,0,0,0,24,2,22,0,0
95AA05,920,532,357,5,26,727,430,277,4,16,357,193,160,1,3,370,237,117,3,13,3,2,1,0,0,68,42,22,0,4,68,42,22,0,4,0,0,0,0,0,98,48,44,0,6,83,46,33,0,4,1,0,1,0,0,10,2,7,0,1,4,0,3,0,1,24,10,13,1,0
95AA06,1570,1181,351,3,35,1212,935,254,2,21,337,212,120,1,4,875,723,134,1,17,19,13,5,0,1,159,102,54,0,3,96,66,28,0,2,63,36,26,0,1,149,112,26,1,10,115,88,19,0,8,5,2,1,0,2,22,18,3,1,0,7,4,3,0,0,31,19,12,0,0
95AA07,820,121,673,6,20,617,73,530,4,10,344,30,309,1,4,273,43,221,3,6,1,0,1,0,0,70,11,53,1,5,69,11,52,1,5,1,0,1,0,0,110,34,71,0,5,95,32,58,0,5,2,0,2,0,0,11,2,9,0,0,2,0,2,0,0,22,3,18,1,0
95AA08,699,305,336,5,53,404,151,226,1,26,171,54,114,0,3,233,97,112,1,23,12,5,6,0,1,161,92,55,3,11,160,92,54,3,11,1,0,1,0,0,101,47,40,0,14,96,44,39,0,13,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,21,10,9,1,1
95AA09,943,200,657,9,77,515,102,373,6,34,248,47,185,3,13,267,55,188,3,21,1,0,1,0,0,276,51,202,2,21,274,50,201,2,21,2,1,1,0,0,129,44,62,1,22,124,42,60,1,21,0,0,0,0,0,5,2,2,0,1,0,0,0,0,0,22,3,19,0,0
95AA10,792,335,406,9,42,483,174,282,6,21,234,65,157,4,8,249,109,125,2,13,6,4,1,0,1,222,116,89,2,15,216,116,84,2,14,6,0,5,0,1,62,31,26,1,4,54,28,21,1,4,0,0,0,0,0,7,3,4,0,0,1,0,1,0,0,19,10,8,0,1
