GeographyCode,DC2417NI0001,DC2417NI0002,DC2417NI0003,DC2417NI0004,DC2417NI0005,DC2417NI0006,DC2417NI0007,DC2417NI0008,DC2417NI0009,DC2417NI0010,DC2417NI0011,DC2417NI0012,DC2417NI0013,DC2417NI0014,DC2417NI0015,DC2417NI0016,DC2417NI0017,DC2417NI0018,DC2417NI0019,DC2417NI0020,DC2417NI0021,DC2417NI0022,DC2417NI0023,DC2417NI0024,DC2417NI0025,DC2417NI0026,DC2417NI0027,DC2417NI0028,DC2417NI0029,DC2417NI0030,DC2417NI0031,DC2417NI0032,DC2417NI0033,DC2417NI0034,DC2417NI0035,DC2417NI0036,DC2417NI0037,DC2417NI0038,DC2417NI0039,DC2417NI0040,DC2417NI0041,DC2417NI0042,DC2417NI0043,DC2417NI0044,DC2417NI0045,DC2417NI0046,DC2417NI0047,DC2417NI0048,DC2417NI0049,DC2417NI0050,DC2417NI0051,DC2417NI0052,DC2417NI0053,DC2417NI0054,DC2417NI0055,DC2417NI0056,DC2417NI0057,DC2417NI0058,DC2417NI0059,DC2417NI0060,DC2417NI0061,DC2417NI0062,DC2417NI0063,DC2417NI0064,DC2417NI0065,DC2417NI0066,DC2417NI0067,DC2417NI0068,DC2417NI0069,DC2417NI0070,DC2417NI0071,DC2417NI0072,DC2417NI0073,DC2417NI0074,DC2417NI0075,DC2417NI0076,DC2417NI0077,DC2417NI0078,DC2417NI0079,DC2417NI0080,DC2417NI0081,DC2417NI0082,DC2417NI0083,DC2417NI0084,DC2417NI0085,DC2417NI0086,DC2417NI0087,DC2417NI0088,DC2417NI0089,DC2417NI0090,DC2417NI0091,DC2417NI0092,DC2417NI0093,DC2417NI0094,DC2417NI0095,DC2417NI0096,DC2417NI0097,DC2417NI0098,DC2417NI0099,DC2417NI0100,DC2417NI0101,DC2417NI0102,DC2417NI0103,DC2417NI0104,DC2417NI0105,DC2417NI0106,DC2417NI0107,DC2417NI0108,DC2417NI0109,DC2417NI0110,DC2417NI0111,DC2417NI0112,DC2417NI0113,DC2417NI0114,DC2417NI0115,DC2417NI0116,DC2417NI0117,DC2417NI0118,DC2417NI0119,DC2417NI0120,DC2417NI0121,DC2417NI0122,DC2417NI0123,DC2417NI0124,DC2417NI0125
95AA01,4290,1458,2214,42,576,3161,1001,1719,21,420,642,245,298,1,98,319,132,137,8,42,168,80,60,12,16,2948,1176,1573,22,177,2278,860,1279,14,125,396,181,183,0,32,179,74,86,4,15,95,61,25,4,5,28,12,12,0,4,7,3,4,0,0,5,0,5,0,0,15,8,3,0,4,1,1,0,0,0,28,7,9,4,8,12,0,6,0,6,5,0,3,0,2,0,0,0,0,0,11,7,0,4,0,1286,263,620,16,387,864,138,430,7,289,236,64,107,1,64,125,50,48,4,23,61,11,35,4,11
95AA02,1734,570,1048,7,109,678,213,437,5,23,528,172,326,1,29,346,107,200,1,38,182,78,85,0,19,1156,377,719,4,56,544,167,358,3,16,351,116,218,0,17,196,62,114,1,19,65,32,29,0,4,223,63,149,1,10,39,11,28,0,0,85,23,58,1,3,68,16,45,0,7,31,13,18,0,0,8,4,4,0,0,2,1,1,0,0,4,3,1,0,0,2,0,2,0,0,0,0,0,0,0,347,126,176,2,43,93,34,50,2,7,88,30,49,0,9,80,29,39,0,12,86,33,38,0,15
95AA03,1822,195,1422,15,190,641,74,520,7,40,587,45,464,7,71,427,49,315,1,62,167,27,123,0,17,1132,110,917,7,98,493,55,404,4,30,358,27,286,2,43,191,21,149,1,20,90,7,78,0,5,408,28,328,1,51,61,5,51,0,5,136,4,115,1,16,164,11,130,0,23,47,8,32,0,7,11,3,8,0,0,1,0,1,0,0,7,0,7,0,0,3,3,0,0,0,0,0,0,0,0,271,54,169,7,41,86,14,64,3,5,86,14,56,4,12,69,14,36,0,19,30,12,13,0,5
95AA04,3002,828,1973,26,175,2285,512,1622,18,133,338,102,208,8,20,258,158,86,0,14,121,56,57,0,8,2791,769,1837,22,163,2164,496,1525,18,125,306,98,185,4,19,226,134,81,0,11,95,41,46,0,8,13,3,6,3,1,5,0,4,0,1,6,1,2,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,56,130,1,11,116,16,93,0,7,26,3,21,1,1,32,24,5,0,3,24,13,11,0,0
95AA05,2654,1668,869,12,105,1684,1033,578,10,63,516,319,171,2,24,281,200,74,0,7,173,116,46,0,11,2229,1432,715,8,74,1541,965,518,7,51,348,229,108,1,10,211,146,58,0,7,129,92,31,0,6,132,85,38,0,9,22,11,11,0,0,66,40,18,0,8,37,28,9,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,151,116,4,22,121,57,49,3,12,102,50,45,1,6,33,26,7,0,0,37,18,15,0,4
95AA06,4604,3735,755,5,109,2381,1936,404,4,37,1134,931,182,1,20,685,540,114,0,31,404,328,55,0,21,3825,3163,588,4,70,2188,1800,355,4,29,907,763,133,0,11,454,366,70,0,18,276,234,30,0,12,192,144,45,0,3,31,19,11,0,1,63,48,15,0,0,68,58,9,0,1,30,19,10,0,1,137,91,40,0,6,2,2,0,0,0,35,20,14,0,1,69,44,20,0,5,31,25,6,0,0,450,337,82,1,30,160,115,38,0,7,129,100,20,1,8,94,72,15,0,7,67,50,9,0,8
95AA07,2119,327,1670,17,105,1327,166,1099,11,51,427,73,311,6,37,221,49,165,0,7,144,39,95,0,10,1680,219,1384,14,63,1191,146,996,11,38,291,42,229,3,17,138,22,112,0,4,60,9,47,0,4,145,21,112,2,10,18,2,15,0,1,57,7,39,2,9,28,5,23,0,0,42,7,35,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,293,87,173,1,32,118,18,88,0,12,78,24,42,1,11,55,22,30,0,3,42,23,13,0,6
95AA08,1676,748,748,14,166,669,268,338,4,59,430,199,193,0,38,375,170,146,10,49,202,111,71,0,20,1021,411,522,4,84,485,184,270,1,30,219,78,122,0,19,203,84,86,3,30,114,65,44,0,5,386,218,120,8,40,104,57,31,1,15,118,69,37,0,12,126,61,48,7,10,38,31,4,0,3,3,1,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,118,104,2,42,77,26,35,2,14,93,52,34,0,7,46,25,12,0,9,50,15,23,0,12
95AA09,2143,482,1399,27,235,929,190,640,15,84,614,127,403,11,73,442,116,263,1,62,158,49,93,0,16,1248,292,830,20,106,738,135,522,14,67,260,60,174,6,20,191,75,103,0,13,59,22,31,0,6,553,82,401,2,68,86,17,65,1,3,211,25,169,0,17,183,23,121,1,38,73,17,46,0,10,4,2,2,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,338,106,166,5,61,105,38,53,0,14,139,40,58,5,36,68,18,39,0,11,26,10,16,0,0
95AA10,1953,806,939,25,183,983,329,579,12,63,496,218,202,12,64,319,159,117,1,42,155,100,41,0,14,1304,460,714,20,110,820,255,504,11,50,300,110,149,8,33,131,62,43,1,25,53,33,18,0,2,446,248,154,2,42,98,47,42,1,8,119,63,37,1,18,155,82,61,0,12,74,56,14,0,4,10,1,6,0,3,1,0,1,0,0,6,0,4,0,2,3,1,1,0,1,0,0,0,0,0,193,97,65,3,28,64,27,32,0,5,71,45,12,3,11,30,14,12,0,4,28,11,9,0,8
