GeographyCode,DC2120NI0001,DC2120NI0002,DC2120NI0003,DC2120NI0004,DC2120NI0005,DC2120NI0006,DC2120NI0007,DC2120NI0008,DC2120NI0009,DC2120NI0010,DC2120NI0011,DC2120NI0012,DC2120NI0013,DC2120NI0014,DC2120NI0015,DC2120NI0016,DC2120NI0017,DC2120NI0018,DC2120NI0019,DC2120NI0020,DC2120NI0021,DC2120NI0022,DC2120NI0023,DC2120NI0024,DC2120NI0025,DC2120NI0026,DC2120NI0027,DC2120NI0028,DC2120NI0029,DC2120NI0030,DC2120NI0031,DC2120NI0032,DC2120NI0033,DC2120NI0034,DC2120NI0035,DC2120NI0036,DC2120NI0037,DC2120NI0038,DC2120NI0039,DC2120NI0040,DC2120NI0041,DC2120NI0042,DC2120NI0043,DC2120NI0044,DC2120NI0045,DC2120NI0046,DC2120NI0047,DC2120NI0048,DC2120NI0049,DC2120NI0050,DC2120NI0051,DC2120NI0052,DC2120NI0053,DC2120NI0054,DC2120NI0055,DC2120NI0056,DC2120NI0057,DC2120NI0058,DC2120NI0059,DC2120NI0060,DC2120NI0061,DC2120NI0062,DC2120NI0063,DC2120NI0064,DC2120NI0065,DC2120NI0066,DC2120NI0067,DC2120NI0068,DC2120NI0069,DC2120NI0070,DC2120NI0071,DC2120NI0072,DC2120NI0073,DC2120NI0074,DC2120NI0075,DC2120NI0076,DC2120NI0077,DC2120NI0078,DC2120NI0079,DC2120NI0080,DC2120NI0081,DC2120NI0082,DC2120NI0083,DC2120NI0084,DC2120NI0085,DC2120NI0086,DC2120NI0087,DC2120NI0088,DC2120NI0089,DC2120NI0090,DC2120NI0091,DC2120NI0092,DC2120NI0093,DC2120NI0094,DC2120NI0095,DC2120NI0096,DC2120NI0097,DC2120NI0098,DC2120NI0099,DC2120NI0100,DC2120NI0101,DC2120NI0102,DC2120NI0103,DC2120NI0104,DC2120NI0105,DC2120NI0106,DC2120NI0107,DC2120NI0108,DC2120NI0109,DC2120NI0110
95II20,1211,438,688,16,69,392,122,249,4,17,156,26,128,0,2,236,96,121,4,15,738,283,401,12,42,108,16,90,1,1,404,174,201,9,20,123,42,72,3,6,210,114,80,4,12,71,18,49,2,2,110,62,34,0,14,77,47,24,0,6,29,15,7,0,7,4,0,3,0,1,116,31,76,2,7,72,23,43,1,5,44,8,33,1,2,81,33,38,0,10,23,8,11,0,4,1,1,0,0,0,3,0,3,0,0,54,24,24,0,6
95II21,1045,33,932,5,75,331,7,305,2,17,111,0,108,0,3,220,7,197,2,14,661,24,581,2,54,65,1,63,0,1,293,9,262,2,20,100,1,92,2,5,127,6,108,0,13,66,2,62,0,2,73,7,51,0,15,29,3,23,0,3,39,4,24,0,11,5,0,4,0,1,230,7,205,0,18,155,5,135,0,15,75,2,70,0,3,53,2,46,1,4,27,1,23,0,3,0,0,0,0,0,2,0,2,0,0,24,1,21,1,1
95II22,990,63,866,4,57,315,18,276,3,18,152,3,140,3,6,163,15,136,0,12,627,40,552,1,34,104,0,104,0,0,364,29,318,1,16,115,7,101,1,6,171,20,141,0,10,78,2,76,0,0,48,4,38,0,6,36,4,26,0,6,12,0,12,0,0,0,0,0,0,0,111,7,92,0,12,65,7,48,0,10,46,0,44,0,2,48,5,38,0,5,18,2,13,0,3,0,0,0,0,0,4,1,3,0,0,26,2,22,0,2
95II23,910,379,473,11,47,273,105,159,0,9,137,35,101,0,1,136,70,58,0,8,573,246,286,10,31,85,24,61,0,0,339,168,150,6,15,91,35,47,3,6,172,101,62,3,6,76,32,41,0,3,43,16,17,4,6,26,10,10,2,4,14,5,5,2,2,3,1,2,0,0,106,38,58,0,10,56,21,26,0,9,50,17,32,0,1,64,28,28,1,7,16,5,7,0,4,2,0,2,0,0,6,3,3,0,0,40,20,16,1,3
95JJ01,892,195,663,4,30,167,41,115,3,8,77,19,55,2,1,90,22,60,1,7,658,136,500,1,21,74,8,65,0,1,469,101,350,1,17,127,24,99,1,3,233,52,169,0,12,109,25,82,0,2,32,5,25,0,2,22,3,17,0,2,6,1,5,0,0,4,1,3,0,0,83,22,60,0,1,33,8,24,0,1,50,14,36,0,0,67,18,48,0,1,29,12,16,0,1,0,0,0,0,0,5,2,3,0,0,33,4,29,0,0
95JJ02,1074,299,700,9,66,369,95,240,2,32,139,26,109,1,3,230,69,131,1,29,636,182,420,5,29,102,16,85,1,0,336,103,213,3,17,139,31,99,3,6,127,57,62,0,8,70,15,52,0,3,63,23,37,0,3,34,13,21,0,0,26,10,13,0,3,3,0,3,0,0,135,40,85,1,9,86,26,52,0,8,49,14,33,1,1,69,22,40,2,5,20,5,14,0,1,7,2,4,1,0,6,1,5,0,0,36,14,17,1,4
95JJ03,1023,137,804,13,69,299,39,236,4,20,62,9,52,0,1,237,30,184,4,19,661,85,526,9,41,22,3,18,1,0,312,40,254,4,14,102,10,86,2,4,144,20,115,2,7,66,10,53,0,3,76,10,60,0,6,25,5,18,0,2,46,5,37,0,4,5,0,5,0,0,251,32,194,4,21,199,26,154,2,17,52,6,40,2,4,63,13,42,0,8,20,5,14,0,1,3,1,2,0,0,8,3,5,0,0,32,4,21,0,7
95JJ04,1279,200,1028,13,38,340,43,290,0,7,151,19,132,0,0,189,24,158,0,7,863,138,685,12,28,131,5,123,0,3,519,96,397,10,16,170,27,130,6,7,238,51,176,2,9,111,18,91,2,0,64,12,47,0,5,30,2,25,0,3,30,10,18,0,2,4,0,4,0,0,149,25,118,2,4,103,20,79,1,3,46,5,39,1,1,76,19,53,1,3,27,4,22,0,1,2,1,1,0,0,4,1,3,0,0,43,13,27,1,2
95JJ05,892,231,611,4,46,397,89,292,1,15,199,38,158,0,3,198,51,134,1,12,412,108,277,2,25,56,5,50,0,1,177,49,119,0,9,70,20,49,0,1,69,19,43,0,7,38,10,27,0,1,60,19,30,1,10,36,13,17,1,5,20,6,9,0,5,4,0,4,0,0,119,35,78,1,5,70,17,50,0,3,49,18,28,1,2,83,34,42,1,6,23,11,12,0,0,3,2,0,1,0,5,1,4,0,0,52,20,26,0,6
95JJ06,1063,416,598,11,38,386,137,236,6,7,120,41,79,0,0,266,96,157,6,7,594,245,318,5,26,33,7,26,0,0,302,131,157,1,13,75,26,46,0,3,168,81,79,0,8,59,24,32,1,2,67,24,37,0,6,33,10,21,0,2,32,13,15,0,4,2,1,1,0,0,192,83,98,4,7,134,59,67,4,4,58,24,31,0,3,83,34,44,0,5,32,15,16,0,1,0,0,0,0,0,6,1,5,0,0,45,18,23,0,4
