GeographyCode,DC2252NI0001,DC2252NI0002,DC2252NI0003,DC2252NI0004,DC2252NI0005,DC2252NI0006,DC2252NI0007,DC2252NI0008,DC2252NI0009,DC2252NI0010,DC2252NI0011,DC2252NI0012,DC2252NI0013,DC2252NI0014,DC2252NI0015,DC2252NI0016,DC2252NI0017,DC2252NI0018,DC2252NI0019,DC2252NI0020,DC2252NI0021,DC2252NI0022,DC2252NI0023,DC2252NI0024,DC2252NI0025,DC2252NI0026,DC2252NI0027,DC2252NI0028,DC2252NI0029,DC2252NI0030,DC2252NI0031,DC2252NI0032,DC2252NI0033,DC2252NI0034,DC2252NI0035,DC2252NI0036,DC2252NI0037,DC2252NI0038,DC2252NI0039,DC2252NI0040,DC2252NI0041,DC2252NI0042,DC2252NI0043,DC2252NI0044,DC2252NI0045
95AA01,4444,1485,2284,47,628,534,137,290,0,107,3113,757,1852,31,473,553,479,54,0,20,84,45,35,0,4,23,5,16,1,1,7,3,1,1,2,67,40,10,2,15,63,19,26,12,6
95AA02,1734,570,1048,7,109,335,92,214,1,28,1175,321,801,4,49,134,107,21,1,5,19,11,6,0,2,7,3,2,0,2,1,0,1,0,0,55,34,0,0,21,8,2,3,1,2
95AA03,1822,195,1422,15,190,502,42,406,1,53,1209,101,983,4,121,50,27,18,1,4,11,2,8,0,1,3,0,2,0,1,2,0,1,0,1,31,22,1,1,7,14,1,3,8,2
95AA04,3013,832,1979,26,176,352,96,231,2,23,2238,438,1642,21,137,327,273,43,2,9,64,21,39,1,3,11,1,10,0,0,5,0,5,0,0,8,3,1,0,4,8,0,8,0,0
95AA05,2701,1683,900,12,106,519,300,194,0,25,1481,753,657,9,62,606,567,30,1,8,40,32,5,1,2,6,0,6,0,0,4,4,0,0,0,32,19,6,1,6,13,8,2,0,3
95AA06,4647,3755,774,9,109,681,512,147,1,21,2130,1464,591,7,68,1678,1639,22,0,17,94,83,11,0,0,4,2,1,0,1,11,11,0,0,0,28,25,1,0,2,21,19,1,1,0
95AA07,2140,336,1680,17,107,481,60,389,0,32,1473,161,1225,16,71,98,63,31,0,4,37,9,28,0,0,5,2,3,0,0,0,0,0,0,0,42,41,1,0,0,4,0,3,1,0
95AA08,1698,757,761,14,166,495,214,226,0,55,943,343,509,6,85,160,133,14,1,12,20,17,1,1,1,3,1,0,1,1,1,1,0,0,0,68,44,11,2,11,8,4,0,3,1
95AA09,2220,491,1466,28,235,459,73,326,4,56,1544,290,1088,13,153,102,65,26,1,10,17,2,14,0,1,2,1,0,0,1,0,0,0,0,0,59,47,5,0,7,37,13,7,10,7
95AA10,1953,806,939,25,183,393,178,161,2,52,1302,426,740,19,117,178,154,21,0,3,22,8,12,0,2,2,2,0,0,0,0,0,0,0,0,48,38,1,0,9,8,0,4,4,0
95AA11,5364,2085,2738,62,479,726,282,365,2,77,3757,1166,2250,38,303,447,369,57,1,20,75,38,28,3,6,26,16,4,2,4,7,4,2,0,1,256,175,21,3,57,70,35,11,13,11
95AA12,2775,197,2395,23,160,390,27,330,0,33,2239,123,1976,21,119,88,42,40,1,5,43,1,40,0,2,4,0,2,1,1,0,0,0,0,0,7,3,4,0,0,4,1,3,0,0
95AA13,3307,2282,868,10,147,561,342,184,2,33,1829,1102,640,5,82,664,632,27,2,3,75,57,12,0,6,6,6,0,0,0,4,2,2,0,0,154,136,2,1,15,14,5,1,0,8
95AA14,2349,872,1373,13,91,477,167,290,7,13,1514,418,1020,6,70,289,248,36,0,5,51,30,21,0,0,0,0,0,0,0,2,2,0,0,0,6,5,1,0,0,10,2,5,0,3
95AA15,4186,1756,1878,106,446,684,302,271,4,107,2663,854,1509,50,250,345,285,35,5,20,52,38,11,0,3,5,2,2,1,0,9,4,1,0,4,306,230,16,4,56,122,41,33,42,6
