GeographyCode,DC2248NI0001,DC2248NI0002,DC2248NI0003,DC2248NI0004,DC2248NI0005,DC2248NI0006,DC2248NI0007,DC2248NI0008,DC2248NI0009,DC2248NI0010,DC2248NI0011,DC2248NI0012,DC2248NI0013,DC2248NI0014,DC2248NI0015,DC2248NI0016,DC2248NI0017,DC2248NI0018,DC2248NI0019,DC2248NI0020,DC2248NI0021,DC2248NI0022,DC2248NI0023,DC2248NI0024,DC2248NI0025,DC2248NI0026,DC2248NI0027,DC2248NI0028,DC2248NI0029,DC2248NI0030,DC2248NI0031,DC2248NI0032,DC2248NI0033,DC2248NI0034,DC2248NI0035,DC2248NI0036,DC2248NI0037,DC2248NI0038,DC2248NI0039,DC2248NI0040,DC2248NI0041,DC2248NI0042,DC2248NI0043,DC2248NI0044,DC2248NI0045,DC2248NI0046,DC2248NI0047,DC2248NI0048,DC2248NI0049,DC2248NI0050,DC2248NI0051,DC2248NI0052,DC2248NI0053,DC2248NI0054,DC2248NI0055,DC2248NI0056,DC2248NI0057,DC2248NI0058,DC2248NI0059,DC2248NI0060,DC2248NI0061,DC2248NI0062,DC2248NI0063,DC2248NI0064,DC2248NI0065,DC2248NI0066,DC2248NI0067,DC2248NI0068,DC2248NI0069,DC2248NI0070,DC2248NI0071,DC2248NI0072,DC2248NI0073,DC2248NI0074,DC2248NI0075,DC2248NI0076,DC2248NI0077,DC2248NI0078,DC2248NI0079,DC2248NI0080
95AA01,4444,1485,2284,47,628,4320,1467,2229,15,609,4319,1467,2229,15,608,1,0,0,0,1,29,3,1,20,5,3,0,0,0,3,6,1,0,5,0,8,0,0,8,0,0,0,0,0,0,12,2,1,7,2,66,9,43,9,5,12,3,9,0,0,28,2,16,8,2,26,4,18,1,3,21,4,9,2,6,8,2,2,1,3
95AA02,1734,570,1048,7,109,1715,560,1047,3,105,1714,559,1047,3,105,1,1,0,0,0,8,3,0,3,2,4,2,0,0,2,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,1,5,3,1,0,1
95AA03,1822,195,1422,15,190,1794,190,1412,7,185,1794,190,1412,7,185,0,0,0,0,0,12,4,1,6,1,1,0,0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,7,4,1,2,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,11,0,8,0,3,3,1,0,2,0
95AA04,3013,832,1979,26,176,2989,826,1973,19,171,2989,826,1973,19,171,0,0,0,0,0,9,0,3,6,0,3,0,0,3,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,1,0,0,1,0,4,3,1,0,0,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,10,3,2,1,4,1,0,0,0,1
95AA05,2701,1683,900,12,106,2681,1673,891,11,106,2680,1673,891,11,105,1,0,0,0,1,6,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,5,4,1,0,1,1,0,0,0,8,4,4,0,0,1,0,0,1,0,3,2,1,0,0,1,0,1,0,0
95AA06,4647,3755,774,9,109,4593,3715,762,8,108,4592,3715,761,8,108,1,0,1,0,0,13,13,0,0,0,0,0,0,0,0,8,8,0,0,0,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,11,3,8,0,0,0,0,0,0,0,11,3,8,0,0,0,0,0,0,0,26,22,3,0,1,4,2,1,1,0
95AA07,2140,336,1680,17,107,2130,335,1679,16,100,2130,335,1679,16,100,0,0,0,0,0,3,0,0,1,2,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,5,1,0,1,0,0
95AA08,1698,757,761,14,166,1674,746,756,10,162,1674,746,756,10,162,0,0,0,0,0,18,10,2,3,3,6,1,2,0,3,4,4,0,0,0,0,0,0,0,0,2,0,0,2,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,1,1,0,0,1,0
95AA09,2220,491,1466,28,235,2117,474,1447,2,194,2117,474,1447,2,194,0,0,0,0,0,87,15,8,26,38,38,1,2,1,34,37,14,5,14,4,10,0,0,10,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,14,1,10,0,3,1,1,0,0,0
95AA10,1953,806,939,25,183,1902,802,926,8,166,1902,802,926,8,166,0,0,0,0,0,36,2,3,16,15,25,2,0,8,15,9,0,1,8,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,8,1,6,1,0,0,0,0,0,0,7,0,6,1,0,1,1,0,0,0,7,1,4,0,2,0,0,0,0,0
