GeographyCode,DC6202NI0001,DC6202NI0002,DC6202NI0003,DC6202NI0004,DC6202NI0005,DC6202NI0006,DC6202NI0007,DC6202NI0008,DC6202NI0009,DC6202NI0010,DC6202NI0011,DC6202NI0012,DC6202NI0013,DC6202NI0014,DC6202NI0015
95AA01,3344,573,2771,1112,175,937,1838,343,1495,39,13,26,355,42,313
95AA02,1468,164,1304,484,49,435,910,102,808,6,3,3,68,10,58
95AA03,1436,133,1303,151,11,140,1176,110,1066,13,1,12,96,11,85
95AA04,2373,453,1920,628,102,526,1620,328,1292,17,5,12,108,18,90
95AA05,2083,324,1759,1255,180,1075,756,134,622,9,2,7,63,8,55
95AA06,3346,432,2914,2626,340,2286,646,77,569,9,3,6,65,12,53
95AA07,1714,281,1433,266,39,227,1374,229,1145,14,5,9,60,8,52
95AA08,1347,148,1199,593,61,532,639,73,566,12,3,9,103,11,92
95AA09,1772,198,1574,399,28,371,1195,160,1035,25,0,25,153,10,143
95AA10,1551,208,1343,635,59,576,788,132,656,17,2,15,111,15,96
95AA11,4152,526,3626,1591,190,1401,2205,311,1894,47,9,38,309,16,293
95AA12,2162,421,1741,145,19,126,1917,389,1528,19,2,17,81,11,70
95AA13,2528,352,2176,1691,231,1460,740,113,627,8,1,7,89,7,82
95AA14,1852,318,1534,649,97,552,1143,209,934,11,3,8,49,9,40
95AA15,3150,320,2830,1349,122,1227,1482,172,1310,73,7,66,246,19,227
95AA16,1463,117,1346,281,17,264,1060,96,964,12,0,12,110,4,106
95AA17,1669,170,1499,651,57,594,867,102,765,25,4,21,126,7,119
95AA18,2063,403,1660,282,56,226,1661,325,1336,32,6,26,88,16,72
95AA19,2006,243,1763,1797,204,1593,179,30,149,6,4,2,24,5,19
95BB01,2837,445,2392,353,47,306,2291,373,1918,23,3,20,170,22,148
95BB02,2020,232,1788,199,16,183,1662,197,1465,28,5,23,131,14,117
95BB03,3402,437,2965,199,26,173,2929,383,2546,40,5,35,234,23,211
95BB04,2614,426,2188,192,28,164,2230,373,1857,22,3,19,170,22,148
95BB05,2759,453,2306,93,13,80,2455,410,2045,45,17,28,166,13,153
95BB06,2484,251,2233,290,32,258,1924,193,1731,47,4,43,223,22,201
95BB07,2445,300,2145,102,7,95,2148,271,1877,28,4,24,167,18,149
95BB08,2102,237,1865,128,9,119,1814,208,1606,27,3,24,133,17,116
95BB09,2507,428,2079,115,13,102,2193,389,1804,15,7,8,184,19,165
95BB10,2828,508,2320,200,34,166,2399,443,1956,42,6,36,187,25,162
95BB11,2480,314,2166,125,25,100,2185,276,1909,33,1,32,137,12,125
95BB12,2177,331,1846,208,21,187,1754,290,1464,34,5,29,181,15,166
95BB13,3448,474,2974,249,41,208,2901,400,2501,41,5,36,257,28,229
95BB14,2533,482,2051,147,33,114,2188,420,1768,30,8,22,168,21,147
95BB15,2699,353,2346,1561,191,1370,1009,148,861,14,2,12,115,12,103
95BB16,2571,483,2088,146,25,121,2257,429,1828,19,5,14,149,24,125
95BB17,2711,358,2353,182,15,167,2254,308,1946,24,5,19,251,30,221
95BB18,3308,505,2803,166,34,132,2856,442,2414,25,4,21,261,25,236
95BB19,3719,565,3154,311,40,271,3091,488,2603,32,1,31,285,36,249
95BB20,2729,428,2301,2136,316,1820,495,99,396,8,2,6,90,11,79
95BB21,3671,443,3228,444,60,384,2971,351,2620,39,4,35,217,28,189
95BB22,2238,209,2029,137,9,128,1876,180,1696,12,0,12,213,20,193
95BB23,2531,413,2118,272,41,231,2062,345,1717,35,3,32,162,24,138
95CC01,2046,254,1792,1778,228,1550,225,19,206,10,4,6,33,3,30
95CC02,2140,388,1752,1500,268,1232,608,112,496,3,0,3,29,8,21
95CC03,2141,258,1883,1827,224,1603,190,21,169,25,2,23,99,11,88
95CC04,1879,278,1601,1307,184,1123,547,91,456,5,1,4,20,2,18
95CC05,2112,300,1812,1367,184,1183,687,104,583,16,4,12,42,8,34
95CC06,2186,382,1804,1184,225,959,923,147,776,19,1,18,60,9,51
95CC07,2554,369,2185,2064,308,1756,455,56,399,9,2,7,26,3,23
95CC08,1988,252,1736,1811,223,1588,132,20,112,7,3,4,38,6,32
95CC09,2630,451,2179,227,33,194,2299,405,1894,23,1,22,81,12,69
95CC10,2101,385,1716,397,75,322,1621,301,1320,17,3,14,66,6,60
95CC11,1482,146,1336,1347,128,1219,113,18,95,0,0,0,22,0,22
95CC12,2119,331,1788,984,149,835,1096,175,921,11,2,9,28,5,23
95CC13,1923,312,1611,995,152,843,892,156,736,13,4,9,23,0,23
95CC14,2328,339,1989,244,35,209,1975,291,1684,30,5,25,79,8,71
95CC15,2228,357,1871,884,126,758,1284,220,1064,15,7,8,45,4,41
95CC16,2155,321,1834,337,33,304,1745,282,1463,14,2,12,59,4,55
95CC17,2117,357,1760,1409,237,1172,665,113,552,16,3,13,27,4,23
95CC18,1899,331,1568,975,155,820,846,160,686,24,4,20,54,12,42
95CC19,2070,344,1726,709,113,596,1297,222,1075,7,3,4,57,6,51
95CC20,2342,361,1981,162,12,150,2074,339,1735,18,2,16,88,8,80
95CC21,2289,353,1936,312,30,282,1884,313,1571,10,1,9,83,9,74
95CC22,1466,180,1286,330,42,288,1053,124,929,15,3,12,68,11,57
95DD01,1765,316,1449,267,36,231,1429,265,1164,19,5,14,50,10,40
95DD02,3041,437,2604,184,20,164,2741,398,2343,23,6,17,93,13,80
95DD03,2779,515,2264,448,62,386,2126,430,1696,38,7,31,167,16,151
95DD04,1512,135,1377,108,9,99,1296,116,1180,20,2,18,88,8,80
95DD05,1330,114,1216,87,10,77,1153,94,1059,19,6,13,71,4,67
95DD06,2216,358,1858,436,56,380,1673,287,1386,22,2,20,85,13,72
95DD07,2710,481,2229,144,21,123,2443,445,1998,11,5,6,112,10,102
95DD08,1842,173,1669,719,70,649,990,93,897,21,2,19,112,8,104
95DD09,2059,364,1695,128,15,113,1858,344,1514,13,3,10,60,2,58
95DD10,2297,285,2012,93,9,84,2075,262,1813,29,8,21,100,6,94
95DD11,1718,167,1551,945,91,854,674,69,605,9,0,9,90,7,83
95DD12,2069,352,1717,285,58,227,1701,283,1418,13,2,11,70,9,61
