GeographyCode,DC2421NI0001,DC2421NI0002,DC2421NI0003,DC2421NI0004,DC2421NI0005,DC2421NI0006,DC2421NI0007,DC2421NI0008,DC2421NI0009,DC2421NI0010,DC2421NI0011,DC2421NI0012,DC2421NI0013,DC2421NI0014,DC2421NI0015,DC2421NI0016,DC2421NI0017,DC2421NI0018,DC2421NI0019,DC2421NI0020,DC2421NI0021,DC2421NI0022,DC2421NI0023,DC2421NI0024,DC2421NI0025,DC2421NI0026,DC2421NI0027,DC2421NI0028,DC2421NI0029,DC2421NI0030,DC2421NI0031,DC2421NI0032,DC2421NI0033,DC2421NI0034,DC2421NI0035
95AA01,1522,476,883,18,145,296,82,191,5,18,455,119,275,6,55,279,85,166,3,25,293,102,159,4,28,199,88,92,0,19,2.82,3.09,2.67,2.33,2.88
95AA02,839,259,546,4,30,346,107,229,1,9,254,76,173,1,4,131,47,76,0,8,68,19,43,1,5,40,10,25,1,4,2.07,2.05,2.03,3.25,2.70
95AA03,845,87,699,8,51,323,21,277,1,24,262,28,219,2,13,124,15,99,3,7,94,18,69,1,6,42,5,35,1,1,2.16,2.54,2.11,2.88,1.96
95AA04,1014,274,697,8,35,171,47,115,1,8,299,61,225,3,10,183,51,125,3,4,195,61,126,1,7,166,54,106,0,6,2.96,3.15,2.90,2.50,2.86
95AA05,920,532,357,5,26,192,105,85,0,2,246,116,123,2,5,164,91,63,1,9,182,117,58,1,6,136,103,28,1,4,2.88,3.11,2.53,3.20,3.23
95AA06,1570,1181,351,3,35,356,224,124,1,7,364,258,98,1,7,252,200,45,1,6,330,270,52,0,8,268,229,32,0,7,2.93,3.09,2.40,2.00,3.09
95AA07,820,121,673,6,20,201,35,163,0,3,258,33,219,2,4,144,23,114,3,4,139,17,113,1,8,78,13,64,0,1,2.58,2.56,2.57,2.83,3.00
95AA08,699,305,336,5,53,215,91,110,0,14,203,83,106,0,14,144,65,67,4,8,80,37,32,0,11,57,29,21,1,6,2.40,2.47,2.28,3.40,2.66
95AA09,943,200,657,9,77,307,61,223,2,21,291,61,202,1,27,195,43,132,4,16,94,20,65,1,8,56,15,35,1,5,2.27,2.37,2.23,2.89,2.34
95AA10,792,335,406,9,42,199,86,100,2,11,271,112,146,2,11,148,68,70,3,7,119,47,62,1,9,55,22,28,1,4,2.47,2.45,2.46,2.67,2.64
95AA11,1993,777,1062,23,131,487,185,273,6,23,614,221,343,7,43,360,156,175,4,25,362,144,185,3,30,170,71,86,3,10,2.57,2.62,2.52,2.61,2.73
95AA12,971,62,873,8,28,180,16,160,1,3,283,16,254,1,12,171,12,153,1,5,204,7,188,4,5,133,11,118,1,3,2.86,2.73,2.86,3.38,2.79
95AA13,1239,808,387,5,39,326,177,136,0,13,351,230,108,3,10,219,153,60,0,6,196,136,54,2,4,147,112,29,0,6,2.64,2.79,2.32,2.80,2.54
95AA14,779,254,503,5,17,130,32,96,0,2,252,67,175,3,7,122,41,79,1,1,143,52,89,0,2,132,62,64,1,5,2.96,3.33,2.77,2.80,3.06
95AA15,1595,694,763,32,106,395,193,175,3,24,468,197,240,2,29,341,147,161,12,21,249,95,116,12,26,142,62,71,3,6,2.57,2.51,2.58,3.31,2.66
95AA16,832,158,610,6,58,318,60,233,2,23,243,40,189,2,12,137,27,95,1,14,91,24,61,1,5,43,7,32,0,4,2.17,2.23,2.15,2.17,2.26
95AA17,855,319,466,12,58,237,76,144,4,13,252,105,127,6,14,160,62,83,1,14,140,51,76,1,12,66,25,36,0,5,2.51,2.55,2.46,1.92,2.72
95AA18,1004,124,821,18,41,257,32,204,8,13,409,40,349,4,16,140,17,115,3,5,135,14,115,1,5,63,21,38,2,2,2.36,2.66,2.33,2.22,2.22
95AA19,832,736,86,2,8,157,132,22,1,2,185,168,13,1,3,141,127,14,0,0,168,149,19,0,0,181,160,18,0,3,3.18,3.20,3.07,1.50,3.13
95BB01,1307,148,1084,15,60,270,29,225,3,13,373,44,312,4,13,255,26,213,3,13,265,24,226,5,10,144,25,108,0,11,2.76,2.93,2.73,2.67,2.90
95BB02,1126,95,951,12,68,438,39,373,2,24,378,25,332,4,17,163,16,128,3,16,100,9,80,2,9,47,6,38,1,2,2.07,2.19,2.04,2.75,2.24
95BB03,1776,102,1547,22,105,477,16,431,7,23,652,47,563,4,38,299,15,254,4,26,241,16,205,5,15,107,8,94,2,3,2.37,2.56,2.36,2.59,2.41
95BB04,1307,93,1134,11,69,349,26,302,3,18,521,31,462,7,21,209,18,177,0,14,167,11,144,1,11,61,7,49,0,5,2.30,2.44,2.28,1.91,2.51
95BB05,1318,51,1186,16,65,282,10,252,5,15,485,17,446,5,17,218,7,200,1,10,211,11,183,4,13,122,6,105,1,10,2.58,2.75,2.56,2.44,2.89
95BB06,1518,175,1204,32,107,680,73,555,19,33,520,49,415,5,51,178,25,137,1,15,94,13,69,5,7,46,15,28,2,1,1.89,2.15,1.84,1.94,1.99
95BB07,1315,55,1168,16,76,431,19,389,6,17,485,20,437,3,25,185,9,159,3,14,154,4,133,3,14,60,3,50,1,6,2.20,2.22,2.17,2.38,2.59
